	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
23315	983717859149959168	bradesco	2018-04-10 14:46:28	Jorge Leite	RT @sanokiesp: @angelmsbarb @itau @Bradesco Pois é, quem compra Apple tem que saber que as coisas demoram demais pra chegar. Por aqui Samsu…	1.0	0.0		922.0	2317.0	bradesco	sanokiesp: angelmsbarb itau bradesco	4
23316	983717589066092544	bradesco	2018-04-10 14:45:24	Jorge Leite	RT @leo_apl: @anthonio7_ @itau Aparentemente estão priorizando a Apple. Bradesco e Santander, além de outros bancos, já aceitam Samsung Pay…	1.0	0.0		922.0	2317.0	bradesco	leo_apl: anthonio7_ itau	3
23380	983705104049233920	bradesco	2018-04-10 13:55:47	Bruna	@itau rainha ? @Bradesco nadinha ??	0.0	1.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	150.0	154.0	bradesco	itau bradesco	2
23422	983697021411487745	bradesco	2018-04-10 13:23:40	Anthony C. Sadkowski	O telefone do @itau e do @Bradesco sao de brinquedo.. NUNCA funciona	0.0	0.0		83.0	257.0	bradesco	itau bradesco	2
23508	983656358162653184	bradesco	2018-04-10 10:42:05	Pedro Mattos	@bndes @PRabello Deixando os juros NORMAIS ao contrário do @itau e do @Bradesco l, vocês vão longe! Não dá pra querer fomentar a economia com juros de 3,5% AO MÊS como fazem os poucos grandes bancos do país	0.0	0.0		8.0	42.0	bradesco	bndes prabello itau bradesco	4
23625	983522276401434624	bradesco	2018-04-10 01:49:18	André Paula	@Bradesco Boa noite, gostaria de saber valores de TED de vocês e taxas de contas, não estou satisfeito com meu banco @itau	0.0	0.0		5883.0	589.0	bradesco	bradesco itau	2
23677	983498801364299777	bradesco	2018-04-10 00:16:01	Marcus Vinicius	@BetinhoMarcas @Bradesco Por enquanto só o @itau @BetinhoMarcas	0.0	0.0		25.0	66.0	bradesco	betinhomarcas bradesco itau betinhomarcas	4
23868	983438632475217920	bradesco	2018-04-09 20:16:56	Lucio Feitoza	@texurros @itau @edimoreira Kkkk exatamente, fase final de testes tem 2 anos. Bradesco tá na frente	0.0	1.0		56.0	136.0	bradesco	texurros itau edimoreira	3
24059	983392798115233792	bradesco	2018-04-09 17:14:48	Leonardo Lopes	@anthonio7_ @itau Aparentemente estão priorizando a Apple. Bradesco e Santander, além de outros bancos, já aceitam Samsung Pay. Talvez seja a hora de trocar de cartão de crédito.	1.0	2.0		97.0	666.0	bradesco	anthonio7_ itau	2
24080	983382158218792960	bradesco	2018-04-09 16:32:31	Sicredi	@wevertontv @giormedeiros @BancoCentralBR @Bradesco @itau @santander_br @BancodoBrasil @Sicredi @SicrediRC @BancoSicredi Agradecemos a sugestão, Weverton! Vamos encaminhar para a área responsável. Abraços!	0.0	0.0		8159.0	40.0	bradesco	wevertontv giormedeiros bancocentralbr bradesco itau santander_br bancodobrasil sicredi sicredirc bancosicredi	10
24186	983342933725368320	bradesco	2018-04-09 13:56:39	Richard	RT @itaucorretora: Grafista indica ponto de compra de Vale (VALE3) e Bradesco (BBDC4) e comenta expectativa de recuperação para mercados ne…	1.0	0.0		291.0	419.0	bradesco	itaucorretora	1
24244	983323997826945025	bradesco	2018-04-09 12:41:25	Marcelo Junior	@itau Agiliza ae @Bradesco	0.0	0.0		84.0	118.0	bradesco	itau bradesco	2
24259	983312682014199808	bradesco	2018-04-09 11:56:27	Aluno	@itau Uma pergunta: p pagar a fatura do cartão Itaú, posso pagar com o cartão do Banco Bradesco? Ou vcs só aceitam dinheiro?	0.0	0.0		557.0	964.0	bradesco	itau	1
24269	983308426326536192	bradesco	2018-04-09 11:39:32	Ivan Carlos	@MarquesZero @nubankbrasil @Bradesco @itau Até onde eu sei está tudo bem com eles  @nubankbrasil , está tudo bem contigo? Abra seu coraçãozinho para nós! ?	0.0	0.0		2890.0	421.0	bradesco	marqueszero nubankbrasil bradesco itau nubankbrasil	5
24270	983308176975122432	bradesco	2018-04-09 11:38:33	Marques	@IvanCarlos @nubankbrasil @Bradesco @itau aconteceu algo envolvendo o nubank? vi uns tweets aleatórios sobre e fiquei curioso	0.0	0.0		253999.0	798.0	bradesco	ivancarlos nubankbrasil bradesco itau	4
24271	983308057806540802	bradesco	2018-04-09 11:38:04	Ivan Carlos	Depois das fintecs como o @nubankbrasil darem cartões de crédito sem anuidade, os grandes bancos e administradoras resolveram correr atrás do prejuízo.  O próximo passo é baixar os juros, o @Bradesco e o @itau ainda cobram 2 dígitos de juros no cheque especial.	0.0	1.0		2890.0	421.0	bradesco	nubankbrasil bradesco itau	3
25719	986254517737082880	bradesco	2018-04-17 14:46:15	?FORA GILMAR?	? CARTEL ? ? CARTEL ? ? CARTEL ?  COM ESSA CONCENTRAÇÃO NEFASTA...   OS JUROS DOS CRÉDITOS BANCÁRIOS JAMAIS CAIRÃO  @VillaMarcovilla  @meirelles  @igoldfajn   @BancoCentralBR  @FazendaGovBr  @julianarosa_   @joaoborges  @FEBRABAN  @itau   @Bradesco  @Caixa  @BancodoBrasil https://t.co/WwBHjLqemY	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, id='45e3bce63f2beeee', url='https://api.twitter.com/1.1/geo/id/45e3bce63f2beeee.json', place_type='city', name='Manaus', full_name='Manaus, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, type='Polygon', coordinates=[[[-60.802071, -3.221228], [-59.15858, -3.221228], [-59.15858, -1.923622], [-60.802071, -1.923622]]]), attributes={})	738.0	644.0	bradesco	villamarcovilla meirelles igoldfajn bancocentralbr fazendagovbr julianarosa_ joaoborges febraban itau bradesco caixa bancodobrasil	12
38065	986699072563306498	nubank	2018-04-18 20:12:45	Andre Maringolo	@itau não é nada pessoal mas eu tenho um sonho: cancelar meu cartão de crédito. Isso pq o @nubank é melhor. Só não o faço obviamente pq sou pobre.	0.0	0.0		73.0	134.0	nubank	itau nubank	2
38188	986670912794656768	nubank	2018-04-18 18:20:51	Bruno Melo	@nubank Eu quero, @nubank . Mas, vocês aind anão me deram minha #NuConta. Aí, continuo preso ao @itau . ? #MandaLogoMinhaNuConta?	0.0	0.0		102.0	319.0	nubank	nubank nubank itau	3
38852	986599910165360641	nubank	2018-04-18 13:38:43	camis	@shinjitriste @itau HUDHAUSHAUSHAUHSUS simmm, eu tenho Nubank, jamais nessa vida usaria cartão de crédito do banco	0.0	0.0		331.0	141.0	nubank	shinjitriste itau	2
38888	986589668782366720	nubank	2018-04-18 12:58:01	Joubert RedRat	@santander_br Os aplicativos financeiros eu só baixo direto do Google Play, sendo eles o seu, do @itau, @nubank e @EbanxBR e por ser Engenheiro de TI voltado para segurança, acho meio óbvio eu não usar apks de fontes desconhecidas para coisas críticas como operações bancárias. https://t.co/GrVMd3N7EZ	0.0	1.0		67.0	270.0	nubank	santander_br itau, nubank ebanxbr	4
38964	986554685929668608	nubank	2018-04-18 10:39:01	Lindomar Paula	@itau @ApplePayBR @nubank Ok, estou à disposição. Já usei algumas vezes, via app no iPhone, na máquina com iPhone e na máquina com Apple Watch.	0.0	0.0		50.0	112.0	nubank	itau applepaybr nubank	3
39390	986367168706240512	nubank	2018-04-17 22:13:53	Luiz C. Eudes Corrêa	@itau @lindomarjf @ApplePayBR @nubank Vou deixar o nubank só pra transações suspeitas (uns sites e tal) que se der problema é mais fácil de bloquear a transação.  O App do itaucard tem que melhorar muito, poderia começar tento notificações (SMS só chega atrasado) e suporte ao touchID	0.0	2.0		787.0	2204.0	nubank	itau lindomarjf applepaybr nubank	4
39484	986349732699279361	nubank	2018-04-17 21:04:36	Carlos Pires Junior	@nubank É isso aí, eu já larguei a @Itaucard ??	0.0	0.0		244.0	1348.0	nubank	nubank itaucard	2
39491	986347276867112962	nubank	2018-04-17 20:54:50	Apple Pay Brazil	O @itau passou a mostrar o quanto rende a poupança em % igual o @nubank, com a queda na selic era melhor o nubank sossegar a idéia da #NuConta e partir pro #ApplePay que é o que nos clientes queremos!  (Via @EudesRJ no nosso grupo https://t.co/rhbNbxyxHV) https://t.co/212nMEyuDw	0.0	7.0		523.0	72.0	nubank	itau nubank, eudesrj	3
39599	986311599207145473	nubank	2018-04-17 18:33:04	Raquel Figueiredo	@itau cobra 10 reais p/ fazer um TED/DOC na conta universitária. Isso é horrível p/ qm investe ou p/ qlqr pessoa que simplesmente quer fazer transferência. @nubank ñ cobra nada p/ transferência na NuConta. Agora vou poder investir pelo roxinho, sem pagar tarifas absurdas! ???	0.0	0.0		154.0	334.0	nubank	itau nubank	2
39631	986299024390131713	nubank	2018-04-17 17:43:06	Jhony	Alô @itau por que você não consegue ser ao menos parecido com a @nubank? #SóAtrasoDeVida	0.0	1.0		1152.0	297.0	nubank	itau nubank	2
39776	986800018865696768	nubank	2018-04-19 02:53:53	Vitor ??	Tive que ir ao @itau pra solicitar um cartão e tenho que ir retirar quando estiver pronto. Já com o @meudigio e o @nubank eu nem precisei sair do celular... A diferença é gritante	0.0	0.0		652.0	301.0	nubank	itau meudigio nubank	3
39912	986765155873837057	nubank	2018-04-19 00:35:21	Luiz C. Eudes Corrêa	RT @ApplePayBR: O @itau passou a mostrar o quanto rende a poupança em % igual o @nubank, com a queda na selic era melhor o nubank sossegar…	1.0	0.0		787.0	2204.0	nubank	applepaybr: itau nubank	3
43250	984901894463254528	nubank	2018-04-13 21:11:24	DarK FlameS	Mais uma vez tento receber meu salário e o @itau não permite. tive este mesmo problema em janeiro. E aí @nubank consigo receber pagamento do exterior via swift na NuConta?	0.0	3.0		545.0	831.0	nubank	itau nubank	2
44719	984468638194458624	nubank	2018-04-12 16:29:48	Raiane Santos?	@nubank Vireiiii nucontaaa,agora meus verdinhos vão render tudo nessa conta?,bye @itau ?	0.0	0.0		49.0	127.0	nubank	nubank itau	2
44815	984445243109060608	nubank	2018-04-12 14:56:50	Márcio Nascimento	@itau App. Mas já resolvi gerando um boleto pelo Nubank e pagando pelo app do Itaú. Dessa forma, entrará na conta. Obrigado.	0.0	0.0		474.0	327.0	nubank	itau	1
44830	984439206608101376	nubank	2018-04-12 14:32:51	Márcio Nascimento	@itau Só gostaria de fazer uma transferência da minha conta do Itaú para a minha do Nubank, mas chega uma mensagem dizendo que não é possível fazer transferência para esse banco.	0.0	0.0		474.0	327.0	nubank	itau	1
44875	984429621620985857	nubank	2018-04-12 13:54:46	Márcio Nascimento	Pq o @itau não faz transferência para o @nubank? ??	0.0	0.0		474.0	327.0	nubank	itau nubank	2
45223	984165102806069249	nubank	2018-04-11 20:23:40	Fabiano Moreira™	Depois de uma semana batendo cabeça com o atendimento do @Itaucard, hj resolveu: nada, tudo na mesma. Saudades @nubank	0.0	0.0		418.0	350.0	nubank	itaucard, nubank	2
45261	984150311127351296	nubank	2018-04-11 19:24:53	Alexandre	@Nathan_Maximoff @itau @nubank @UseRede Nem precisa perdoar dívida, com PT acionista era mais feliz	0.0	1.0		205.0	629.0	nubank	nathan_maximoff itau nubank userede	4
45266	984148744760385542	nubank	2018-04-11 19:18:40	Nate, the Great	"@ialemagalhaes @itau @nubank @UseRede Pq em governo do PT (~esquerda), banco fechava com lucro recorde ano após ano. Agora tão pagando dev pejotinha igual pagavam os ""sobrinhos""."	0.0	0.0		490.0	1271.0	nubank	ialemagalhaes itau nubank userede	4
45271	984144524640489472	nubank	2018-04-11 19:01:53	Alexandre	@Nathan_Maximoff @itau @nubank @UseRede Na época do governo do PT, não tinha esses problemas. Vai vendo..	0.0	1.0		205.0	629.0	nubank	nathan_maximoff itau nubank userede	4
