	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26557	986691721915281409	itau	2018-04-18 19:43:33	GNGaúcho	A tarde de hoje (18/04) está animada no Clube, com o salão de festas lotado, acontece mais uma edição do Sarau Viver Mais - Promoção Itaú Viver Mais e o GNGaúcho. O encontro conta com o talentoso repertório... https://t.co/Z8MNLB2FDR	0.0	0.0		179.0	72.0	itau		0
26559	986691447884779520	itau	2018-04-18 19:42:27	Corrêa	Morto estou e ainda tenho que passar no Itaú	0.0	0.0		433.0	526.0	itau		0
26561	986691193085026305	itau	2018-04-18 19:41:26	Helena Laboissiere	RT @jefferson_cobra: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem…	46.0	0.0		299.0	544.0	itau	jefferson_cobra	1
26562	986691052806590469	itau	2018-04-18 19:40:53	camis	@igorhalfeld @itau Não preciso necessariamente ter itau pra receber de lá	0.0	0.0		331.0	141.0	itau	igorhalfeld itau	2
26563	986691023995854849	itau	2018-04-18 19:40:46	liamar ?	"RT @ChogiwaStore: (?) BTS - LOVE YOURSELF TEAR
• Aleatório/escolha
• Frete de 15-45 dias úteis ou 30-90 dias úteis
• Lançamento: 18/05
• Pa…"	4.0	0.0		37.0	258.0	itau	chogiwastore	1
26565	986690801756463105	itau	2018-04-18 19:39:53	Niilista Minimalista™	Marina vai lançar o partido itaú? https://t.co/N1sCG5fm6F	0.0	0.0		638.0	568.0	itau		0
26569	986690336234835968	itau	2018-04-18 19:38:02	Andre Silva Mendes	"@itau Tenho vaga noção.
Acho que eh essa IConta mesmo."	0.0	0.0		234.0	2610.0	itau	itau	1
26570	986690260296982533	itau	2018-04-18 19:37:44	Samuel Lopes	Super feirão Itaú de financiamento com taxas especiais. Calixto Veículos. Mato Grosso , 62 no centro de Londrina. https://t.co/kSfTouT4Om	0.0	0.0		330.0	1208.0	itau		0
26571	986690180974284800	itau	2018-04-18 19:37:25	du	a mensalidade do dentista venceu porque eu tava com preguiça de pegar o boleto na gaveta e pagar no app do itaú (sério), e agora vou ter que ir até o consultório (de ônibus) pra gerar um novo boleto. queria estar morta...	0.0	0.0		549.0	306.0	itau		0
26572	986690152616677376	itau	2018-04-18 19:37:18	Jesse James	@Diario__Fla @belaccioy @Corinthians Deveriam então disputar um campeonato contra o BB, Itau, Sandander, Bradesco, para ver se tem chance de ganhar alguma coisa no financeiro... porque no futebol ??	0.0	0.0		406.0	333.0	itau	diario__fla belaccioy corinthians	3
26574	986689983103848448	itau	2018-04-18 19:36:38	igniçao para o sucesso (fracassado)	eu não sou itau mas fui feita pra vc — Vem investir em mim entao https://t.co/y6g5fjFs92	0.0	10.0		156.0	228.0	itau		0
26575	986689953190109184	itau	2018-04-18 19:36:31	maria	que dia lindo pra pegar uma bike itau e rodar o aterro todo mas n eh isso q vai me da ponto na prova de hj ne meninas #mariafocada	0.0	0.0		1115.0	344.0	itau		0
26579	986689274010578945	itau	2018-04-18 19:33:49	scarllet	sou igual ao Itaú tenho tudo mais falta vc — to aqui https://t.co/eQ84jZ2MjC	0.0	0.0		1247.0	718.0	itau		0
26580	986688836578234368	itau	2018-04-18 19:32:05	Marcelo S. Almeida	RT @itau: Pague com UAU! Itaú agora com Apple Pay. Pagar ficou fácil, rápido e seguro. Impressionante.	110.0	0.0		32.0	69.0	itau	itau	1
26582	986688802302423041	itau	2018-04-18 19:31:56	RUBIM	@lyramilena Aí quando eu vou no Itaú sempre me apaixono	0.0	0.0		871.0	571.0	itau	lyramilena	1
26584	986687896974487552	itau	2018-04-18 19:28:21	Priscila	"telemarketing é uma coisa tão do capeta que to tendo que instalar um bloqueador de chamadas pra não receber mais nada de santa catarina.
vc bloqueia um, dois, TRÊS números e o @itau continua te torrando pra fazer uma @(#$* de cartão de crédito que vc não quer"	0.0	2.0		43.0	150.0	itau	itau 	2
26586	986687623782682624	itau	2018-04-18 19:27:15	Lethicia	Itaú bancando festinha, adoro!!! Amo a minha 6553	0.0	0.0		790.0	786.0	itau		0
26588	986687014018961408	itau	2018-04-18 19:24:50	Tóquio ????	@itau 6133, o lugar para guarda as bolsas dando porta inválida, lá dentro apenas um caixa fazendo depósito e filas grandes, caixas só sacando nota de 50 sem notas de 20.	0.0	0.0		277.0	80.0	itau	itau	1
26598	986686045809917952	itau	2018-04-18 19:20:59	Roger Sewo	@itau boa tarde, gostaria de informar que quando faço logoff do aplicativo ele trava. É uma sugestão para facilitar pagamentos, poder colar os códigos de barra, sem precisar digitar. Uso muito o aplicativo. Grato.	0.0	0.0		294.0	245.0	itau	itau	1
26600	986685643886645249	itau	2018-04-18 19:19:23	Cris Oliveira	RT @Elimrocha: O @itau não efetivou meu pagamento agendado, não quer receber o boleto atrasado e eu vou ter q levar em espécie (valor alto)…	2.0	0.0		91.0	290.0	itau	elimrocha: itau	2
26602	986685309759971328	itau	2018-04-18 19:18:04	Vini de Pinho /+/	Creio eu que o @itau esqueceu do meu novo cartão ?. O atual a cada hora que tiro da carteira, esfarela mais ?	0.0	0.0		1614.0	1109.0	itau	itau	1
26606	986684908629364737	itau	2018-04-18 19:16:28	k	@jujufmendonca @natalia_tg @itsmardybum__ @biaraujof reunião eh no parque da cidade andando de bike do itaú	0.0	0.0		527.0	116.0	itau	jujufmendonca natalia_tg itsmardybum__ biaraujof	4
26607	986684897778683904	itau	2018-04-18 19:16:26	Pedro Siqueira	Obrigado @itau, minha conta está liberada e eu poderei sextar	0.0	1.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='4d80dba43c65e0c9', url='https://api.twitter.com/1.1/geo/id/4d80dba43c65e0c9.json', place_type='city', name='Linhares', full_name='Linhares, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-40.5292357, -19.691986], [-39.689234, -19.691986], [-39.689234, -18.9910341], [-40.5292357, -18.9910341]]]), attributes={})	2232.0	548.0	itau	itau	1
26608	986684767662944256	itau	2018-04-18 19:15:54	Frank	Oi, @itau. Respondam a dúvida que enviei pela dm pfvr	0.0	0.0		292.0	325.0	itau	itau	1
26617	986683482742108160	itau	2018-04-18 19:10:48	Sindicato dos Bancários de SP, Osasco e Região	Tiroteio expõe insegurança no ITM do #Itaú. https://t.co/XK9iL71HQX https://t.co/3iVX8dXdoq	0.0	0.0		20715.0	320.0	itau		0
