	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
27729	986543437561417730	itau	2018-04-18 09:54:19	Cristiano Santana	@itau Legal @itau Android vai ter também né, pois até agora não liberaram o touchID, VCS ESQUECEM que tem cliente em ambas as plataformas.	0.0	1.0		30.0	148.0	itau	itau itau	2
27740	986541730567786496	itau	2018-04-18 09:47:32	VAGAS.com.br	Vagas p/ CAIXA - Itaú Unibanco - Caieiras/SP - https://t.co/EVQr6TvnBB	0.0	0.0		6349.0	40.0	itau		0
27743	986539593859321857	itau	2018-04-18 09:39:02	Comandante Jota	Essa é a safadinha da floresta, com patrocínio da Natura e do Itaú https://t.co/3m3Ppc0BlA	0.0	1.0		13669.0	7768.0	itau		0
27745	986539028630654976	itau	2018-04-18 09:36:48	Lucas Soares	"@itau 
Olá, por favor estou precisando de ajuda, estou no exterior sem meu celular (consertando e preciso fazer um pagamento com a minha conta no itaú) ja mandei mensagem no facebook de voces mandei mensagem pelo aplicativo, e agora  por aqui, por favor ajudem 
e uma emergência"	0.0	0.0		1.0	1.0	itau	itau	1
27752	986537309116993536	itau	2018-04-18 09:29:58	Fabiola Fah ?	I'm at Votorantim Cimentos Itaú de Minas-Mg https://t.co/L1KyI3Uj82	0.0	0.0		213.0	681.0	itau		0
27753	986537302250926082	itau	2018-04-18 09:29:56	Erico Melo	Itaú faz concorrência e fecha com três seguradoras para venda de dental, prestamista e vida https://t.co/F2tgpI3Mjz	0.0	0.0		682.0	372.0	itau		0
27759	986534736616153088	itau	2018-04-18 09:19:44	LULA Livre	RT @robsonhcosta: Temer é insignificante, o domínio é do sistema financeiro, do Itaú, do Bradesco&amp;#8217;, diz Requião https://t.co/r433VSmr…	2.0	0.0		1244.0	1873.0	itau	robsonhcosta	1
27765	986532183966998529	itau	2018-04-18 09:09:36	?? Robson	Temer é insignificante, o domínio é do sistema financeiro, do Itaú, do Bradesco&amp;#8217;, diz Requião https://t.co/r433VSmrxz	2.0	1.0		1453.0	2775.0	itau		0
27773	986527529283522560	itau	2018-04-18 08:51:06	Enylce mattos	Podre mesmo. Com salário nababescos,se metem em negociatas. Barroso tem um Itaú de vantagens. Gilmar é o caso de venda de faculdade,fora o que a gente não sabe. As filhas de alguns agem como incapazes, cavando indicações. https://t.co/c0dA7VkGAo	0.0	1.0		1010.0	1556.0	itau		0
27776	986526953103642624	itau	2018-04-18 08:48:49	Kel	Fiquei com dó da cobra que morreu durante um curto circuito na fiação do banco Itaú. :( ela era enorme, linda e nada comum.	0.0	0.0		588.0	435.0	itau		0
27777	986525818418532352	itau	2018-04-18 08:44:18	Patu em Foco	Blog Cidade News Itaú: Açude de Coremas continua aumentando o seu volume https://t.co/wnnA3HFn3w	0.0	0.0		577.0	2212.0	itau		0
27779	986525510850240512	itau	2018-04-18 08:43:05	Patu em Foco	Blog Cidade News Itaú: TSE nega recurso e mantém cassação do governador d... https://t.co/qSwTonn6wh	0.0	0.0		577.0	2212.0	itau		0
27780	986525222022139905	itau	2018-04-18 08:41:56	Patu em Foco	Blog Cidade News Itaú: Ceará tem três mortes por H1N1 neste ano, diz Secr... https://t.co/YTUZvYVCQp	0.0	0.0		577.0	2212.0	itau		0
