	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
27017	986630085410217984	itau	2018-04-18 15:38:37	Felipe	@gustavoscabello @itau Entoa arrasou	0.0	1.0		7472.0	507.0	itau	gustavoscabello itau	2
27018	986629895387336705	itau	2018-04-18 15:37:52	ADA IT Solutions	Itaú Unibanco - Convite Teleconferência: SÃO PAULO, 18 de abril de 2018 /PRNewswire/ -- O… https://t.co/INmEAlEssO	0.0	0.0		3340.0	3394.0	itau		0
27019	986629852827709440	itau	2018-04-18 15:37:42	#DouglasViveEmMim?	Aí só o Anderson mesmo pra fazer eu vim aqui em bangu só pra depositar um dinheiro, encarar esse Banco do Itaú ??	0.0	2.0		2614.0	434.0	itau		0
27020	986629850650873857	itau	2018-04-18 15:37:41	Marcos Paulo	@governodobrasil @ReceitaFederal Já cobraram a dívida do Itaú!?	0.0	0.0		226.0	360.0	itau	governodobrasil receitafederal	2
27021	986629732807651329	itau	2018-04-18 15:37:13	Felipe	@gustavoscabello @itau Ele não vi ver pq teu perfil é trancado kkkk	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='81184bffde6b6099', url='https://api.twitter.com/1.1/geo/id/81184bffde6b6099.json', place_type='city', name='Caruaru', full_name='Caruaru, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-36.1793394, -8.394674], [-35.850949, -8.394674], [-35.850949, -7.9751788], [-36.1793394, -7.9751788]]]), attributes={})	7472.0	507.0	itau	gustavoscabello itau	2
27022	986629679389036544	itau	2018-04-18 15:37:00	VAGAS.com.br	Vagas p/ ATENDENTE COMERCIAL - Itaú Unibanco - Porto Alegre/RS - https://t.co/hcEh4u0jOd	0.0	0.0		18839.0	40.0	itau		0
27024	986629426912907265	itau	2018-04-18 15:36:00	La Casa  de Borell	@tfm1985 @ThiagoStchu @TheInterceptBr É a mesma coisa de vc estar no banco coxa Itaú a polícia chegar e levar td mundo, inclusive vc..... Parabéns aos autores da prisão.  Entendi.	0.0	1.0		206.0	739.0	itau	tfm1985 thiagostchu theinterceptbr	3
27027	986629230904664065	itau	2018-04-18 15:35:13	Meu Vidigal	RT @F_Derezende: Os quatro maiores bancos do mercado brasileiro - Itaú Unibanco, Bradesco, Banco do Brasil (BB) e Caixa - respondiam por 78…	6.0	0.0		57.0	382.0	itau	f_derezende	1
27028	986629192308572160	itau	2018-04-18 15:35:04	mara sallai	@itau estamos quites! Estorno feito na cc. Serviço cancelado e cobrança idem. O justo e honesto!	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='a409256339a7c6a1', url='https://api.twitter.com/1.1/geo/id/a409256339a7c6a1.json', place_type='city', name='Redwood City', full_name='Redwood City, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-122.28853, 37.443954], [-122.177339, 37.443954], [-122.177339, 37.550633], [-122.28853, 37.550633]]]), attributes={})	159.0	475.0	itau	itau	1
27030	986628911462256640	itau	2018-04-18 15:33:57	Vagas p/ Deficientes	Vagas p/ ATENDENTE COMERCIAL - Itaú Unibanco - Porto Alegre/RS - https://t.co/XAQ6d1TKwg	0.0	0.0		3918.0	25.0	itau		0
