	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26147	986758112232267778	itau	2018-04-19 00:07:21	serenissíma	@Bradesco Sou correntista de do @Bradesco por conveniência do município. Pela minha experiência o melhor banco privado é o @itau .	0.0	0.0		827.0	1201.0	itau	bradesco bradesco itau	3
26148	986758066774462464	itau	2018-04-19 00:07:10	-A; TEAR ? ?	"RT @DopeKstore: ?CEG: Love Yourself TEAR?

?R$115,00 - Unidade 
?R$410,00 - Combo
?Pgto - Depósito ou Transferência bancária no Itau ou Cai…"	66.0	0.0		1315.0	1199.0	itau	dopekstore	1
26149	986758058788483072	itau	2018-04-19 00:07:08	André Bittencourt	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	1028.0	0.0		30.0	66.0	itau	ragapto	1
26152	986757952626462721	itau	2018-04-19 00:06:43	Naara	"RT @DopeKstore: ?PROMOÇÃO?
?R$35,00 + frete cada
?Reserva até 12/04
?Pgto Itaú ou Caixa Econômica 
?Pedir na DM com Nome completo e email h…"	3.0	0.0		6.0	64.0	itau	dopekstore	1
26153	986757703077974016	itau	2018-04-19 00:05:44	jv	@itau @Itaucard vocês deveriam tomar providências sobre esse perfil que está fazendo propaganda nas redes sociais... https://t.co/SERBzyngSB	0.0	0.0		52.0	198.0	itau	itau itaucard	2
26156	986757173932974081	itau	2018-04-19 00:03:37	na volta eu compro	@jccn83 enquanto isso a Itaú corretora mandando seus clientes venderem seus bova's	0.0	0.0		228.0	277.0	itau	jccn83	1
26165	986756092460961793	itau	2018-04-18 23:59:20	rafa	esqueci que tenho que ir no itaú amanhã aaaa :(	0.0	0.0		1937.0	203.0	itau		0
26166	986755545225945088	itau	2018-04-18 23:57:09	Renata Cardoso	@itau CHAMA NO PROBLEMINHA (de) preciso de uma ajuda	0.0	0.0		339.0	140.0	itau	itau	1
26167	986755163728818177	itau	2018-04-18 23:55:38	Vinicius Medina	"@itau Boa pergunta. Ninguém disse, em nenhuma das vezes que eu atendi.

Outras boas perguntas: e se o telefone não fosse meu? E se eu tivesse outro telefone estou que eu fiz recarga e não fossem meus?

Sem falar que atendo no meu telefone de cadastro. Ontem mesmo falei com @itau."	0.0	0.0		52.0	69.0	itau	itau itau	2
26168	986755103704088578	itau	2018-04-18 23:55:24	Rogerio	Só torço para um time Corinthians é a minha seleção https://t.co/AhSPLZDyXU	0.0	0.0		270.0	327.0	itau		0
