	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984261841898622976	2018-04-12 02:48:04	Moura_SPFC	"Mim de papai @SPFCBancoInter ???
#SPFC
#BANCOINTER https://t.co/E7uw4ilWYl"	0	0		71	683
984258547243462658	2018-04-12 02:34:58	Leandro Monteiro	@Bancointer há alguma diferença de acesso na conta pf e pj no app? Pelo site consigo entrar nas duas contas, porém… https://t.co/W9HAY1jHRI	0	0		138	136
984252885021184002	2018-04-12 02:12:28	dora aventureira	@Bancointer fiz uma compra com meu cartão de débito no @BurgerKingBR o valor foi debitado da conta, mas o sistema d… https://t.co/K78n9zDSRD	0	0		111	47
984251582068985856	2018-04-12 02:07:18	aninha	@Bancointer oi! tem como eu pagar alguma coisa específica da minha fatura antes? tipo, 3 coisinhas agora já e deixa… https://t.co/qY94FBlWQ1	0	0		258	162
984249042749321216	2018-04-12 01:57:12	new vini	RT @rubensmenin: Tênis brasileiro não está passando por uma boa fase. Depois do Guga, estamos no pior momento, sendo eliminado pela Colômbi…	9	0		310	505
984242414553530369	2018-04-12 01:30:52	Bruno Ribeiro Guedes	@Bancointer Se eu fizer o teste de perfil de investidor e ficar como conservador, isso não impede que eu veja inves… https://t.co/UUN7oE5dPj	0	0		149	873
984242324396965889	2018-04-12 01:30:31	1ºDambrovski	"@Bancointer Estou muito feliz!!! 01 ano de Correntista / "" Investidor "" estou ultra mega super power contente :D
la… https://t.co/yWioxRgoVW"	0	0		139	3
984240733719879680	2018-04-12 01:24:11	Francisco Rodrigues	De saco cheio com protocolo da anuidade do cartão de crédito ouro card do @BancodoBrasil. @Bancointer, qual o proce… https://t.co/esmJ4BSv8x	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='4ced2a0296d13aad', url='https://api.twitter.com/1.1/geo/id/4ced2a0296d13aad.json', place_type='city', name='Aracaju', full_name='Aracaju, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-37.168411, -11.1448224], [-37.033073, -11.1448224], [-37.033073, -10.8624688], [-37.168411, -10.8624688]]]), attributes={})	165	313
984240682448703489	2018-04-12 01:23:59	#FORALECO ???	RT @SPFCBancoInter: Torcedor tricolor, está esperando o que para participar da Revolução Bancária? Abra já a sua conta! https://t.co/MXqG8u…	12	0		531	862
984239092417392640	2018-04-12 01:17:40	João Thomaz	"@Bancointer Meu cartão laranja chegou ontem, estou amando tudo!
Mas tenho uma dúvida, cadê o Apple Pay? Terá?"	0	0		52	68
984237647265714179	2018-04-12 01:11:56	Alexandre de Oliveira Silva	@Bancointer Muito em breve ?	0	0		25	115
984237386908520448	2018-04-12 01:10:53	Antonio Verger	Sabe aquele jeito perfeito para cuidar do seu dinheiro? @nubank @Bancointer @picpay @PayPal_BR @coinbase… https://t.co/18P5NINx1I	0	2		58	54
984236990496493568	2018-04-12 01:09:19	1ºDambrovski	@Bancointer É possível galgar do cartão Standard ou Gold para o modelo Platinum ou Black, baseado na renda ou pelo… https://t.co/qAI6mZyc17	0	0		139	3
984236382909554690	2018-04-12 01:06:54	valternei miranda	RT @Bancointer: Ser parceiro é também oferecer as melhores condições para você proteger seu patrimônio. Faça já uma cotação dos seguros aut…	11	0		84	284
984233944886448128	2018-04-12 00:57:13	Banco Inter	@zeus2319 Ei, Matheus! Liberamos a DM para você :) Nos chame por lá para que possamos te ajudar.	0	0		114538	3132
984233586453893120	2018-04-12 00:55:47	Banco Inter	@biancojulio Temos sim, Julio! Nos chame por DM, por gentileza? Vamos te ajudar.	0	0		114538	3132
