	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986719975548358657	BancoInter	2018-04-18 21:35:49	Polly Sjobon	&gt;&gt; @Bancointer , EU TE AMO &lt;&lt;	0	2		731	222
986719895827156992	BancoInter	2018-04-18 21:35:30	João Thomaz	@adrian0marian0 @yuktopus @thelobbyboy @Bancointer Quando for aprovado tu só vai ter felicidade, conta boa demais. Uso pra tudo que faço; cartão deles tá comigo no dia a dia em todas as compras.	0	0		56	71
986719474903666693	BancoInter	2018-04-18 21:33:49	Kamila França	@gabrieltuller @Bancointer Inclusive a parte mais importante: Parabéns, Tulleco! Muitos felicidades, mtas conquistas como carioca vivendo em Sp! ?	0	1		122	295
986719018185785344	BancoInter	2018-04-18 21:32:00	Banco Inter	@samukamarinhobh Uhuuul \O/ Que notícia ótima, Samuel! Ficamos MUITO felizes que o seu cartão chegou. Aproveite bastante e #contacomagente sempre que precisar ?	0	0		115259	3193
986718572448710656	BancoInter	2018-04-18 21:30:14	Gusttavo Bandeira	@Bancointer Recebi hoje a tarde. Valeu, @Bancointer!	0	0		3	86
986718358102999040	BancoInter	2018-04-18 21:29:23	Banco Inter	@kawasaki_maki Ei, Maki! Poderia tentar acessar sua conta novamente pelo app? Caso o erro persista, nos informe por aqui :)	0	0		115259	3193
986717835354431488	BancoInter	2018-04-18 21:27:18	Banco Inter	@GusttavoBandei1 Ei, Gusttavo! Você receberá o código de rastreio do seu cartão por e-mail em até 4 dias úteis, tá bem?	0	1		115259	3193
986717110247227392	BancoInter	2018-04-18 21:24:26	Oi, eu sou Goku	"Queria só uma aumento no limite do meu @Bancointer pra comprar o Cel que eu quero ?.
Pena que análise é automática e não tem como pedir.
Ou seja, sem Cel novo."	0	0		73	144
986716386679541760	BancoInter	2018-04-18 21:21:33	João Thomaz	@Bancointer Cadê o Apple Pay? Sei que está na exclusividade temporária em outro banco mas gostaria de saber se vocês vão aderir o serviço assim que possível.	0	0		56	71
986714640351719424	BancoInter	2018-04-18 21:14:37	Banco Inter	@luizborsato Ei, Luiz! Como podemos te ajudar?	0	0		115259	3193
986713740950241285	BancoInter	2018-04-18 21:11:02	Banco Inter	@crgcaio Cain, como podemos te ajudar? Lamentamos pela demora no retorno.	0	0		115259	3193
986713148446183424	BancoInter	2018-04-18 21:08:41	Banco Inter	"@gtaschetto Ei, Guilherme! Poderia nos chamar por DM?
Vamos verificar com a nossa equipe sobre o seu convite da Conta PRO :)"	0	0		115259	3193
986711859779854340	BancoInter	2018-04-18 21:03:34	Murilo Almeida	RT @Bancointer: @murilogts @SPFCBancoInter #contacomagente sempre que precisar, Murilo! ? https://t.co/1sEFef3qrl	1	0		21	374
986711739210362880	BancoInter	2018-04-18 21:03:05	Banco Inter	@luadesofia @yuktopus @adrian0marian0 @thelobbyboy Ei, Catrina! Agradecemos pela parceria ? Estamos sempre buscando melhorias para os nossos serviços e produtos. Continue nos acompanhando, sempre divulgamos nossas novidades :)	0	0		115259	3193
986711427544240128	BancoInter	2018-04-18 21:01:51	mateus é triste e n liga pra nada nem ngm	Primeira coisa boa do meu dia foi ter o meu primeiro cartão de crédito da minha vida, obrigado @Bancointer	0	1		1583	548
986711215232692224	BancoInter	2018-04-18 21:01:00	Pedro Oliveira	@Bancointer Vocês se dizem revolucionários e que não tem filas. Mas resolver qualquer problema em uma agência com fila de qualquer banco é mais rápido que pelo chat. Intervalos de 20 minutos entre cada msg. Tem como ter diálogo continuo assim?	0	0		107	129
986711046873403393	BancoInter	2018-04-18 21:00:20	Banco Inter	"@claudiojr_fs Ei, Claudio! Existe sim :)
Você deve realizar a primeira transferência pelo seu Internet Banking &gt; Transferências. Você escolhe a ""Data Efetivação"" e ""Repetir esta transferência por"". Qualquer dúvida, estamos à disposição!"	0	1		115259	3193
986710650922651650	BancoInter	2018-04-18 20:58:46	Pedro Oliveira	@Bancointer Eu já tentei resolver pelo chat Inclusive já respondi a dm.. Quando peço ajuda pelo chat vocês não ligam e agora ficam mandando msg no Twitter pra parecer que estão querendo ajudar.	0	0		107	129
