	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986805328183521280	BancoInter	2018-04-19 03:14:58	Ailton Almeida	@Bancointer @gabrabel Esqueçam o Windows Phone, foquem no windows 10.	0	0		10	42
986801986103324673	BancoInter	2018-04-19 03:01:42	Erick John!	@Bancointer Hauehauehua não humilha tanto @Bancointer! Kk	0	0		462	3343
986797615953141760	BancoInter	2018-04-19 02:44:20	Lucas Neves	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		88	564
986794757925064705	BancoInter	2018-04-19 02:32:58	C.Brasil	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		3783	3977
986791002693406720	BancoInter	2018-04-19 02:18:03	Eliade de Paula	Essa é a prova que pra ter um cartão de crédito não precisa implorar pro gerente , evolua! Vai de inter.   @Bancointer https://t.co/CTfcRaxyvG	0	0		3	25
986789815109738496	BancoInter	2018-04-19 02:13:20	Projeto de Investidor	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		28	171
986789127961137153	BancoInter	2018-04-19 02:10:36	Caciano Milak Natal	@Bancointer estou tentando visualizar o informe de rendimentos, mas o .PDF não sai com as informações preenchidas ... O sistema está com algum problema?	0	0		433	429
986786349129838592	BancoInter	2018-04-19 01:59:33	Roberto Augusto	"RT @Bancointer: Hoje é dia de formação do paredão final no Big Banco Inter!
Dê uma espiadinha nos três indicados e fique ligado: o resultad…"	16	0		834	822
986784769693364226	BancoInter	2018-04-19 01:53:17	matheus	@Bancointer salvando minha vida, cartãozinho top ?	0	0		777	539
986783998730014721	BancoInter	2018-04-19 01:50:13	Wescley Castro	@walker_wotm @Bancointer @gnrsep Vc deve ter se confundido... Dá uma passadinha lá, baixa o app e vc não vai se arrepender. Eu uso ambos e não vejo mais a minha vida financeira sem um deles. Nunca paguei um centavo se quer, depois disto e uso todo serviço que um banco convencional me cobraria.	0	0		83	213
986781053766569984	BancoInter	2018-04-19 01:38:31	Walker Marques ?	@WescleyCastro @Bancointer @gnrsep Pois é. Eu tinha sido informado que tinha sim e ao visitar o site dei de cara com esses preços, o que reforçou a confusão. O Banco Inter precisa refazer a apresentação do site pra evitar o entendimento ao qual fui levado ao ver os preços logo de cara	0	1		684	393
986780983860097024	BancoInter	2018-04-19 01:38:14	Edrick Belo	"@Bancointer Elimine os três.
Tchau"	0	0		41	211
986780800812187648	BancoInter	2018-04-19 01:37:31	Walker Marques ?	@LeandroPorttela @Bancointer @gnrsep Valeu!	0	0		684	393
986780612139847680	BancoInter	2018-04-19 01:36:46	Wescley Castro	@Bancointer @walker_wotm @gnrsep Chama o @Bancointer lá porque eu acho que vc não está pensando no banco certo. O Inter não tem taxa alguma, para nada e é excelente.	0	1		83	213
986780058340745216	BancoInter	2018-04-19 01:34:34	1ºDambrovski	"@Bancointer #queremosumporco
Queria mesmo era um porco. https://t.co/ylSfC4rBSK"	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='23e015abafb6ab35', url='https://api.twitter.com/1.1/geo/id/23e015abafb6ab35.json', place_type='city', name='Cascavel', full_name='Cascavel, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-53.72354, -25.371418], [-53.074127, -25.371418], [-53.074127, -24.750106], [-53.72354, -24.750106]]]), attributes={})	139	5
986779742601928705	BancoInter	2018-04-19 01:33:18	Leandro Portela	@walker_wotm @Bancointer @gnrsep Tudo free....	0	1		190	97
986778793292550145	BancoInter	2018-04-19 01:29:32	Reinan Lima	@Bancointer Não consegui não, está da mesma forma, não estou conseguindo fazer meu primeiro acesso, chegar o código via e-mail, já o SMS nada, já liguei o atendente mudou meu número e nada da código via SMS, já até desinstalei e instalei de novo o app	0	0		57	208
986778693489037312	BancoInter	2018-04-19 01:29:08	Walker Marques ?	@LeandroPorttela @Bancointer @gnrsep Ah, é verdade, eu confundi algumas coisas, tô pesquisando melhor no site deles aqui	0	0		684	393
986778329134043136	BancoInter	2018-04-19 01:27:41	Walker Marques ?	@LeandroPorttela @Bancointer @gnrsep 200 reais de anuidade, 8,50 de TED	0	0		684	393
986778223345307648	BancoInter	2018-04-19 01:27:16	Leandro Portela	@walker_wotm @Bancointer @gnrsep Mas banco inter tb não cobra nada disso, tenho nubank e tenho banco inter e a vantagem do banco inter é que pode fazer saque nos bancos 24hrs,	0	1		190	97
986777980335738885	BancoInter	2018-04-19 01:26:18	Walker Marques ?	@LeandroPorttela @Bancointer @gnrsep Anuidade, TED... não tenho disposição pra pagar essas coisas. E essas são justamente as razões da NuBank atender ao meu perfil	0	0		684	393
986776830161096706	BancoInter	2018-04-19 01:21:44	Leandro Portela	@Bancointer @FilhoGervasio @SPFCBancoInter @Bancointer estou muito chateado com vocês....	0	0		190	97
986776411338928133	BancoInter	2018-04-19 01:20:04	1ºDambrovski	@Bancointer Meu palpite é que os três vão pro espaço kkk https://t.co/zJqdEId2Ui	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='23e015abafb6ab35', url='https://api.twitter.com/1.1/geo/id/23e015abafb6ab35.json', place_type='city', name='Cascavel', full_name='Cascavel, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-53.72354, -25.371418], [-53.074127, -25.371418], [-53.074127, -24.750106], [-53.72354, -24.750106]]]), attributes={})	139	5
986776313498406912	BancoInter	2018-04-19 01:19:41	Leandro Portela	@walker_wotm @Bancointer @gnrsep Vc tá enganado pois o banco inter não cobra nada	0	0		190	97
986773207612055552	BancoInter	2018-04-19 01:07:20	Vinicius Dias	@Bancointer eu estava recomendando pra todo mundo. Até me sacaneavam no trabalho de tanto que falava, mas lentamente estão começando as decepções. Nenhum plano de milhas, layout pra geração de boletos não disponibilizado ao cliente... :'(	0	0		151	80
