	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985281189664772098	2018-04-14 22:18:35	Anna está Euphorica	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		427	425
985281189228539905	2018-04-14 22:18:35	?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		202	153
985281078674980865	2018-04-14 22:18:09	WATCH, LISTEN 'N BUY #LETME	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		4664	2256
985281041387704321	2018-04-14 22:18:00	Alexsaidaqui	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		814	1849
985281035926634497	2018-04-14 22:17:59	Ítalo O.	Já vou sair da mansão e vou pro banco do Brasil pra ir assistir o jogo dos moleques	0	0		1958	967
985280806267621377	2018-04-14 22:17:04	Daniel Ws	RT @joaoamoedonovo: “Não podemos vender nem o Banco do Brasil nem a Caixa para bancos existentes, porque estaríamos concentrando ainda mais…	217	0		43	56
985280786114011136	2018-04-14 22:16:59	Júlia	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		630	125
985280765171728384	2018-04-14 22:16:54	Isidoro	RT @joaoamoedonovo: “Não podemos vender nem o Banco do Brasil nem a Caixa para bancos existentes, porque estaríamos concentrando ainda mais…	217	0		446	488
985280747845177344	2018-04-14 22:16:50	sunah• ? EUPHORIA?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		1682	1230
985280712629805056	2018-04-14 22:16:42	92:48	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		634	524
985280532044017666	2018-04-14 22:15:59	Joseh ainda vai na TMYLMT	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		468	461
985280525920296962	2018-04-14 22:15:57	seravat sabe q nd sabe	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		562	689
985280445893038081	2018-04-14 22:15:38	Gabriele	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		239	288
985280351395250178	2018-04-14 22:15:16	Tomás Carvalho	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		68	79
985280336140668928	2018-04-14 22:15:12	bruna ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		942	525
985280333313724417	2018-04-14 22:15:11	beatriz	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		587	1678
985280323893317632	2018-04-14 22:15:09	Hanna	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		223	406
985280239596199939	2018-04-14 22:14:49	JOÃO ALBERTO®	RT @joaoamoedonovo: “Não podemos vender nem o Banco do Brasil nem a Caixa para bancos existentes, porque estaríamos concentrando ainda mais…	217	0		384	624
985280221707427841	2018-04-14 22:14:45	Queen L ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		1375	1210
985280208495366149	2018-04-14 22:14:41	DUDINHAAA	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		540	266
985280106729033728	2018-04-14 22:14:17	oh my god chandler bing	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		190	357
985280093026209792	2018-04-14 22:14:14	erica	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		599	326
985280075489861633	2018-04-14 22:14:10	@QuemÉMesmoGD?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		223	1289
985280060662931458	2018-04-14 22:14:06	alli ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		254	137
985279926512308226	2018-04-14 22:13:34	Renato Oliveira	RT @joaoamoedonovo: “Não podemos vender nem o Banco do Brasil nem a Caixa para bancos existentes, porque estaríamos concentrando ainda mais…	217	0		65	347
985279786443575296	2018-04-14 22:13:01	Marlos Oliveira	"RT @Felippe_Hermes: O Brasil 247 acusa o Itaú de ter abortado ao pedir ao STF que retirasse o ICMS do calculo do PIS Cofins.

Basicamente p…"	12	0		69	68
985279761072181248	2018-04-14 22:12:55	...	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	3100	0		289	915
