	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985183112584945665	2018-04-14 15:48:52	morena	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		691	230
985183072537767938	2018-04-14 15:48:42	clara.	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		2212	2275
985183010466291713	2018-04-14 15:48:28	Angela com A de AAAAAAAAAAAAAA	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		515	558
985183000395739136	2018-04-14 15:48:25	Rafael	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		792	84
985182882019897347	2018-04-14 15:47:57	oval	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		261	184
985182792391774209	2018-04-14 15:47:36	ellen ? sehun; #happysehunday	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		248	472
985182747810521090	2018-04-14 15:47:25	?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		71	134
985182741749731329	2018-04-14 15:47:24	GP7	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		2360	537
985182726545436677	2018-04-14 15:47:20	?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		9166	1287
985182689622986752	2018-04-14 15:47:11	gordinha mesmoo #deontem jaja apago	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		237	416
985182639366836224	2018-04-14 15:46:59	isa	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		9603	5335
985182570773188609	2018-04-14 15:46:43	igu ??	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		12	19
985182510282870785	2018-04-14 15:46:28	ani	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		707	989
985182354883956736	2018-04-14 15:45:51	Marina a+ trouxa	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	1393	0		367	365
