	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986796182738538496	banco do brasil	2018-04-19 02:38:38	Estef ??	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		904	463
986794710483292161	banco do brasil	2018-04-19 02:32:47	Ane Caroline	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		398	248
986794248841424897	banco do brasil	2018-04-19 02:30:57	maAaAA sad	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		287	263
986793935120027648	banco do brasil	2018-04-19 02:29:42	bruxa onilda	Lembrar de nunca mais usar o débito em conta online do Banco do Brasil pelo pc pra comprar nada PQ NUNCA FUNCIONA.	0	0		944	475
986793677904281600	banco do brasil	2018-04-19 02:28:41	maria	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		740	353
986792179413774341	banco do brasil	2018-04-19 02:22:43	Gabrielly ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		489	333
986792055077769217	banco do brasil	2018-04-19 02:22:14	effy	Eu tinha quatro centavos na minha conta no banco e agora não tenho mais, qvs banco do brasil	0	1	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='894146230dd1d42d', url='https://api.twitter.com/1.1/geo/id/894146230dd1d42d.json', place_type='city', name='Porto Alegre', full_name='Porto Alegre, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-51.3061478, -30.2688069], [-51.012471, -30.2688069], [-51.012471, -29.9308654], [-51.3061478, -29.9308654]]]), attributes={})	588	83
986791481770782720	banco do brasil	2018-04-19 02:19:57	Thadeu Bolsonaro Simoes	"Olha a inflação de 1.75 do governo .

Fonte: Banco Mundial

""O Brasil tem a maior carga tributária do mundo, para pagar a
MAIOR CORRUPÇÃO DO MUNDO""

Tributos no Brasil -  uma vergonha!!!... https://t.co/nfKpkqzAnw"	0	0		1737	1498
986791243064795138	banco do brasil	2018-04-19 02:19:00	Molango	Eu odeio tanto o Banco do Brasil q vcs não imaginam	0	0		51	148
986790319172804609	banco do brasil	2018-04-19 02:15:20	Luciano Lacerda	"RT @ramosbrunow: terceira temporada de La Casa de Papel vai ser em São Paulo e eles vão assaltar o Banco Do Brasil

Os bandido vão mudar tu…"	15	0		108	253
986789235637260288	banco do brasil	2018-04-19 02:11:02	ruan	@_ajuno Cometeu falha que custou eliminação do Brasil em 2010, tomou 7 em 2014, ganhou uma copa América no banco. Teve destaque na Inter de Milão. Só	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='1c88433143d383e1', url='https://api.twitter.com/1.1/geo/id/1c88433143d383e1.json', place_type='city', name='Duque de Caxias', full_name='Duque de Caxias, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-43.4161389, -22.8132778], [-43.1776054, -22.8132778], [-43.1776054, -22.475838], [-43.4161389, -22.475838]]]), attributes={})	933	781
986785526685622272	banco do brasil	2018-04-19 01:56:17	Estherzinha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		1412	900
986784647890776064	banco do brasil	2018-04-19 01:52:48	Aline Luiza	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		1110	378
986784240934244352	banco do brasil	2018-04-19 01:51:11	marininha :)	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		258	344
986784240779096065	banco do brasil	2018-04-19 01:51:11	zPr0_	Gostei de um vídeo @YouTube https://t.co/uz3b2iGaKB MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		0	11
986782853936631808	banco do brasil	2018-04-19 01:45:40	Guilherme	@zeca1908 Se 70% dos nossos titulares seriam banco nos outros grandes do Brasil, o que esperar dos reservas?	0	0		9	3
