	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986727707303178240	banco do brasil	2018-04-18 22:06:32	B2 Trading Club	Banco do Brics e BNDES fazem 1º desembolso conjunto para projetos no Brasil https://t.co/raFAPtqO6m https://t.co/sP3oaLKKGt	0	0		27	74
986726653886980097	banco do brasil	2018-04-18 22:02:21	moniq	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		3925	59
986726136389521409	banco do brasil	2018-04-18 22:00:18	Connekt	"O maior banco privado do Brasil abriu 3 novas vagas para Gerente de Relacionamento PF em Porto Alegre/RS. Venha trabalhar no Itaú Unibanco!

Acesse: https://t.co/WEkd7qj2mt https://t.co/vRHUFrZp5A"	0	0		3	31
986726074108166144	banco do brasil	2018-04-18 22:00:03	CSJT	? Aprovados em concurso do Banco do Brasil têm pedido negado para serem convocados ? https://t.co/phDuYlh63w https://t.co/Cnult9Mi5m	0	0		12552	124
986726010870738944	banco do brasil	2018-04-18 21:59:48	Manuelacet	Alguém sabe como conseguir ver a fatura do Banco do Brasil pelo site? Pq aquela merda e bosta é a mesma coisa	0	2	Place(_api=<tweepy.api.API object at 0x00000164EB5B27F0>, id='f207b85be9f1513e', url='https://api.twitter.com/1.1/geo/id/f207b85be9f1513e.json', place_type='city', name='Recife', full_name='Recife, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EB5B27F0>, type='Polygon', coordinates=[[[-35.019805, -8.157554], [-34.858893, -8.157554], [-34.858893, -7.929652], [-35.019805, -7.929652]]]), attributes={})	621	475
986725999013515264	banco do brasil	2018-04-18 21:59:45	yax	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		717	525
986725839193739264	banco do brasil	2018-04-18 21:59:07	Izzie	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		143	445
986725789533114368	banco do brasil	2018-04-18 21:58:55	Uchiha Pedro	Gostei de um vídeo @YouTube https://t.co/Qa2fj7Ef4K MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		41	201
986725547307827201	banco do brasil	2018-04-18 21:57:57	Guria Colorada ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	25	0		485	256
986725434946736128	banco do brasil	2018-04-18 21:57:30	Erick Barbosa	I'm at Banco do Brasil BR in Macapá, AP https://t.co/DaZPPG9ZiO	0	0	Place(_api=<tweepy.api.API object at 0x00000164EB5B27F0>, id='e9ea1f1600a66684', url='https://api.twitter.com/1.1/geo/id/e9ea1f1600a66684.json', place_type='city', name='Macapá', full_name='Macapá, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EB5B27F0>, type='Polygon', coordinates=[[[-51.492501, -0.088875], [-49.894431, -0.088875], [-49.894431, 1.262232], [-51.492501, 1.262232]]]), attributes={})	221	322
986725370459238401	banco do brasil	2018-04-18 21:57:15	Marcus Vinicius Dias	Um dos motivos que vc não consegue pegar um dinheiro emprestado no banco para ampliar seu botequim, reformar sua casa, pagar uma faculdade ou simplesmente passear com sua família é porque o governo pega tudo, e não te sobra nada... https://t.co/FtIGOUqj2L	0	0		193	626
986725245137641472	banco do brasil	2018-04-18 21:56:45	josias alves	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		990	949
986724212713906176	banco do brasil	2018-04-18 21:52:39	Xande	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		1395	378
986724207865352198	banco do brasil	2018-04-18 21:52:38	Marcus Rocha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		208	278
986724079498612736	banco do brasil	2018-04-18 21:52:07	Tiago Botini … … … … … … … … … … … … … … …	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		7215	5238
986723481898364928	banco do brasil	2018-04-18 21:49:45	Cah, the hedgehog ??	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		100	516
986723327422148610	banco do brasil	2018-04-18 21:49:08	Silmara	Hoje eu perdi 2 horas pra nada naquela merda do Banco do Brasil	0	0		631	341
986723211319660546	banco do brasil	2018-04-18 21:48:40	magavilhosa	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		456	532
986723003257049088	banco do brasil	2018-04-18 21:47:51	lay ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		12334	11228
986722854359191552	banco do brasil	2018-04-18 21:47:15	dayane	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		2563	556
986722325650341888	banco do brasil	2018-04-18 21:45:09	Connekt	"Trabalhe no maior banco privado do Brasil: estão abertas 3 novas vagas para Gerente de Relacionamento Empresas no Itaú Unibanco, em Porto Alegre/RS!

Acesse: https://t.co/2LZatMPnFo https://t.co/7KqUuILzhD"	0	0		3	31
986722154464120834	banco do brasil	2018-04-18 21:44:28	Carlos W S Souza	"Olha a inflação de 1.75 do governo .

Fonte: Banco Mundial

""O Brasil tem a maior carga tributária do mundo, para pagar a
MAIOR CORRUPÇÃO DO MUNDO""

Tributos no Brasil -  uma vergonha!!!... https://t.co/4J9l3tPBYR"	0	0		257	471
986722137829445642	banco do brasil	2018-04-18 21:44:24	William Bassani ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	25	0		1718	509
986721564879196160	banco do brasil	2018-04-18 21:42:08	Marcelo Queiroz	I'm at Banco do Brasil (Ag 3253-0) in Fortaleza, Ceará https://t.co/yPz7btue1w	0	0		54	215
986721264663326720	banco do brasil	2018-04-18 21:40:56	Felipe Gaiga	#agronomiaUNIFEOB — participando de Pré-Agrishow - Unifeob E Banco do Brasil	0	0		139	269
986721121172156423	banco do brasil	2018-04-18 21:40:22	VG $2	RT @robe_sampaio: Conta poupança, Banco do Brasil, 14.225-5, agência 1834-1, Luciana Almeida Sampaio	89	0		665	50
986720606719758336	banco do brasil	2018-04-18 21:38:19	Lavinias	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		125	419
986720271326466054	banco do brasil	2018-04-18 21:36:59	Paulinho	@Rodolf0liveira @nubank Passei 8 meses usando um Visa do Banco do Brasil e um American Express, até que me aceitaram e cancelei os dois kkkk, tem que ter paciência velho.	0	1		106	403
986719880018911233	banco do brasil	2018-04-18 21:35:26	Gusmao Al F	EX Presidente do Banco Central confirma que Dilma levou o Brasil a pior recessão da história - Jornal do Pais https://t.co/5Dxbk4WBK4	0	0		35	25
986718527288692739	banco do brasil	2018-04-18 21:30:03	TV PUC-Rio	O diretor do Banco Central do Brasil conta como notícias falsas abalam o mercado financeiro.  https://t.co/zCiYfeqpAC	0	0		1153	611
986718098077224960	banco do brasil	2018-04-18 21:28:21	Konata	amanhã vou no banco do brasil entregar meu formulário de portabilidade de salário, cansei de ser trouxa	0	0		136	193
986717910587539456	banco do brasil	2018-04-18 21:27:36	Mah	mano banco do brasil é um lixo meu deus	0	0		363	250
986717885253980160	banco do brasil	2018-04-18 21:27:30	João Augusto	"""Confirmada a terceira temporada de Lá Casa de Papel"". 
Boatos indicam que vão assaltar o Banco do Brasil.."	0	0		73	62
986717786343919616	banco do brasil	2018-04-18 21:27:07	a+querida?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12191	0		393	239
