	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986733677752156160	banco do brasil	2018-04-18 22:30:16	Connekt	"Estão abertas 10 novas vagas para Analista de Desenvolvimento no Itaú em São Paulo/SP! Trabalhe no maior banco privado do Brasil.

Acesse: https://t.co/xY216a2usY https://t.co/mJTjVXWWNC"	0	0		3	31
986733029401006080	banco do brasil	2018-04-18 22:27:41	Folha do Bico	ANANÁS: Saques são normalizados em agência do Banco do Brasil - https://t.co/lZPUgZDUCq	0	0		1057	0
986731700016353280	banco do brasil	2018-04-18 22:22:24	Charles Alexandre	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	27	0		3011	709
986731276861362176	banco do brasil	2018-04-18 22:20:43	Eu te Amo Inter ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	27	0		820	1208
986730894080782339	banco do brasil	2018-04-18 22:19:12	Sarah	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		849	628
986730562500079620	banco do brasil	2018-04-18 22:17:53	Vinicius Siqueira	@CruzWladimi @FoxSportsBrasil 3 Brasileiros, 1 Copa do Brasil, 1 Libertadores, 1 Mundial fora os Paulistas... Ele deve ter uma inveja danada mesmo... Flamengo tá bom de virar banco tem dinheiro mais não tem time!!!	0	0		14	87
986730178394148864	banco do brasil	2018-04-18 22:16:21	branca azedinha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		393	102
986729873786966016	banco do brasil	2018-04-18 22:15:09	Connekt	"Estão abertas 8 novas vagas para Analista de Operações de Telecom TI (Júnior) no Itaú em Mogi Mirim/SP! Trabalhe no maior banco privado do Brasil.

Acesse: https://t.co/XAES16Y4Vy https://t.co/yV0H1ibDmx"	0	0		3	31
986729744300421120	banco do brasil	2018-04-18 22:14:38	Leth ?	Fui olhar os comentários sobre o edital do concurso do Banco do Brasil, me deu foi desânimo	0	0		139	252
986729501001506821	banco do brasil	2018-04-18 22:13:40	Juliane com e de exu	@BancodoBrasil oi banco do brasil ainda estou solteira ou seja disponível pra você me mimar beijos	0	0		35338	910
986728848099303425	banco do brasil	2018-04-18 22:11:04	igrdx	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		2717	1997
986728817510244353	banco do brasil	2018-04-18 22:10:57	Kamila	Interessante que agora o login com digital tá funcionando no banco do Brasil	0	0		57	57
986728527105089536	banco do brasil	2018-04-18 22:09:48	CHARLES.CRF	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		1157	1125
986727707303178240	banco do brasil	2018-04-18 22:06:32	B2 Trading Club	Banco do Brics e BNDES fazem 1º desembolso conjunto para projetos no Brasil https://t.co/raFAPtqO6m https://t.co/sP3oaLKKGt	0	0		27	74
986726653886980097	banco do brasil	2018-04-18 22:02:21	moniq	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		3925	59
986726136389521409	banco do brasil	2018-04-18 22:00:18	Connekt	"O maior banco privado do Brasil abriu 3 novas vagas para Gerente de Relacionamento PF em Porto Alegre/RS. Venha trabalhar no Itaú Unibanco!

Acesse: https://t.co/WEkd7qj2mt https://t.co/vRHUFrZp5A"	0	0		3	31
986726074108166144	banco do brasil	2018-04-18 22:00:03	CSJT	? Aprovados em concurso do Banco do Brasil têm pedido negado para serem convocados ? https://t.co/phDuYlh63w https://t.co/Cnult9Mi5m	0	0		12552	124
986726010870738944	banco do brasil	2018-04-18 21:59:48	Manuelacet	Alguém sabe como conseguir ver a fatura do Banco do Brasil pelo site? Pq aquela merda e bosta é a mesma coisa	0	2	Place(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, id='f207b85be9f1513e', url='https://api.twitter.com/1.1/geo/id/f207b85be9f1513e.json', place_type='city', name='Recife', full_name='Recife, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, type='Polygon', coordinates=[[[-35.019805, -8.157554], [-34.858893, -8.157554], [-34.858893, -7.929652], [-35.019805, -7.929652]]]), attributes={})	621	475
986725999013515264	banco do brasil	2018-04-18 21:59:45	yax	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		717	525
986725839193739264	banco do brasil	2018-04-18 21:59:07	Izzie	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12194	0		143	445
986725789533114368	banco do brasil	2018-04-18 21:58:55	Uchiha Pedro	Gostei de um vídeo @YouTube https://t.co/Qa2fj7Ef4K MAIOR ASSALTO A BANCO DO BRASIL !!	0	0		41	201
