	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984255797575200768	2018-04-12 02:24:03	Fox ²² ? #VGB 07/07	RT @FelipeOlimpioo: hj em dia a falsidade tá igual banco do bradesco, lado há lado com você.	1	0		3760	3262
984255463784091652	2018-04-12 02:22:43	Caio Dias	RT @Cardoso: Meu deus vejam essa thread. a App cancerosa do Bradesco só funciona se o celular estiver no horário de Brasília. Eles não ente…	8	0		733	278
984255427750883328	2018-04-12 02:22:35	Meti -Ficha	hj em dia a falsidade tá igual banco do bradesco, lado há lado com você.	1	0		1710	1215
984254678459445252	2018-04-12 02:19:36	Mark von Übelgarten	RT @Cardoso: Meu deus vejam essa thread. a App cancerosa do Bradesco só funciona se o celular estiver no horário de Brasília. Eles não ente…	8	0		106	279
984254380097589248	2018-04-12 02:18:25	Hugo Seiti	vem apenas eletronicamente por email.Qdo fui questionar se eu poderia apenas mostrar o documento pelo meu celular u… https://t.co/te8io01mW4	0	0		28	29
984254377862057984	2018-04-12 02:18:24	Hugo Seiti	"Uma crítica construtiva pra vocês do @Bradesco 
Fui ""tentar"" abrir uma conta com vocês esses dias,porém tive uma sé… https://t.co/UljA1UglvE"	0	0		28	29
984254087423234048	2018-04-12 02:17:15	hudson s martins	@sombra97fm @Bradesco Mandaram a velha guarda embora, substituíram pelos gênios do falido HSBC e cuspiram nos funci… https://t.co/mR2fthQqZu	0	0		16	76
984253112494972928	2018-04-12 02:13:23	Teddy	"RT @paulosaelias: O @professorLFG fala sobre o caso envolvendo o $BBD @Bradesco e @gilmarmendes do STF @SEC_Enforcement #Bradesco  
https:/…"	23	0		64	148
984251758984785920	2018-04-12 02:08:00	Bradesco	@brubs_rafael Em qual agência esteve? Qual serviço era necessário?	0	0		157165	4625
984250868995428352	2018-04-12 02:04:28	Gabriel R.	Ae @Bradesco me contrata que eu ajeito esse app de vocês.	0	0		173	345
984250624274509824	2018-04-12 02:03:29	Edson Pires Nunes	RT @Cardoso: Meu deus vejam essa thread. a App cancerosa do Bradesco só funciona se o celular estiver no horário de Brasília. Eles não ente…	8	0		119	139
984250604133462017	2018-04-12 02:03:25	Marcus Rocha	RT @Cardoso: Meu deus vejam essa thread. a App cancerosa do Bradesco só funciona se o celular estiver no horário de Brasília. Eles não ente…	8	0		208	275
984250131192123392	2018-04-12 02:01:32	Hugo Seiti	"Uma crítica construtiva pra vocês do @Bradesco 
Fui ""tentar"" abrir uma conta com vocês esses dias,porém tive uma sé… https://t.co/1e1E1sZR04"	0	0		28	29
984249337814372352	2018-04-12 01:58:23	Aeromoço Conrado	"@prissguerrero1 @nildaalcarinque @Bradesco E rezar pra não ser roubada ou perder dinheiro.

Dica de funcionario de… https://t.co/lDXTHPtqMH"	0	0		346	750
984249255706681344	2018-04-12 01:58:03	Kathi	RT @linezinhamacedo: Alguém joga uma ?? nesse banco do Bradesco em Carapebus	0	0		415	380
984249225901957120	2018-04-12 01:57:56	Gabriel R.	@washingtonlins @ocronico @Bradesco @ProgramadorREAL Já tive problema com esse app com minha irmã que não conseguia… https://t.co/4xHk4RJq0K	0	1		173	345
984248816483348480	2018-04-12 01:56:18	Aeromoço Conrado	"@prissguerrero1 @nildaalcarinque @Bradesco Mas reclamar não adianta. Reclamei e eles ""é, o token não funciona mesmo"""	0	0		346	750
984248163799388160	2018-04-12 01:53:43	Nilda Alcarinquë, a Gloriosa Estrela do Oeste	RT @prissguerrero1: @OLucasConrado @nildaalcarinque @Bradesco Eu tenho o app no Windows Phone. Tem horas que eu consigo ver o saldo, tem ho…	1	0		1430	383
984248149614252032	2018-04-12 01:53:39	Nilda Alcarinquë, a Gloriosa Estrela do Oeste	RT @OLucasConrado: @nildaalcarinque @prissguerrero1 @Bradesco Aí o @bradesco me deu um token fisico, que muda a senha a cada minuto. O toke…	1	0		1430	383
984248137333248001	2018-04-12 01:53:37	Nilda Alcarinquë, a Gloriosa Estrela do Oeste	RT @OLucasConrado: @nildaalcarinque @prissguerrero1 @Bradesco Pior é que reclamei no SAC do @Bradesco e eles falaram que o app dá mesmo pro…	1	0		1430	383
984248127346659328	2018-04-12 01:53:34	Nilda Alcarinquë, a Gloriosa Estrela do Oeste	RT @OLucasConrado: @nildaalcarinque @prissguerrero1 O aplicativo do @Bradesco é horroroso! Sou comissário de voo e quando vou pra estado co…	1	0		1430	383
984247982475431937	2018-04-12 01:53:00	Aeromoço Conrado	@Bradesco @ocronico Aí foda-se o cliente, né? A gente que é comissário de voo e tem o AZAR de ter o aplicativo do B… https://t.co/1RKuTQMNfg	0	1		346	750
984247908349431812	2018-04-12 01:52:42	Lari	@ribeiara @Bradesco Acho ele mt bom. O pior de tds atendimento foi o Santander cmg	0	0		388	23
984247824803155968	2018-04-12 01:52:22	Priss Guerrero	@OLucasConrado @nildaalcarinque @Bradesco E agradeço saber disso, pq agora sei que se eu precisar viajar para um lo… https://t.co/iL5TSvAhdT	0	0		782	629
