	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985178382278250498	2018-04-14 15:30:04	sylvio jose ferreira	"VOU ACELERAR E FAZER TODOS O INVISTIMENTOS SEGUROS NO ""ITAU,BRADESCO PRIME E SANTANDER"" ABRIR MAS INIVESTIMENTOS NA… https://t.co/0l3OLRjAo7"	0	0		782	4996
985177596919984128	2018-04-14 15:26:57	Aninha	Vou chamar a galera e fazer aqui na frente do Bradesco kkkk vai ser icônico! https://t.co/fw1qyzq2di	0	0		151	45
985177151719854081	2018-04-14 15:25:11	João Pedro Ribeiro	@Bradesco foi pago um valor e horas depois foi pago o restante, deveria perguntar pro cliente antes, não enfiar goe… https://t.co/bIoPjsQhFy	0	0		27	13
985177144929243136	2018-04-14 15:25:09	?uø????	"@Febatista é maravilhoso!!!
eu não tenho bike, mas aos domingos pego uma na Paulista de grátis (aquelas do Bradesco) e faço a maior tour kkk"	0	1		3272	489
985176856356950016	2018-04-14 15:24:00	pipipipopopo	@MulherTamarindo @reuelalmeida @Bradesco @AloBradesco Vou matar aquela rapariga!!!!!	0	0		593	467
985176817236611072	2018-04-14 15:23:51	João Pedro Ribeiro	@Bradesco pagamos um valor abaixo do mínimo e depois pagamos o restante, coisa de horas pô	0	0		27	13
985176670855487488	2018-04-14 15:23:16	Tiago Capalbo	I'm at Bradesco Cartões VIP Lounge in Rio de Janeiro, RJ https://t.co/bsBBddRwFX	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	462	339
985176633748414464	2018-04-14 15:23:07	Tamarindo	@teresamachado @reuelalmeida @Bradesco @AloBradesco Liga lá ou vai gritar com seu gerente na segunda q eles liberam	0	1	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	12144	3434
985176260937682944	2018-04-14 15:21:38	pipipipopopo	@reuelalmeida @Bradesco @AloBradesco @MulherTamarindo Mano do céu! O dinheiro tava lá pra pagar o cartão!!!!!!!	0	0		593	467
985176122257178626	2018-04-14 15:21:05	pipipipopopo	@reuelalmeida @Bradesco @AloBradesco O @Bradesco tá ficando louco mesmo https://t.co/zuFnawnskc	0	0		593	467
