	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986727817286176768	bradesco	2018-04-18 22:06:58	#TardezinhaDosCrias #SdcFantasy	lançou o casaquinho do bradesco mn kkkk https://t.co/4KzHgiPAMK	0	0	Place(_api=<tweepy.api.API object at 0x00000164EB5B27F0>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EB5B27F0>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	2969	811
986727652420661249	bradesco	2018-04-18 22:06:19	Pri	"Faltam 3 dias !!!!!! 

Espetáculo Léo e Bia  ? 

21/04- Teatro Bradesco ( Belo Horizonte ) QUEM VAMOS ? 

vendas: https://t.co/UPGWjayPcs https://t.co/fhgCay2xHD"	0	0		1448	70
986727152803598336	bradesco	2018-04-18 22:04:20	Leo Matos	@Bradesco Já resolvi meu amor, obrigado ??	0	0		65	91
986726547536138240	bradesco	2018-04-18 22:01:56	Bradesco	@sweet_lemmon Oi, você esteve em uma agência, sabe me dizer o número?	0	0		157329	4635
986726109386608640	bradesco	2018-04-18 22:00:11	Anna Ramalho	Rafinha Bastos em Últimas Palavras, se apresenta no Teatro Bradesco Rio https://t.co/nv0TSZyzq5 https://t.co/R6kAsfHmiR	0	0		3397	1455
986725956026068992	bradesco	2018-04-18 21:59:35	Eduarda	Apaixonei na voz da menina do SAC Bradesco que me atendeu ???	0	0		434	264
986724626356109313	bradesco	2018-04-18 21:54:18	Rayssa	"RT @IsabelVicsf: Até dando rt já vão me ajudar muito ??
Dados bancários: 
Conta - 23717-5 
Agência - 1700-0
Patrícia Fernanda dos Santos Fe…"	5	0		1708	1718
986724334793355269	bradesco	2018-04-18 21:53:08	BMI	Orgulho em apoiar a Unibes no cumprimento de sua missão social e cultural! https://t.co/qDvRpc3NDc	0	0		221	68
986723884190912512	bradesco	2018-04-18 21:51:21	Marcos Tavares	RT @ESPNagora: Do Esporte pra Vida: no @ESPNLeague_br  desta segunda, a história de superação de James Harden, do Houston Rockets, candidat…	9	0		9	47
986723416672784385	bradesco	2018-04-18 21:49:29	Bradesco	@_juliases Oi, você estava com problemas?	0	0		157329	4635
986723141979463682	bradesco	2018-04-18 21:48:24	Bradesco	@Maxwell_Trem Olá, como posso ajudar?	0	0		157329	4635
986722792799391749	bradesco	2018-04-18 21:47:00	Bradesco	@leonardolbga Oi, posso ajudar?	0	0		157329	4635
986722785170001921	bradesco	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/WDJLFggR5W SUPERA rivais ITAÚ, BB, Bradesco, Caixa e Santander, como?	0	0		15	114
986722784914104321	bradesco	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/c7zk33i3N7 VITÓRIA NUBANK sobre Itaú, BB, Bradesco, Caixa e Santander	0	0		15	114
986722285431255040	bradesco	2018-04-18 21:44:59	kamicat	@Bradesco devolve meus 22 reais	0	0		376	260
986721680671367175	bradesco	2018-04-18 21:42:35	Eduardo Souza	RT @MariDiniz086: Em 2016 foi descoberto um câncer na glândula supra renal da minha filha Caroline !Foi criada a campanha #todosjuntospelac…	1102	0		47	312
986721612060872705	bradesco	2018-04-18 21:42:19	Rê	RT @gabeegoes: Meu objetivo de vida é participar do grupinho dos véio top que ficam sentado na frente do bradesco	1	0		1611	1275
986721507979251717	bradesco	2018-04-18 21:41:54	Bradesco	@coebart_ Perdão não entendi. Qual o tipo de Bloqueio? Qual foi a orientação?	0	0		157329	4635
986721197781069825	bradesco	2018-04-18 21:40:40	CHAR	Meu objetivo de vida é participar do grupinho dos véio top que ficam sentado na frente do bradesco	1	0		856	541
986721029891518465	bradesco	2018-04-18 21:40:00	Bradesco	@brunocidadao De nada!	0	0		157329	4635
986720895124344833	bradesco	2018-04-18 21:39:28	Lucas Leal ?	Eu truta eu tô louco eu tô vendo miragem um Bradesco bem em frente a favela é viajem	0	0		644	786
986720715759128576	bradesco	2018-04-18 21:38:45	reis	RT @MariDiniz086: Em 2016 foi descoberto um câncer na glândula supra renal da minha filha Caroline !Foi criada a campanha #todosjuntospelac…	1102	0		506	480
986720584670285825	bradesco	2018-04-18 21:38:14	Mônica	A propaganda do Bradesco com Rodrigo Santoro fora do Brasil fala muito, né? ?	0	0		140	48
986720456085590016	bradesco	2018-04-18 21:37:43	d?n?-?	"RT @EXOchanging: (#VENDA) Pôsters oficiais

• Lotto: R$30,00
• Monster: R$30,00
• Baekhyun - The War: R$45,00
• Chanyeol - The War: R$45,00…"	4	0		4320	458
986720448497975296	bradesco	2018-04-18 21:37:41	d?n?-?	"RT @EXOchanging: (#VENDA) Pôsters oficiais

• SFY: R$30,00
• TPOM: R$30,00
• Hey Mama! (ver. Black): R$35,00
• Hey Mama! (ver. White): R$30…"	3	0		4320	458
986719519942078465	bradesco	2018-04-18 21:34:00	Bradesco	@weganin Olá, em qual agência esteve?	0	0		157329	4635
