	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985277251120922633	2018-04-14 22:02:56	Fernando Segura	"RT @Felippe_Hermes: O Brasil 247 acusa o Itaú de ter abortado ao pedir ao STF que retirasse o ICMS do calculo do PIS Cofins.

Basicamente p…"	9	0		280	108
985277179855626241	2018-04-14 22:02:39	esporradordofut2	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		705	1020
985276845896683521	2018-04-14 22:01:20	WEDESS	A MERDA FEDEU PARA FÁTIMA BERNARDES E BANCO ITAÚ https://t.co/eTz9GGdK9L via @YouTube	0	0		5	32
985276822052130818	2018-04-14 22:01:14	joey	@marimxri Eu tive que assistir lá em Botafogo no espaço Itaú 19h	0	0		381	84
985276727285960705	2018-04-14 22:00:51	JEFFCACHORAO	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		36	181
985276680968310785	2018-04-14 22:00:40	heraldo	RT @ventosuli6: @AriSirius @entidadefenix @TavaresLucena12 @Condefabi @Murillo_1914 @gloriaspadetti @cleberpv @uli_cassilva @Valdirene8975…	3	0		472	1324
985276638496739330	2018-04-14 22:00:30	#QueremosOBI ?	"RT @LoucosBotafogo: ? Pré caravana: 00hs
Horário de saída: 03:00
Horário do Jogo: 16hs *Volta após partida*

FORMAS DE PAGAMENTO: 

?Depósi…"	3	0		261	217
985276483185856517	2018-04-14 21:59:53	Viniciuslima82	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		76	649
985276419851857920	2018-04-14 21:59:38	Jailma	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	74	0		572	862
985276392857391105	2018-04-14 21:59:32	Jose Yanez	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		53	398
985276310007115776	2018-04-14 21:59:12	jão	@itau Agência	0	0		522	278
985276284841414657	2018-04-14 21:59:06	Andrea Castilhos	RT @ventosuli6: @AriSirius @entidadefenix @TavaresLucena12 @ceribeiro82 @gilmoraes41 @Condefabi @Murillo_1914 @gloriaspadetti @cleberpv @ul…	4	0		43	144
985276281012019200	2018-04-14 21:59:05	eater	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		2	20
985276147427627009	2018-04-14 21:58:33	#MeDefendaLula	RT @brasil247: Nassif aponta ação de Barroso em favor do Itaú https://t.co/63bDpTFQZw via @JornalGGN	21	0		10810	7148
985276079811317760	2018-04-14 21:58:17	Vinícius Cruz	"RT @Felippe_Hermes: O Brasil 247 acusa o Itaú de ter abortado ao pedir ao STF que retirasse o ICMS do calculo do PIS Cofins.

Basicamente p…"	9	0		81	92
985276029106376704	2018-04-14 21:58:05	Alexandre Eloy R.	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		88	151
985276004489973760	2018-04-14 21:57:59	betocarmona	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		86	846
985275773270536192	2018-04-14 21:57:04	edw@rds??	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		227	126
985275686960140289	2018-04-14 21:56:43	Daniel Hidalgo	RT @catiacarvalhosp: vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o show…	10	0		227	1670
985275672896720902	2018-04-14 21:56:40	LuladaSilva	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AF6bYVvysW https://t.co/me1ppNTSU9	74	0		6842	7500
985275509184630784	2018-04-14 21:56:01	catia carvalho	vou fazer daqui a pouco as 21:30hs uma live quente com brinquedo pelo site https://t.co/LLgb0dysse / por 1 hora o s… https://t.co/ohrK571X6x	10	41		51881	3220
985275508677111808	2018-04-14 21:56:01	Joao Cayres	RT @JornalGGN: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/AEYYLMCTFK https://t.co/UUEVDPJw97	10	0		777	1017
985274801878126592	2018-04-14 21:53:12	carlos felipe frank Lula da Siva	RT @BrGil39: A MÁSCARA CAIU! Nassif Aponta Ação De Barroso Em Favor Do Itaú https://t.co/sIuxIaZXAL	9	0		8456	8533
985274767166132224	2018-04-14 21:53:04	Winston Churchill	"RT @Felippe_Hermes: O Brasil 247 acusa o Itaú de ter abortado ao pedir ao STF que retirasse o ICMS do calculo do PIS Cofins.

Basicamente p…"	9	0		76	544
985274735981363200	2018-04-14 21:52:57	Uli ??	RT @ventosuli6: @AriSirius @entidadefenix @TavaresLucena12 @ceribeiro82 @gilmoraes41 @Condefabi @Murillo_1914 @gloriaspadetti @cleberpv @ul…	4	0		2255	806
