	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985677211213684741	2018-04-16 00:32:14	Galo Corneta	"@camara_sette Tá faltando elenco!!!

Salários baixos com jogadores ruins é pior q pagar um medalhão.

Faz um emprés… https://t.co/jCJRawQxLr"	0	0		30	267
985676807612649472	2018-04-16 00:30:38	PorUmBrasilSemGlobo?	RT @cCaldwell17: O Ministro Luis Roberto Barroso mudou, sozinho, a interpretação da Constituição em um processo do Itaú. (Cliente do escrit…	80	0		494	770
985676530205577217	2018-04-16 00:29:32	Nilva Lula livre	RT @EsquerdaValente: A MÁSCARA CAIU! Nassif aponta ação de Barroso em favor do Itaú. https://t.co/HOiKj6sQi7 https://t.co/PkdzhLFmnk	9	0		20	138
985676450505330689	2018-04-16 00:29:13	Sturt Silva ?	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	121	0		1640	847
985676408067371008	2018-04-16 00:29:03	Sturt Silva ?	RT @sidneyrezende: Não só os donos do Itaú estão rindo felizes com o desastre do governo Temer, os espanhóis também. De jan a set de 2017,…	26	0		1640	847
985676353809911808	2018-04-16 00:28:50	Sturt Silva ?	RT @sidneyrezende: O Itaú é um dos patrocinadores da cobertura esportiva da Copa do Mundo. E conta com a presença de Luciano Huck como garo…	69	0		1640	847
985676320528125953	2018-04-16 00:28:42	Gio	LIBERA MEU CREDITO PELO AMOR DE DEUS @itau	0	0		3992	84
985676001987497985	2018-04-16 00:27:26	Itaú	@reisvictors Oi! O que está acontecendo quando você tenta acesso?	0	0		617994	14487
985675709283819520	2018-04-16 00:26:16	johnjohnny	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	121	0		53	227
985675457310941185	2018-04-16 00:25:16	Paulo Medeiros	"RT @DarioAlok: Xadrez de como, com jeitinho, Barroso beneficiou o Itau | GGN https://t.co/NqhKEs60fQ

que canalha..."	11	0		422	369
985675332366864384	2018-04-16 00:24:46	Larissa Ferreira	Não sou Itaú, mas fui feito p vc — Kkkkkkk tá https://t.co/XOc8eJPS5D	0	0		510	339
985674207009955840	2018-04-16 00:20:18	Luiz Cordeiro	RT @cCaldwell17: O Ministro Luis Roberto Barroso mudou, sozinho, a interpretação da Constituição em um processo do Itaú. (Cliente do escrit…	80	0		758	775
985674003561009152	2018-04-16 00:19:30	Nina	@stefanoriq Ela é candidata do banco Itaú.	0	1		917	1079
985673992806764546	2018-04-16 00:19:27	Fernando Gama Peres	RT @fgamaperes: @folha Roubalheira institucionalizada e referendada por todos os governos. Presentinho para BB, Bradesco, Itaú, Santander...	0	0		320	345
985673776410038272	2018-04-16 00:18:35	Homci/Furioso	@itau Bco ladrão...	0	0		905	715
985673570671087616	2018-04-16 00:17:46	Cecília K	Todo dia recebo SMS do Itaú, falando que ultrapassei o limite do cartão! Nem cliente do Itaú eu sou, mereço né	0	0		725	551
985673406363430912	2018-04-16 00:17:07	Rafael Alves ?	Tinha uma menina no Itaú agora que mds	0	2		408	386
985672887867756545	2018-04-16 00:15:04	Claudia Lula Jacinto	RT @sidneyrezende: O Itaú é um dos patrocinadores da cobertura esportiva da Copa do Mundo. E conta com a presença de Luciano Huck como garo…	69	0		584	728
985672806355685376	2018-04-16 00:14:44	EDIA	RT @sidneyrezende: O Itaú é um dos patrocinadores da cobertura esportiva da Copa do Mundo. E conta com a presença de Luciano Huck como garo…	69	0		2128	1583
