	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986727707626168320	itau	2018-04-18 22:06:32	RG ??	#Itaú / @itau mas resolver problemas que é bom para a satisfação do cliente... Bem, já deixei DM com meu contato. Fico no aguardo. +	0	0		742	42
986727645185478661	itau	2018-04-18 22:06:17	Balbi	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	962	0		280	301
986727567704109056	itau	2018-04-18 22:05:59	? carol da luz ?	RT @ilovefofuras: Essa cachorra trabalha no Itaú e é a melhor coisa que eu vi hoje ? https://t.co/1I5xpmpkkK	20036	0		308	213
986727412653285378	itau	2018-04-18 22:05:22	marlasTattu	eu vo processa vcs porque vcs TIRAM taxa do nada do meu cartao seno 25 REAIS vcs sabiam que com 25 reais eu faco uma despesa? sinceramente que banco inutil vcs sao rico pra caralho e ainda fica cobrando taxa dozotro pra mante conta ativa se toquem @itau	0	0		2956	906
986727297028968448	itau	2018-04-18 22:04:54	Luanna Lisboa	Itau comeu meu dinheiro com uma porra de seguro que eu nem fiz, tncccc	0	0		2052	529
986726454175072256	itau	2018-04-18 22:01:33	RG ??	#Itaú / @itau Já entrei em contato por diversos lugares e não to conseguindo contato. Vamos ver se por aqui alguma coisa funciona. ah, também fui numa agência e queriam bloquear de vez o cartão. Na hora de cobrar anuidade e as taxas são incríveis na agilidade +	0	0		742	42
986726438354194434	itau	2018-04-18 22:01:30	Beatriz	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	962	0		1920	377
986726136389521409	itau	2018-04-18 22:00:18	Connekt	"O maior banco privado do Brasil abriu 3 novas vagas para Gerente de Relacionamento PF em Porto Alegre/RS. Venha trabalhar no Itaú Unibanco!

Acesse: https://t.co/WEkd7qj2mt https://t.co/vRHUFrZp5A"	0	0		3	31
986725990763323392	itau	2018-04-18 21:59:43	Carlos	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	962	0		63	394
986725963571564544	itau	2018-04-18 21:59:36	RG ??	#Itaú / @itau To reclamando porque Spotify, Globoplay, Netflix já estão pendentes... a pós-graduação mais uns dias vai ficar pendente (E JÁ AVISO QUE NÃO VOU PAGAR JUROS SE NÃO DEBITAR)... e se a minha empresa não conseguir depositar meu salário aí vai ter processo na amiguinha +	0	0		742	42
986725733144907776	itau	2018-04-18 21:58:41	Patrícia Oliveira	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	962	0		92	488
986725405531914241	itau	2018-04-18 21:57:23	Fides Social	Premio Itau Social inscrições abertas https://t.co/nVFuaXtzT7	0	0		447	363
986725275055554560	itau	2018-04-18 21:56:52	RG ??	#Itaú / @itau Minhas contas debitadas online estão bloqueadas porque o cartão está bloqueado para compras online. E não consigo falar com ninguém pra desbloquear o atual e me darem uma BOA EXPLICAÇÃO o porque da troca da minha agência (sendo que um é do RS e esse novo do RJ) +	0	0		742	42
986724690705158150	itau	2018-04-18 21:54:33	Claudio Jr	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	962	0		14	264
986724520458407936	itau	2018-04-18 21:53:52	RG ??	#Itaú / @itau Óbvio que não. Lá vai eu pro 4004-4828, e perco horas tentando falar com um atendente, já que o sistema não me leva à opção para solucionar o meu problema. Quando eu digito minha agência e conta a máquina diz pra eu retornar outra hora. Outra hora quando? +	0	0		742	42
986724093062995969	itau	2018-04-18 21:52:10	RG ??	#Itaú / @itau Eis que abro o cartão e lá diz que minha agência e conta mudaram. MAS QUEM PEDIU??? Eu só queria uma segunda via do meu cartão... detalhe, o cartão estava bloqueado apenas para compras pela internet. E o procedimento de desbloqueio é pela internet. Consegui? ¬¬ +	0	0		742	42
986723740397514752	itau	2018-04-18 21:50:46	João	18:49 e eu na faculdade desde as 08:00 da manhã com esse pessoal maravilhoso do @itau ?? https://t.co/uUlReRFIy1	0	1		809	322
986723654695358469	itau	2018-04-18 21:50:26	RG ??	"#Itaú / @Itau Uma conta do banco na casa dela? MAS COMO? Minha segunda via foi pra casa dela... Pensei: ""será que em algum momento eu passei o endereço dela para algum procedimento?"" Mesmo assim já fiquei desconfiado, pois eu confirmei o endereço da MINHA residência ao SAC +"	0	0		742	42
986723644243144704	itau	2018-04-18 21:50:23	Wellington Goncalves	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	962	0		465	364
986723357176598529	itau	2018-04-18 21:49:15	sem crush	Oi gata kkkkkSou igual ao Itau. Tenho tudo, só falta você! — dm tá aí baby https://t.co/2J0GwtE30U	0	0		849	341
986723302428340225	itau	2018-04-18 21:49:02	sem crush	Gata kkkk Sou igual ao Itau. Tenho tudo, só falta você! — Oi tudo bom? https://t.co/NxNiYoi78M	0	0		849	341
986723090787962882	itau	2018-04-18 21:48:11	RG ??	#Itaú / @itau Desliguei o telefone e refiz a ligação. Um atendente super educado parecia resolver meu problema. Enfim, a única solução era pedir uma segunda via. Passei o endereço da minha residência e aguardei. Aí, minha colega de trabalho diz que chegou uma conta na casa dela +	0	0		742	42
986722785170001921	itau	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/WDJLFggR5W SUPERA rivais ITAÚ, BB, Bradesco, Caixa e Santander, como?	0	0		15	114
986722784914104321	itau	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/c7zk33i3N7 VITÓRIA NUBANK sobre Itaú, BB, Bradesco, Caixa e Santander	0	0		15	114
986722784805097472	itau	2018-04-18 21:46:58	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/XiDF7zFvP5 CLIENTE NUBANK, BB ou ITAÚ, fuja da CILADA!	0	0		15	114
986722711446671365	itau	2018-04-18 21:46:41	Joci	@porrary_ Não tenho, só Itaú. Vou fazer isso aí	0	1		569	506
986722552662953984	itau	2018-04-18 21:46:03	RG ??	#Itaú / @itau aí a dondoca jogou na minha cara que eu estava reclamando de barriga cheia, já que o valor contestado era muito baixo. Oi? Não aguentei e um bate-boca foi iniciado. Até eu não aguentar a postura dela, que parecia de uma criança de 08 anos disputando doce com outra +	0	0		742	42
986722388279742464	itau	2018-04-18 21:45:24	Andre Guilherme	"@mark21249171 @tsantos_17 @EugenioFERS67 @PastorMalafaia DESEMPREGO:
Algumas estimativas apontam que o resultado final da crise será uma destruição líquida de cerca de 3 milhões de vagas. O Itaú BBA, por sua vez, estima que a taxa de desemprego deve atingir 13% até o final de 2017 https://t.co/bZ1Lmcndon"	0	0		23	96
