	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986729528876773379	itau	2018-04-18 22:13:46	daniel falco	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		75	307
986729526225973248	itau	2018-04-18 22:13:46	Sergio Luiz	RT @zizonavarro: Ele é do Itau, o que devemos esperar?? https://t.co/IifbXb4047	1	0		269	327
986729453949784064	itau	2018-04-18 22:13:29	Itaú	@tainamonaco   Oi. Boa noite. O Adiantamento a Depositante é um serviço que possibilita a realização de débitos quando não há mais saldo na conta. Se deseja efetuar  o cancelamento, informe agência conta, CPF, e-mail e telefone de contato com DDD.	0	0		618063	14487
986729062554046464	itau	2018-04-18 22:11:55	I LOVE BTS?	"RT @DopeKstore: ?Produtos OFICIAIS BT21 x Monopoly. 
• Somente 1 unidade cada produto
• Data final da compra: 12/04 
• Depósito ou transfer…"	18	0		121	136
986729042064957440	itau	2018-04-18 22:11:50	vivian lilian mirian livia	Queria agradecer o @itau pela vergonha que eu passei quando a atendente me garantiu que meu cartão so tava bloqueado pra compra online e eu fui fazer uma compra e adivinha só, cartão bloqueado, e meu cartão novo também, só Deus sabe quando e se chega	0	0		86	63
986728954559115264	itau	2018-04-18 22:11:29	Itaú	@RobsonPreviato Uhuuul! Isso aí, Robson! \o/ Qualquer dúvida, chama a gente!	0	0		618063	14487
986728897931816961	itau	2018-04-18 22:11:16	Follow Me 5h?	@dinahjane97  gata, não sou Itaú mais fui feita pra você	0	0		57	194
986728860250247170	itau	2018-04-18 22:11:07	ju brito	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		355	176
986728396968296448	itau	2018-04-18 22:09:17	?? ?? ???	"RT @DopeKstore: ?CEG: Love Yourself TEAR?

?R$115,00 - Unidade 
?R$410,00 - Combo
?Pgto - Depósito ou Transferência bancária no Itau ou Cai…"	63	0		307	765
986728352366153728	itau	2018-04-18 22:09:06	Bruno Brito Lima	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		386	425
986728304874049536	itau	2018-04-18 22:08:55	Dan Trindade	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		524	406
986728110925246464	itau	2018-04-18 22:08:08	lucas	a cobra do itau ja deve ter chegado no vaso do meu banheiro sem duvidas	0	1		1545	724
986728075592392704	itau	2018-04-18 22:08:00	Emerson ?	@jorgelordello Responde ae @itau	0	0		152	862
986727860701450241	itau	2018-04-18 22:07:09	RG ??	#Itaú / @itau São quase 15 anos que eu preciso orar pra não ter problema com esse banco, porque quando tem, nem força divina ajuda. Santa Paciência e Santo Expedito, vem comigo!	0	0		742	42
986727707626168320	itau	2018-04-18 22:06:32	RG ??	#Itaú / @itau mas resolver problemas que é bom para a satisfação do cliente... Bem, já deixei DM com meu contato. Fico no aguardo. +	0	0		742	42
986727645185478661	itau	2018-04-18 22:06:17	Balbi	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		280	301
986727567704109056	itau	2018-04-18 22:05:59	? carol da luz ?	RT @ilovefofuras: Essa cachorra trabalha no Itaú e é a melhor coisa que eu vi hoje ? https://t.co/1I5xpmpkkK	20036	0		308	213
986727412653285378	itau	2018-04-18 22:05:22	marlasTattu	eu vo processa vcs porque vcs TIRAM taxa do nada do meu cartao seno 25 REAIS vcs sabiam que com 25 reais eu faco uma despesa? sinceramente que banco inutil vcs sao rico pra caralho e ainda fica cobrando taxa dozotro pra mante conta ativa se toquem @itau	0	0		2956	906
986727297028968448	itau	2018-04-18 22:04:54	Luanna Lisboa	Itau comeu meu dinheiro com uma porra de seguro que eu nem fiz, tncccc	0	0		2052	529
986726454175072256	itau	2018-04-18 22:01:33	RG ??	#Itaú / @itau Já entrei em contato por diversos lugares e não to conseguindo contato. Vamos ver se por aqui alguma coisa funciona. ah, também fui numa agência e queriam bloquear de vez o cartão. Na hora de cobrar anuidade e as taxas são incríveis na agilidade +	0	0		742	42
986726438354194434	itau	2018-04-18 22:01:30	Beatriz	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		1920	377
986726136389521409	itau	2018-04-18 22:00:18	Connekt	"O maior banco privado do Brasil abriu 3 novas vagas para Gerente de Relacionamento PF em Porto Alegre/RS. Venha trabalhar no Itaú Unibanco!

Acesse: https://t.co/WEkd7qj2mt https://t.co/vRHUFrZp5A"	0	0		3	31
986725990763323392	itau	2018-04-18 21:59:43	Carlos	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		63	394
986725963571564544	itau	2018-04-18 21:59:36	RG ??	#Itaú / @itau To reclamando porque Spotify, Globoplay, Netflix já estão pendentes... a pós-graduação mais uns dias vai ficar pendente (E JÁ AVISO QUE NÃO VOU PAGAR JUROS SE NÃO DEBITAR)... e se a minha empresa não conseguir depositar meu salário aí vai ter processo na amiguinha +	0	0		742	42
986725733144907776	itau	2018-04-18 21:58:41	Patrícia Oliveira	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		92	488
986725405531914241	itau	2018-04-18 21:57:23	Fides Social	Premio Itau Social inscrições abertas https://t.co/nVFuaXtzT7	0	0		447	363
986725275055554560	itau	2018-04-18 21:56:52	RG ??	#Itaú / @itau Minhas contas debitadas online estão bloqueadas porque o cartão está bloqueado para compras online. E não consigo falar com ninguém pra desbloquear o atual e me darem uma BOA EXPLICAÇÃO o porque da troca da minha agência (sendo que um é do RS e esse novo do RJ) +	0	0		742	42
986724690705158150	itau	2018-04-18 21:54:33	Claudio Jr	RT @RAgapto: De repente falta energia na agência do Itaú de Manaus. Quando os eletricistas vão até à central de energia, descobrem a causa…	966	0		14	264
