	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985285110273662982	2018-04-14 22:34:10	satomás	@fuckingbaddd me chama de nubank rsrsrs	0	0		267	193
985284930736459776	2018-04-14 22:33:27	hygor	CARALHO EU VOU COMER O CU DO NUBANK	0	1		1159	1972
985283868835139584	2018-04-14 22:29:14	Luis Lula Severiano	@nubank me dêem um help aí. Quando tava terminando meu cadastro apareceu essa mensagem. Já faz 24hrs que eu tento. https://t.co/KntLIXDjYO	0	0		26	403
985282420634259456	2018-04-14 22:23:29	Tanaê ?	Você percebe que, generalizando, brasileiro tem péssima noção de economia quando a galera comemora a possibilidade… https://t.co/6mvRRc0STi	0	0		337	436
985279670408044544	2018-04-14 22:12:33	Francis Pereira	@squallmacthorio @evaldodesousa @joaoamoedonovo @Bancointer @nubank Sim, sou cliente da @nubank e @meudigio estão m… https://t.co/gGop2dm2VE	0	0		42	26
985279254094114816	2018-04-14 22:10:54	Leticia Escuer	Perdi meu @nubank ??	0	0		209	184
985278963227512832	2018-04-14 22:09:45	Leh?Stan U-KISS?	Chateada com o @Nubank me cobrando 15$ de multa por causa de 1 dia de atraso em Março parabéns lotéricas com sistem… https://t.co/4Gw2OJKLbt	0	0		1121	1235
985278684188872704	2018-04-14 22:08:38	Laviny	@_camargomaico @nubank Nem quero mais, já virou humilhação ahsuahsjahsa	0	0		34	101
985278354063577088	2018-04-14 22:07:19	Lola Swan	@zanchettafelipe ta no proprio app do nubank	0	0		1372	492
985277187036205056	2018-04-14 22:02:41	Maico Camargo	@teligaLaviny Ajuda a moça @nubank !	0	1	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='39a95a857fe8254f', url='https://api.twitter.com/1.1/geo/id/39a95a857fe8254f.json', place_type='city', name='Santa Maria', full_name='Santa Maria, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-54.1312241, -30.005805], [-53.5171816, -30.005805], [-53.5171816, -29.5003654], [-54.1312241, -29.5003654]]]), attributes={})	4	18
985276776917164032	2018-04-14 22:01:03	Lê vs the Forces of Resident Evil	Abri meu Nubank aqui e meus únicos gastos esse mês foram a ração da Nym e a Netflix SHOOK	0	0		496	125
