	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986727746268262400	nubank	2018-04-18 22:06:41	Larissa	@IsabelaaFreitas @nubank @ivens_gabriel3 olha aí imundo	0	0		324	610
986727700181200896	nubank	2018-04-18 22:06:30	Nubank	@_vitvitoria Bem-vinda à família roxinha, Vitória! ? https://t.co/kCBkw5CKXr	0	0		104686	7062
986727473017774080	nubank	2018-04-18 22:05:36	Nubank	@BioRafa Aconteceu alguma coisa? Podemos te ajudar em algo?	0	0		104686	7062
986727207614799872	nubank	2018-04-18 22:04:33	MANOEL GOUVEIA	@mpf_marcos @nubank Parabéns!!!	0	0		25	297
986726512366968832	nubank	2018-04-18 22:01:47	Nubank	@Claudio_Yuri Seria maravilhoso, né? Resolver tudo facilmente e depois só relaxar! ? https://t.co/ArrFSxbPKs	0	0		104686	7062
986726360503734273	nubank	2018-04-18 22:01:11	Avner POSNER	@lflimaaa @nubank @Uber_Brasil TALVEZ, eu disse TALVEZ, eu tenha tentado cadastra-lo qndo ele não estava desbloqueado kkkk https://t.co/sjx6rcyNnJ	0	0		601	403
986725424574148608	nubank	2018-04-18 21:57:28	felizmente ysa	@nubank Sim ? aí hj eu pedi de novo e o email disse pra eu esperar mais 3 meses ?	0	0		371	249
986725261721948165	nubank	2018-04-18 21:56:49	Carolina	@nubank Quero provas ! Kkkkkkkk tamo junto #somostodosnu https://t.co/AizI4rwbXm	0	0		130	311
986725092523757568	nubank	2018-04-18 21:56:09	Matriick ?????	@nubank Obrigado	0	0		1308	781
986725053294358529	nubank	2018-04-18 21:55:59	Luiz Rafael	@nubank Ultimamente to deixando de conhecer...???	0	0		369	337
986725044024901633	nubank	2018-04-18 21:55:57	vitória da mata	Meu roxinho chegouuuu!! Eba @nubank ?	0	1		292	172
986724792723279877	nubank	2018-04-18 21:54:57	Nubank	@patriickbellem1 Não chora não! Realmente não conseguimos aprovar todos os pedidos, mas aguarde 6 meses e tente novamente. Vamos ficar na torcida! ?	0	1		104686	7062
986724565316448256	nubank	2018-04-18 21:54:03	Nubank	@ysabxllla Ysa, quando vc tem um pedido negado a gente recomenda que vc aguarde 6 meses e faça o pedido novamente. Já faz 6 meses do seu último pedido?	0	0		104686	7062
986724511356735493	nubank	2018-04-18 21:53:50	Matriick ?????	@nubank Sempre que alguém vem no meu trabalho com um roxinho da vontade de chorar por não ter conseguido o meu ainda ??	0	0		1308	781
986724342452183040	nubank	2018-04-18 21:53:10	rod	@pavlocarvalho @nubank uhum jaeh. :)	0	0		429	390
986724102550573062	nubank	2018-04-18 21:52:13	Nubank	@LopesCharles As solicitações de aumento de limite precisam ser feitas pelo app. Pede por lá que te mandamos o retorno bem rápido. (:	0	0		104686	7062
986724100583444480	nubank	2018-04-18 21:52:12	gabi	RT @nubank: @iamfoltz_ E o roxinho tá na sua carteira doidinho pra ser usado! https://t.co/WWSkGfyoNS	1	0		927	887
986724095533436928	nubank	2018-04-18 21:52:11	Yuri Brandão	Tudo devia ser tão simples quanto o @nubank	0	0		195	146
986723253308837889	nubank	2018-04-18 21:48:50	Marc0soft?	"RT @nubank: Agora que você conhece o Nubank, dê adeus às agências e filas de bancos.
Controle seus gastos, bloqueie seu cartão e peça mais…"	22	0		8353	9185
986723041672663041	nubank	2018-04-18 21:48:00	Nubank	@ArthurAnd Queremos muito te ajudar nessa compra, mas por aqui nós não conseguimos fazer esse pedido, precisa ser pelo app mesmo, ok? Vamos ficar aqui na torcida para que vc consiga! ?	0	0		104686	7062
986722785266405376	nubank	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/dm1VNjpjk0 NUBANK 2018 [Grátis, rende mais que poupança]	0	0		15	114
