	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986736476221267968	nubank	2018-04-18 22:41:23	Jéssica	Link do vídeo - https://t.co/3Ip1y6w7Er @nubank #nubank #18Abr #EarthDay #AltasHoras #ComeceAlgoQueNaoTemPreco #Globoplay #goodvibes #JornalismoRecord #nuconta #MaisVocê #NotíciaNaHoraCerta #RedeTVNews # https://t.co/kPZfC80P9c	0	0		81	247
986736264178229248	nubank	2018-04-18 22:40:32	Junior Filippelli	RT @nubank: @jrfilippelli Seja muito bem-vindo! Agora é só aproveitar muito o seu Roxinho! ? https://t.co/CkM3idA7Bt	1	0		1269	378
986736204854054912	nubank	2018-04-18 22:40:18	Nubank	@alexsilvinha75 Ficamos felizes com o seu interesse em nosso cartão! Mas não conseguimos interferir por aqui, nem agilizar a sua resposta. Calma que já já chega a sua resposta. Estamos torcendo para que dê tudo certo! ?	0	0		104695	7062
986735877555740673	nubank	2018-04-18 22:39:00	Carolina	@nubank Sendo assim , sim ! https://t.co/QxhT8HTjUN	0	0		130	313
986735115127619584	nubank	2018-04-18 22:35:58	Gabriela	RT @IsabelaaFreitas: nunca façam um @nubank na vida de vocês. estou pagando fatura de alguém que clonou meu cartão desde OUTUBRO pedindo pr…	22	0		114	196
986735008193961984	nubank	2018-04-18 22:35:33	lucasgabd	@nubank Uma amiga sempre pede aumento de limite e nunca consegue. Quais os criterios que vcs usam para aprovar os aumentos?	0	0		3385	1779
986734299666841601	nubank	2018-04-18 22:32:44	Luiz Rafael	@nubank Não deu certo. Vou procurar o Plutão Vanguardista!	0	0		369	337
986734105818693632	nubank	2018-04-18 22:31:58	Mortadela	Coisa mais linda da vida! &lt;3 https://t.co/zmKRUpvhdS	0	0		257	162
986733865535451137	nubank	2018-04-18 22:31:00	Kim	@b_nobrega Vai no tt da dita cuja e vê ela reclamando do nubank. Até aí ok. Mas ve a forma que ela fala. Independente da revolta, falar com uma empresa cheia de palavrões é pavoroso. 0 compostura +	0	0		80	169
986733610156818433	nubank	2018-04-18 22:29:59	INSTAGRAM: Kamilagdn	"Eu amo meu cartão do @nubank  #Nubank
Ainda tem desconto se antecipar as parcelas das compras. 

#QuartaDetremuraSDV  #QuartaBelinatoooSDV #QuartaComTsunamiSDV #FacebookComprouTwitter"	0	1		3925	1047
986733480594862080	nubank	2018-04-18 22:29:29	Nubank	@Mellachovisk Você já fez a solicitação pelo aplicativo?  Nós não temos como interferir na análise, todas as solicitações de aumento de limite são feitas exclusivamente pelo app. ?	0	0		104695	7062
986733326097580032	nubank	2018-04-18 22:28:52	Carolina	@nubank Nao posso convidar ,pois quem convida paga pelo menos é o que diz minha vó né kkkkkkkk sem grana   #DR	0	0		130	313
986733166009487360	nubank	2018-04-18 22:28:14	vick	to num ponto da minha vida que eu tive que vender meu iphone pra pagar o nubank...	0	0		4272	909
986732553431379968	nubank	2018-04-18 22:25:47	ana	finalmente chegou meu Nubank aaaaa	0	0		227	258
986732522900992000	nubank	2018-04-18 22:25:40	Nubank	@carolinaitalia Ain, então tá na hora de vc nos chamar para o seu local favorito pra gente renovar esses laços, Ca. ;) #DR https://t.co/fw60WZU1OT	0	0		104695	7062
986732331057729536	nubank	2018-04-18 22:24:54	Alana Genovesi ?	@nubank Minha amiga ganhou pq perdeu o dela, se for assim, eu perco direto hahahahha eu tenho os adesivos ?	0	0		2739	421
986732003209998342	nubank	2018-04-18 22:23:36	Nubank	@alaanag_ Esses produtos são para ações pontuais, Alana. Que tal nossos adesivos roxinhos? Se quiser, chama a gente por DM! ?	0	0		104695	7062
986731951360036865	nubank	2018-04-18 22:23:24	minotti	@nubank Quero aumentar meu limite. Ajuda ai...	0	0		17	592
986731650255028226	nubank	2018-04-18 22:22:12	Nubank	@BioRafa Por conta do mercúrio retrógrado, um mal entendido ou outro pode ter acontecido, mas ele finalmente acabou! Quem sabe agora vc não consegue? Já fez seu pedido pelo app? Vamos torcer para que dê certo dessa vez! ?	0	0		104695	7062
986731641266688000	nubank	2018-04-18 22:22:10	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/4623QH6M90ê o meu cartão Nubank?	0	0		15	114
986731383761580032	nubank	2018-04-18 22:21:09	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/Cz3hzRqI2e funciona a lista de espera do Nubank?	0	0		15	114
986730927941406721	nubank	2018-04-18 22:19:20	Alana Genovesi ?	Eu amo a @nubank mas acho chacota eles não me darem uma bolsinha pro cartão de celular, todos meus amigos me fazem inveja ?	0	1		2739	421
986730871339307010	nubank	2018-04-18 22:19:06	May	@mpf_marcos @nubank me envia um convite pra eu participar tbm, por favooor	0	0		151	664
986730388713279489	nubank	2018-04-18 22:17:11	Carolina	@nubank Lanche ? Não, obrigada! Kkkkkkk tenho que ter excelentes motivos para usar o cartão. Bff's sabem essas coisas uns dos outros , precisamos melhor isso ai  #planejamento	0	0		130	313
986730265207885825	nubank	2018-04-18 22:16:42	May	@mr_littlewhite @nubank me envia um convite pra solicitar o cartão, por favoooor	0	0		151	664
986729591011201027	nubank	2018-04-18 22:14:01	Nubank	"@avnerposner Quem nunca tentou passar o cartão com ele bloqueado pelo app, não é mesmo? hahahaha

Mas não esquece hein? Sempre que precisar de ajuda, é só nos chamar! ? https://t.co/WinxVyLYbt"	0	1		104695	7062
986729303634337798	nubank	2018-04-18 22:12:53	Ivens Gabriel	@euLarissaD @IsabelaaFreitas @nubank Vai quebrando toda maldição e bruxaria em nome de Jesus queima Jeová o sangue do cordeiro tem poder vai tirando da frente toda obra do satanás QUEIMA JEOVÁ	0	0		682	1658
986728792080166912	nubank	2018-04-18 22:10:51	Larissa	@ivens_gabriel3 @IsabelaaFreitas @nubank O próximo vai ser tu kkkkk	0	0		324	610
986728538735890432	nubank	2018-04-18 22:09:50	Ivens Gabriel	@nubank @IsabelaaFreitas Eita	0	0		682	1658
986728505336651776	nubank	2018-04-18 22:09:42	Enter Nauta	Qual diferença entre o #Nubank Platinum e o Nubank Gold?: Visite Conta em Banco Você tem um… https://t.co/g8DNtbmvI3	0	0		149	27
986728480397250561	nubank	2018-04-18 22:09:36	Nubank	@ysabxllla Fica assim não, Ysa! Vc tá na nossa lista de espera. Agora é só aguardar. Vamos torcer para que dê tudo certo, amore. ? https://t.co/B421hDiD7e	0	1		104695	7062
986728295004852225	nubank	2018-04-18 22:08:52	João NS	RT @IDGNow: Nubank aposta em biometria facial para combater tentativas de fraudes  https://t.co/X06WjfO2cT https://t.co/6ofREoGxkG	0	0		5	19
986728175194574851	nubank	2018-04-18 22:08:24	Luiz Rafael	@nubank Além do mercúrio retrógrado, o fato de nunca aumentarem meu limite. ??	0	0		369	337
