	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986811741463072769	nubank	2018-04-19 03:40:27	Princesa Tigresa	"@IsabelaaFreitas @nubank O certo seria que apenas o titular do cartão pudesse fazer compras mostrando a identidade e nas compras pela internet deveria ter um tipo de ""código secreto""."	0	0		45	466
986811443877117953	nubank	2018-04-19 03:39:16	Elvis ???? ?? ??	"RT @nubank: Abandone as grandes instituições e diga ""olá"" para a liberdade.

Peça seu cartão:  https://t.co/nADd0Zdd6X https://t.co/HwxRzE7…"	4	0		6906	7592
986811013155745792	nubank	2018-04-19 03:37:34	Cardinal Copia	Será que um dia terei essa oportunidade @nubank https://t.co/Sw2WAmROcA	0	0		1433	156
986810958180954117	nubank	2018-04-19 03:37:21	Ariel Martins	Só esperando meu nubank chegar pra comprar o lemonade aa	0	0		577	421
986810587605819393	nubank	2018-04-19 03:35:52	Modtkowski??	@nubank Já pedi pra cancelar meu cartão do banco pra ficar só com Nubank, melhor escolha que fiz	0	0		226	270
986810417338085376	nubank	2018-04-19 03:35:12	Gustavo Martins	Finalmente consegui meu Roxinho, obrigado @nubank por me aceitar!	0	0		471	849
986810276669460480	nubank	2018-04-19 03:34:38	vitória da mata	@nubank Obrigada hihihi	0	0		292	172
986809504460361728	nubank	2018-04-19 03:31:34	junior ?	@nubank Lembrando que é apenas uma duvida kk porque não entendi muito bem	0	0		30	62
986809453239468033	nubank	2018-04-19 03:31:22	gael	Nubank é bom????	0	0		779	638
986809314605191168	nubank	2018-04-19 03:30:49	Blue_Blck_Pnk	@nubank Eu amo o meu roxinho pra fazer as comprinhas no Ebay, e tô amando ainda mais que agora vcs falam qual dólar que eu usei. Como não amar esse cartãozão da p*rra?	0	0		19	187
986809081401929728	nubank	2018-04-19 03:29:53	junior ?	"@nubank  Olá boa noite, Gostaria de saber como funciona esse negocio de parcelas ? posso parcelar no boleto ? um ex: faço uma compra de 300 divido em 3 vezes, pago 100 reais em cada mes  que eu dividi ? é isso ? ou tenho que pagar o 300 ""inteiro"" no dia do fechamento da fatura ?"	0	0		30	62
986808999759831040	nubank	2018-04-19 03:29:34	camila ?	Eu comprei um aplicativo sem querer... 3 reais... apareceu na minha continha do nubank... mt burra	0	0		304	235
986806592921358337	nubank	2018-04-19 03:20:00	William Moreira	@PayPal_BR @AskPayPal Boa Noite! Gostaria de saber como eu adiciono minha conta corrente da Nubank no PayPal.	0	0		108	114
986806499233222656	nubank	2018-04-19 03:19:38	aj	@nubank ai vcs nao me aceitam mas nao param de aparecer na minha tl, q jogo é esse?	0	0		574	460
