	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984256996856786944	2018-04-12 02:28:49	Nextage	Gostei de um vídeo @YouTube https://t.co/VAIdq5agEK de Carvalho - Direita burra VS caso Santander	0	0		64	175
984256920914710529	2018-04-12 02:28:31	Livia Luz	@valdirgjunior21 @santander_br Um dia, quem sabe. Por enquanto nem me atrevo a mudar nada com medo de dar merda. Te… https://t.co/d516Fr8H8U	0	0		90	91
984256734939303936	2018-04-12 02:27:46	Matheus	eu odeio o santander	0	0		458	426
984254712202571776	2018-04-12 02:19:44	?Bichaa?	RT @AzulVelazquez5: Escribime forro ?	1	0		184	310
984251370428608516	2018-04-12 02:06:27	Santander Brasil	@wandanatsh Wanda, por favor entre em contato com nossa Central (11) 4090-1450 / Demais localidades: 0800-090-1450.… https://t.co/VVdZEX4vDm	0	1		187001	25742
984250961437839361	2018-04-12 02:04:50	com o supremo, com tudo	olha, o santander realmente consegue ser o pior banco	0	0		1191	841
984249579037167616	2018-04-12 01:59:20	natália	@santander_br como vocês vão entrar em contato sabendo que vocês não tem número nem nada meu?	0	0		13863	6945
984249352167313408	2018-04-12 01:58:26	?????	@Tec_Mundo Será que assim eu paro de ser incomodado pelo @santander_br? Eu nunca sequer entrei numa agência desse b… https://t.co/Do89IRmNWr	0	0		146	91
984248096329797632	2018-04-12 01:53:27	Valdir Junior	@livialuz @santander_br Que isso Livia....Pode experimentar que essa inovação é muita maneira e dispensa o cartão f… https://t.co/k78D95uu7t	0	1		107	743
984247908349431812	2018-04-12 01:52:42	Lari	@ribeiara @Bradesco Acho ele mt bom. O pior de tds atendimento foi o Santander cmg	0	0		388	23
984247395037966336	2018-04-12 01:50:40	Sandra Meira Roehr	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		762	929
984247394291388417	2018-04-12 01:50:39	Valdir Junior	@santander_br Muito maneira e prática demais...sou fã da pulseira e aposentei o cartão!	0	0		107	743
984247247197089792	2018-04-12 01:50:04	NuestraVisión	Santander financia 11 becas de movilidad de la UMSNH https://t.co/yRRlroZfKk https://t.co/Knr7G0leK3	0	0		66509	25225
984246172398374912	2018-04-12 01:45:48	Priscilla Mansur	@valdirgjunior21 @santander_br Quero é o Apple Pay!	0	0		526	581
984245662748413954	2018-04-12 01:43:47	sr. prefeito joão	cAralho, eu levei mais de 20 minutos para pagar uma fatura com códigos de barras no aplicativo do santander	0	1		359	271
984244512464736257	2018-04-12 01:39:12	Rafael Batista	@santander_br alguém pode me ajudar?	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	2897	1975
984243653668425740	2018-04-12 01:35:48	Santander Brasil	@MaxOficial2017 Maxsuel, para saber as informações do seu atendimento é preciso contatar o SAC. Peço um voto de con… https://t.co/GKtVb3hbAD	0	0		187001	25742
984241896003457029	2018-04-12 01:28:48	maisvalia	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		394	1117
984241420948123650	2018-04-12 01:26:55	Santander Brasil	@vanessamgl Vanessa, é preciso habilitar o ID Santander para realizar transações online. Fique tranquila, pois o pr… https://t.co/XrMq1fNpm9	0	0		187001	25742
984240744071385088	2018-04-12 01:24:14	n	@santander_br a conta superdigital é bem complicada ein? Me manda autêntica os dados e eu nao consigo porque a senh… https://t.co/T9FUGlCMlg	0	0		2878	189
984240478576095232	2018-04-12 01:23:11	Darius Stone	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		1045	2488
984238814045630464	2018-04-12 01:16:34	Ana Ferreira	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		465	847
984238653504401408	2018-04-12 01:15:55	Bruno Peterson Cunha	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		111	318
984238131040923659	2018-04-12 01:13:51	MaxsuelOficial2017	@santander_br A única medida e acionar judicialmente o que não queria fazer, porém vocês estou me obrigando a recor… https://t.co/G3VmKESZs1	0	0		50	264
984237977978265601	2018-04-12 01:13:14	Vandeco	@Thalmir @santander_br Sério q ganhou ingresso?	0	0		10	149
984237857198964736	2018-04-12 01:12:46	MaxsuelOficial2017	@santander_br O que adianta entrar em contato com o SAC e nunca ter um retorno de vocês?? Já entendi a de vocês, já… https://t.co/ThlgCGW5R2	0	0		50	264
984237546220806144	2018-04-12 01:11:31	Wellington Torrejais da Silva	Nubank abre processo no Cade contra Itaú, Bradesco, Caixa, BB e Santander https://t.co/mIUFgjF9A2 via @VEJA	0	0		940	4998
984237414729375744	2018-04-12 01:11:00	Santander Brasil	@MaxOficial2017 Maxsuel, como dito anteriormente em outras redes sociais, para mais informações sobre seus protocol… https://t.co/J5c9jUH8x8	0	0		187001	25742
984236186439827457	2018-04-12 01:06:07	Tatimara	Mas é lindo ? em Farol Santander https://t.co/SKsqKvk0y9	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	11978	274
984235925520769024	2018-04-12 01:05:05	???	Que sucio felipe melo para jugar	0	0		413	153
984234896913764352	2018-04-12 01:01:00	DUDU ?	Puta que pariu, que raiva desse Santander	0	0		237	195
984234649156227072	2018-04-12 01:00:01	Me da atenção	santander vc pode orfavor trocar a minha conta por uma conta corrente	0	0		379	273
984233548751269888	2018-04-12 00:55:38	Rafa Santos	@santander_br Que bosta ?	0	0		69	152
984232699891191808	2018-04-12 00:52:16	Patrícia Cardoso	Meu maior ranço é o Banco Santander.	0	0		370	365
984231389880115202	2018-04-12 00:47:04	mario	Artistas exploram o Rio e gravam clipe no estilo ‘We Are The World’ para se promover. Por Donato… https://t.co/HqrSfuxFJW	0	3		4852	3999
984230730820669444	2018-04-12 00:44:27	MaxsuelOficial2017	@santander_br  o que tem a me dizer?? Ou vou ter que acionar judicialmente?????? https://t.co/OuXZPM9LKl	0	0		50	264
984230074722418689	2018-04-12 00:41:50	Santander Brasil	@GUSTAVOCMATOS Vou verificar, Gustavo. Envie os dados por mensagem privada para que eu possa verificar.	0	0		187001	25742
984229403067592704	2018-04-12 00:39:10	bhadkris	@santander_br não sei :(	0	0		598	236
984228990805336064	2018-04-12 00:37:32	Santander Brasil	@neveslaris Qual sua solicitação, Laris? Posso ajudar por aqui?	0	0		187001	25742
984227822943244288	2018-04-12 00:32:53	Aimée Regina	@LgaCx No antigo prédio do Banespa perto da ladeira Porto Geral e agora chama Farol Santander.	0	1		567	198
984227282956013568	2018-04-12 00:30:44	André	Daqui a pouco o Gallo contrata o banco Itaú, Santander e Caixa. Eu nunca vi tanto bonde emprestado chegando para ve… https://t.co/oL0yUR2aUG	0	3	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='d9d978b087a92583', url='https://api.twitter.com/1.1/geo/id/d9d978b087a92583.json', place_type='city', name='Belo Horizonte', full_name='Belo Horizonte, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-44.062789, -20.059816], [-43.856856, -20.059816], [-43.856856, -19.777568], [-44.062789, -19.777568]]]), attributes={})	364	743
984226179803762688	2018-04-12 00:26:21	GUSTAVO	@santander_br Acho que os meus dados estão sendo negociados, comercializados com aval da instituição financeira. O… https://t.co/67hNTIJstF	0	0		59	112
984226063751569409	2018-04-12 00:25:54	Santander Brasil	@shinelabo Peço desculpas, poderia informar o código da agência?	0	0		187001	25742
984225807525703681	2018-04-12 00:24:53	GUSTAVO	@santander_br Sim sim. O bloqueio existe desde o dia da abertura da conta, inclusive tenho até o print da tela, cas… https://t.co/YKu8WsBrts	0	0		59	112
984225714177302529	2018-04-12 00:24:30	Tk general ??	Depois de 5 meses sem cartão ele chegou do Santander agora posso baixar meu aplicativo e ver meus dotes ?????	0	0		279	378
984225486267125760	2018-04-12 00:23:36	Laris	@santander_br Só tinha um gerente na unidade de Arujá ontem, esperei 2h30 e não fui atendida :(	0	0		404	194
984225457603334144	2018-04-12 00:23:29	Santander Brasil	@maanuags Manu, sinto muito pelo transtorno. Encaminhe seu CPF, nome completo, email e telefone que recebe as chama… https://t.co/pN1jxwye7X	0	0		187001	25742
984224831674769413	2018-04-12 00:21:00	Santander Brasil	@GUSTAVOCMATOS Você havia nos solicitado o bloqueio dos contatos? Foi enviado um cartão não solicitado à você?	0	0		187001	25742
984224080202223616	2018-04-12 00:18:01	bhadkris	@santander_br isso	0	0		598	236
984223940817096704	2018-04-12 00:17:28	Santander Brasil	@shinelabo Você se refere aos caixas eletrônicos?	0	0		187001	25742
984223825717071873	2018-04-12 00:17:00	Santander Brasil	@azideiah Entendi, Rafa. Neste caso você pode tentar novamente em quatro meses.	0	0		187001	25742
984223301525438464	2018-04-12 00:14:55	manu	Esse Banco Santander é o pior Banco do Brasil, e o que mais falta com o respeito aos clientes. Recebo insistentemen… https://t.co/TlOmQ6lqN2	0	1		1606	169
984223180196892673	2018-04-12 00:14:26	Iego	Cancelado ir ao Farol do Santander por motivos de ser caro demais.	0	0		871	385
984222978257969152	2018-04-12 00:13:38	Snow	"RT @_Osblancos: Real Madrid 1 x 1 Atlético de Madrid: La Liga Santander.
Gol: Cristiano Ronaldo 
Assistência: Bale https://t.co/Lfv6VisuTG"	4	0		950	851
984222963351343104	2018-04-12 00:13:35	Snow	"RT @_Osblancos: Final de jogo: La Liga Santander.
Real Madrid 1 x 1 Atlético de Madrid. https://t.co/bqhVidi1BC"	7	0		950	851
984222925392875521	2018-04-12 00:13:26	Gilberto Preto	@saqueevoleio @institutosports @santander_br Virá pra Campinas? Se vier pago a cerveja...(rs)	0	0		42	163
984222899069444096	2018-04-12 00:13:19	Dantas	falando em santander, ele que tá patrocinando a festa ?	0	1		1083	904
984222892887085056	2018-04-12 00:13:18	bhadkris	@santander_br aí olha queria fazer um apelo, o santander de são joão não funciona	0	0		598	236
984222877305237505	2018-04-12 00:13:14	SEEB JGS E REGIÃO SC	REUNIÃO BANCO SANTANDER DIA 19/04/18. https://t.co/cU6cc3c6KB	0	0		17	30
984222843419361283	2018-04-12 00:13:06	?Tuca ?	"Olavo de Carvalho - Direita burra VS caso Santander 
https://t.co/JHzCyPQyiV"	0	0		864	960
984222818186522624	2018-04-12 00:13:00	Santander Brasil	@Thalmir Thalmir, que galera animada! Agora é aproveitar cada instante do jogo! ?	0	1		187001	25742
984222566104682496	2018-04-12 00:12:00	Santander Brasil	@CanejoLarissa para alterar o telefone você deve ir a um de nossos Caixas Eletrônicos e selecionar Outras Opções -… https://t.co/4tdPXv9gA6	0	0		187001	25742
984222203632869376	2018-04-12 00:10:33	Santander Brasil	@JubisCosta Que legal :) Estou encaminhando para ela.	0	0		187001	25742
984222203448365057	2018-04-12 00:10:33	Santander Brasil	@pqpaaulo entendi, Paulo. O fechamento da fatura ocorre em até 5 dias úteis antes do vencimento. Você verificou no… https://t.co/piHMWcGobp	0	0		187001	25742
984222138516361217	2018-04-12 00:10:18	Hurricane	Eu torta na exposição ??? @ Farol Santander https://t.co/FBH2gHbFzB	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	254	59
984219990055424001	2018-04-12 00:01:46	GUSTAVO	@santander_br Não há necessidade, isso eu já havia feito. Quero saber porque foi descumprido, porque meus dados est… https://t.co/jocvpLpaX9	0	0		59	112
984219754427756550	2018-04-12 00:00:50	iza	@stcandyharry o santander	0	0		14427	10180
984219728473481216	2018-04-12 00:00:43	?Bichaa?	RT @noticiaparati: Nunca!. ??????? https://t.co/fxOZ6nFiOA	387	0		184	310
984219630293090304	2018-04-12 00:00:20	Thalmir Barbosa	Obrigado @santander_br !!! #SantanderNaLibertadores https://t.co/MNaSvOEObH	0	0		300	209
984218937373192192	2018-04-11 23:57:35	Larissa Canêjo	@santander_br quero trocar o número de telefone cadastrado na minha conta, mas não consigo :( O que fazer? Não tenh… https://t.co/QWAl6ljgBB	0	0		10	49
984218799128940544	2018-04-11 23:57:02	Juliana?	@santander_br Kkkk agência da 503 sul , creio que o nome dela seja Regiane. Agradecida!!! ?	0	0		242	158
984218591955423238	2018-04-11 23:56:12	Rafa Santos	@santander_br Siiiiiiiiiiim, mandei holerite tem menos de 1 mês....	0	0		69	152
984218407200612354	2018-04-11 23:55:28	Santander Brasil	@azideiah Sua renda está atualizada em nosso cadastro?	0	0		187001	25742
984218218356269056	2018-04-11 23:54:43	Manoel Arcanjo Souza	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		10	33
984218184734662657	2018-04-11 23:54:35	Helena Jimenez	Vocês tem que ir na expo do Saramago, ta mara, ta tudo! Só isso mesmo. ?? em Farol Santander https://t.co/cN3gDoO9mw	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	2717	469
984218015796547584	2018-04-11 23:53:55	Paulo segundo	@santander_br Mas eu não queria parcelar, só quero a fatura certinha pq se fechar no dia 20 como sempre fechava	0	0		77	57
984217986994262016	2018-04-11 23:53:48	.me llamo roberto.	@TiagoBelotti @freitasfeh @nautilusmagnata @incrivson tinha uma galera que também tava querendo definir o que era e… https://t.co/6zciIq1cnq	0	0		2105	1602
984217185999613953	2018-04-11 23:50:37	Santander ??	Alguma vez você robou em uma loja? O que era? — kk eu já roubei um carro da hotwheels quando era criança na casa&amp;vi… https://t.co/vB3l7KOHLo	0	0		215	461
984216589879955457	2018-04-11 23:48:15	Iego	Nossa dá para dormir no farol do Santander, ALGUÉM PAGA PARA MIM!!!	0	0		871	385
984216339035377665	2018-04-11 23:47:15	Salvador Gómez	@dalifr @Citibanamex Santander no cobra.	0	0		1305	1951
984216256579596288	2018-04-11 23:46:56	Rafa Santos	@santander_br Não consegui ?	0	0		69	152
984215375507283968	2018-04-11 23:43:26	Juan Alvarado	@AGM5012 @SancadillaNorte Pensó que era Santander	0	0		38	222
984215235568590848	2018-04-11 23:42:52	FERnomenal	@santander_br me ajuda,eu saí do aplicativo way, e agr tento entrar mas fala que a senha está errada	0	0		106	951
984213384982941696	2018-04-11 23:35:31	Jaildon	@_thalesnogueira A sua carteira de trabalho e uma maquininha do santander	0	0		860	1637
984213003582279680	2018-04-11 23:34:00	Santander Brasil	@pqpaaulo Paulo, não chora, não. Vou te ajudar! Vc pode parcelar a sua fatura no app Way ou na Central de Atendimen… https://t.co/8uG6p5pw1q	0	0		187001	25742
984212414467133440	2018-04-11 23:31:40	Santander ??	para de ruindade, que que custa tu me fazer 10 pergunta fdp??! ?? https://t.co/vJnpushFLY	0	0		215	461
984212271894355968	2018-04-11 23:31:06	Iego	Combinando de amanhã ir ao farol do Santander... Espero que dê certo.	0	0		871	385
984210143385653248	2018-04-11 23:22:38	drake	@sombra97fm @guiyperes @Bradesco o do @santander_br é otimo	0	0		31	27
984209591562067968	2018-04-11 23:20:27	Santander Brasil	"@maricmascarello Maria, tente habilitar o ID Santander em um de nossos caixas eletrônico e 
 depois acesse o menu d… https://t.co/5gOOOT6FXr"	0	0		187001	25742
984209386900983808	2018-04-11 23:19:38	Difundir Tecnologia	Sérgio Rial, Presidente do Santander Brasil, é o homenageado de 2018 no Congresso Internacional Six Sigma B... https://t.co/AEZXGA0W4I	0	0		28	12
984209196114694144	2018-04-11 23:18:52	Santander Brasil	@GUSTAVOCMATOS Gustavo, posso solicitar o bloqueio dos contatos, você deseja?	0	0		187001	25742
984209094675443713	2018-04-11 23:18:28	Santander Brasil	@rach_BL Rachel, vou checar sobre isso para você. Por favor, me informe por DM, seu CPF, telefone com DDD, e-mail e print da solicitação.	0	0		187001	25742
984209009283682310	2018-04-11 23:18:08	Towner azul bebê	@cgranemann10 @frs_58 @respeitaurei @ricardoblack157 @diozgu_1903 @Gremio @atleticopr @ECBahia @BotafogoOficial… https://t.co/HDTL9FpDcZ	0	1		309	243
984208726155407362	2018-04-11 23:17:00	Santander Brasil	@astr8012 Existem maquinetas que não possuem essa tecnologia. Você pode verificar com o lojista, que deverá ter ciê… https://t.co/6v5eg4QGSl	0	0		187001	25742
984207827022565378	2018-04-11 23:13:26	Japa	@santander_br Olharei ?	0	0		344	262
984207598856613891	2018-04-11 23:12:31	Santander Brasil	@AninhaSue então ta bom, Aninha. Já que começamos a nos conhecer melhor, o que acha de dar uma olhadinha em nossos… https://t.co/cvvm2o9dBh	0	0		187001	25742
984207254512693248	2018-04-11 23:11:09	Rachel (The7wizards)	@santander_br Troquei meus pontos no santander esfera por um produto e ate hoje nadaaa! Tiraram meus pontos e nem c… https://t.co/ioldmBi7Ka	0	0		444	91
984207126007570432	2018-04-11 23:10:39	Julia	Fui no banco pra minha tia, entrei no Santander coloquei o cartão no caixa, dps q fui lembrar era pra ter ido no Bradesco kkkkk	0	0		237	275
984206354842882051	2018-04-11 23:07:35	nico está SUBMERSO #LivroSubmerso	@santander_br anotado. obrigado. #PremiosMTVMiaw #MTVBRPrestaJao	0	0		4452	3897
984205923190300673	2018-04-11 23:05:52	Santander Brasil	"@Bill_Lima Bill, ao acessar o caixa eletrônico, você verá a opção ""habilitar celular"", isso após ter instalado o ID… https://t.co/HvIb0uBAlS"	0	0		187001	25742
984205540774563840	2018-04-11 23:04:21	Maria	@santander_br Eu preciso fazer a senha do id santander, fiz o que voces pediram em outro navegoador e continua o erro! ??	0	0		687	235
984205524236492800	2018-04-11 23:04:17	Jaime Hernandez	@ferguajardo14 Preguntale a santander.	0	0		4	132
984205087345139713	2018-04-11 23:02:33	Paulo segundo	@santander_br É o seguinte, minha fatura sempre (SEMPRE) fechou no dia 20. Então sempre trabalhei com essa data. Ma… https://t.co/eZAVctBWTd	0	0		77	57
984204871313346561	2018-04-11 23:01:41	GUSTAVO	@santander_br  por que em nome de buda, recebi uma ligacao da central de telemarketing ofertando cartão de credito… https://t.co/T0tdXkcVus	0	0		59	112
984204823724744704	2018-04-11 23:01:30	Santander Brasil	"@maricmascarello Maria, você possui o ID Santander cadastrado?
Por favor, altere o navegador de acesso, limpe o his… https://t.co/XiscKYs8ON"	0	0		187001	25742
984204393783484417	2018-04-11 22:59:47	Japa	@santander_br Desculpa, a reclamação era para ter sido pro @Bradesco sou cliente deles ?	0	0		344	262
984204065142968320	2018-04-11 22:58:29	Santander Brasil	@caacaaul Vou solicitar, envie seu CPF e o telefone com DDD onde recebe as ligações por DM.	0	0		187001	25742
984203826231173121	2018-04-11 22:57:32	[T.B] Vládes	RT @benebarbosa_mvb: Meus amigos, cumpro mais uma fez a tarefa chata de passar a sacolinha p/ fechar as contas do MVB deste mês. Conto com…	410	0		543	693
984203801279201282	2018-04-11 22:57:26	Santander Brasil	@hazzstylinsivan Nico, vou verificar o que aconteceu. Seu número de atendimento é 71545240 e até dia 16/04 entrarei… https://t.co/Eh0IvDZrTG	0	1		187001	25742
984202672109694976	2018-04-11 22:52:57	A Line	o Santander só pode tá de brincadeira com a minha cara	0	0		2183	1000
984202642044878848	2018-04-11 22:52:50	RAY	santander tem a pachorra de fechar as 7h da noite ???	0	0		63	58
984201549479137280	2018-04-11 22:48:29	ahlex	meu deus santander vc é o melhor banco do mundo eu te amo	0	0		492	97
984201246587408384	2018-04-11 22:47:17	Maria	@santander_br to tentando me cadastrar no site de voces mas aparece esse erro na tela, helpppp https://t.co/YzKnaI8Rv0	0	0		687	235
984200711654297601	2018-04-11 22:45:09	cafiaspina	mano eu tenho 1dupla personalidade ?? e só quem sabe eh o santander, eles te descobriram tarciso ?? fuja para as colinas ???????????????????	0	2		2363	2215
984200473984020480	2018-04-11 22:44:13	III	@santander_br mas o nfc esta sempre ativado? tem lojista q nunca ouviu falar disso	0	0		16	40
984200200356024320	2018-04-11 22:43:07	drusilla blossom	Eu tô real assustada, eu NUNCA tive conta nem vínculo NENHUM com o Santander pra terem me ligando	0	0		491	367
984200094370140161	2018-04-11 22:42:42	drusilla blossom	De onde porra o Santander tirou meus dados pra me ligar e me oferecer cartão de crédito?	0	0		491	367
984199414439870464	2018-04-11 22:40:00	Santander Brasil	@itsjuzi Vou verificar por aqui, envie por DM seu CPF, telefone com DDD e e-mail.	0	0		187001	25742
984199033215488000	2018-04-11 22:38:29	krish	@luansoliveira uhum!!! os outros bancos nem devem ter nota de 2 reais se bobear imagina alguém no santander sacando nota de 2 reais	0	0		1852	361
984198494457139201	2018-04-11 22:36:21	Bill Lima	@santander_br Peço por gentileza que me digam com o fluxo que devo seguir nas opções do caixa eletronico para a liberação do santander ID	0	0		401	294
984197524784402433	2018-04-11 22:32:30	Ju!	@santander_br Quando abri minha conta a atendente não cadastrou a senha do cartão. Agora não tenho tempo de ir em u… https://t.co/RuTinvZaPO	0	0		676	57
984196844761894913	2018-04-11 22:29:47	Léo Pereira	Juro que não sei p que o Santander tem um monte de 24 hrs,nenhum presta	0	0		137	128
984196394029387776	2018-04-11 22:28:00	Santander Brasil	@cyrkran Se precisar de algo, estou por aqui.	0	0		187001	25742
984196072544374784	2018-04-11 22:26:43	Trinca Acústica	#HAPPYHOUR no #grandhyatt !!!                    Quinze anos de estrada, sete álbuns e sucesso na internet. Ed. Glo… https://t.co/nm8gNioAj7	0	1		282	374
984196029535973376	2018-04-11 22:26:33	Santander Brasil	@itsjuzi O que aconteceu, Ju? Como posso ajudar?	0	0		187001	25742
984195859272404992	2018-04-11 22:25:52	Paulinha	Santander é banco que até com um espirro eles já cobram	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	739	775
984195626454994946	2018-04-11 22:24:57	Santander Brasil	@caacaaul Entendi :) Você deseja o bloqueio dos contatos?	0	0		187001	25742
984195148706959360	2018-04-11 22:23:03	Other Congressman	@santander_br Obrigadinho	0	0		68	303
984195111734136832	2018-04-11 22:22:54	Santander Brasil	@shinelabo Olá :) Como posso ajudar?	0	0		187001	25742
984195084051734531	2018-04-11 22:22:48	Paulinha	Tô bolada com o Santander!!! Só gastei 15 conto no crédito, e veio na fatura 43 de anuidade, sendo que cancelei ??	0	0	Place(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDBFF1B438>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	739	775
984194884633616384	2018-04-11 22:22:00	Santander Brasil	@fcbsccp Entendi, vou verificar, envie seu CPF e o telefone com DDD onde recebe os contatos por DM.	0	0		187001	25742
984194632895619072	2018-04-11 22:21:00	Santander Brasil	@manellneto Manoel, já solicitei o bloqueio das ligações e o número do seu atendimento é 71544007. Se precisar, fale comigo por aqui.	0	0		187001	25742
984194503388037120	2018-04-11 22:20:29	Santander Brasil	@cyrkran O Brasil divulgou a bolsa por meio de um release à imprensa, não escolhendo uma universidade especifica. Q… https://t.co/vgeuP5Xqvx	0	1		187001	25742
