	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986726850788511744	santander	2018-04-18 22:03:08	Munir Wahhab Cidadão de Bem	RT @DGABC: Em entrevista coletiva após evento com investidores promovido pelo Banco Santander, na capital paulista, Alckmin procurou dissoc…	2	0		300	730
986726301674430464	santander	2018-04-18 22:00:57	Políticos do Brazil MORO	RT @DGABC: Em entrevista coletiva após evento com investidores promovido pelo Banco Santander, na capital paulista, Alckmin procurou dissoc…	2	0		2295	165
986726167372795904	santander	2018-04-18 22:00:25	Cristhian	@santander_br se o app deixar eu farei.. rs	0	0		83	386
986726119561990145	santander	2018-04-18 22:00:14	Diário do Grande ABC	"Em entrevista coletiva após evento com investidores promovido pelo Banco Santander, na capital paulista, Alckmin procurou dissociar a imagem de Aécio da imagem do ex-presidente Luiz Inácio Lula da Silva, preso em Curitiba.

#alckmin #aécio #psdb... https://t.co/OyQar25Mus"	2	0		14443	298
986725704304939008	santander	2018-04-18 21:58:35	Santander Brasil	Procure saber antecipadamente qual o valor dos estudos de nível superior dos seus filhos. Além da mensalidade, some custos de alimentação e hospedagem, caso ele vá estudar fora da sua cidade. Pesquise opções de bolsas de estudo, algumas são restituíveis e outras não.	1	1		187200	25737
986725536704749568	santander	2018-04-18 21:57:55	Santander Brasil	Comece uma pequena poupança para os estudos dos seus filhos a partir da entrada deles no ensino fundamental. Desta forma, quando eles estiverem no ensino superior, terão uma reserva que os ajudarão a ter um ensino de qualidade. https://t.co/7GgvnbCWwQ	1	3		187200	25737
986725337563369472	santander	2018-04-18 21:57:07	Gabriel Leite	"@santander_br Qual opção pelo atendinento eletronico, pois nao estou conseguindo. 
Ademais, gostaria do dinheiro de volta da parcela ja descontada.
E mais, gostaria de saber quem autorizou por mim."	0	0		4	103
986725298606624768	santander	2018-04-18 21:56:58	Santander Brasil	@IrisMedeiros17 Oi Iris, já pensou em ter seu próprio cartão de crédito? Aproveite agora mesmo e preencha uma proposta para cartão de crédito em nosso site https://t.co/bScLiQnaKY . O prazo para análise da proposta demora até 10 dias corridos. ?	0	0		187200	25737
986724804752494593	santander	2018-04-18 21:55:00	Santander Brasil	"@CarolSi1999 Oi Carol :) Caso precise de uma conta você pode preencher a solicitação em nosso site (https://t.co/W536xDdivS) no link ""Abra sua Conta"" ;)"	0	0		187200	25737
986724167230816257	santander	2018-04-18 21:52:28	kel	A @yazmoraes quando saiu do Santander e viu um lagartão no corredor do vadiao https://t.co/6K3wjUvCKe	0	1		320	348
986723450172661762	santander	2018-04-18 21:49:37	Tókio	@santander_br Não, Visa	0	0		1459	895
986723412134461441	santander	2018-04-18 21:49:28	Santander Brasil	@felipecarrara Vou verificar, Felipe. Envie seu CPF, telefone com DDD e e-mail por DM.	0	0		187200	25737
986723185600139264	santander	2018-04-18 21:48:34	Santander Brasil	@paula_acucena Tókio, seu cartão é do Santander?	0	0		187200	25737
986723180835467266	santander	2018-04-18 21:48:33	Santander Brasil	@cananea40 Compreendo, Cristhian. Peço desculpas pelos transtornos. Realmente será necessário fazer a nova habilitação.	0	0		187200	25737
986722916686614528	santander	2018-04-18 21:47:30	Reynegton Nunes	@proconpr @santander_br Obrigado, acabei de fazer o cadastro	0	0		173	486
986722871719464960	santander	2018-04-18 21:47:19	wesley	@pevasconcelos Paga nois aqui @santander_br	0	1		163	222
986722785170001921	santander	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/WDJLFggR5W SUPERA rivais ITAÚ, BB, Bradesco, Caixa e Santander, como?	0	0		15	114
986722784914104321	santander	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/c7zk33i3N7 VITÓRIA NUBANK sobre Itaú, BB, Bradesco, Caixa e Santander	0	0		15	114
986722425235787776	santander	2018-04-18 21:45:33	Santander Brasil	@eujefersonlucas Jeferson, sinto muito que pense assim sobre nós. O que aconteceu? Posso te ajudar por aqui?	0	0		187200	25737
986722288975466496	santander	2018-04-18 21:45:00	Santander Brasil	"@Gabriel22161207 Boa noite, Gabriel! 
Você pode solicitar o cancelamento do seguro direto em nossa Central de Atendimento nos telefones 4004-3535 (Regiões Metropolitanas) / 0800 702 3535 (Demais Localidades). 
Qualquer dúvida, estou à disposição."	0	0		187200	25737
986720640395771904	santander	2018-04-18 21:38:27	Felipe Carrara	Olá @Uber @santander_br de quem é a culpa? https://t.co/N8Mt76MX8K	0	1		552	619
986718363094171648	santander	2018-04-18 21:29:24	Tati	RT @alcantaraa_mari: preciso de chocolate	1	0		374	307
