	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986729832708001793	santander	2018-04-18 22:14:59	mc loma sapatão	@santander_br sai fora demonho	0	0		413	362
986729719348506625	santander	2018-04-18 22:14:32	Santander Brasil	@vitoriaderrota Olá :) Cartão de crédito é tão legal, porque tem medo?	0	0		187200	25737
986729452917936128	santander	2018-04-18 22:13:28	Transalvador	Av. Reitor Miguel Calmon (Vale do Canela), sentido Comércio; Av. Paulo VI, imediações do Santander; Av. Gen. San Martin, sentido Largo do Tanque.	0	0		10590	86
986728947768492032	santander	2018-04-18 22:11:28	Santander Brasil	"@Gabriel22161207 Gabriel, opção 3 e 9. 
Caso queira, posso solicitar o cancelamento por aqui. Por favor, me informe por DM, seu CPF, telefone com DDD, e-mail e descrição do seguro na fatura."	0	0		187200	25737
986728725189414914	santander	2018-04-18 22:10:35	Dedeia	@santander_br consegui pelo app santander way, mas agradeço igual pelo esforço em tentar ajudar.	0	0		347	366
986728356753403904	santander	2018-04-18 22:09:07	Pedro Vasconcelos	@wesleyes @santander_br Alô, @santander_br tá perdendo a oportunidade aqui ein. https://t.co/CatPVF23Cj	0	0		310	912
986728107460775936	santander	2018-04-18 22:08:07	lud	que raiva do Santander	0	0		713	428
986727949591195648	santander	2018-04-18 22:07:30	perdiomeu	Jackson Douglas nascimento dos santos: Carteira de trabalho RG cartão de crédito cartão Santander de débito Elo. E uma mochila preta, Fui assaltado Levaram tudo. https://t.co/fPLRApVWaT https://t.co/T4lra0fhKt	0	0		13	1
986726850788511744	santander	2018-04-18 22:03:08	Munir Wahhab Cidadão de Bem	RT @DGABC: Em entrevista coletiva após evento com investidores promovido pelo Banco Santander, na capital paulista, Alckmin procurou dissoc…	2	0		300	730
986726301674430464	santander	2018-04-18 22:00:57	Políticos do Brazil MORO	RT @DGABC: Em entrevista coletiva após evento com investidores promovido pelo Banco Santander, na capital paulista, Alckmin procurou dissoc…	2	0		2295	165
986726167372795904	santander	2018-04-18 22:00:25	Cristhian	@santander_br se o app deixar eu farei.. rs	0	0		83	386
986726119561990145	santander	2018-04-18 22:00:14	Diário do Grande ABC	"Em entrevista coletiva após evento com investidores promovido pelo Banco Santander, na capital paulista, Alckmin procurou dissociar a imagem de Aécio da imagem do ex-presidente Luiz Inácio Lula da Silva, preso em Curitiba.

#alckmin #aécio #psdb... https://t.co/OyQar25Mus"	2	0		14443	298
986725704304939008	santander	2018-04-18 21:58:35	Santander Brasil	Procure saber antecipadamente qual o valor dos estudos de nível superior dos seus filhos. Além da mensalidade, some custos de alimentação e hospedagem, caso ele vá estudar fora da sua cidade. Pesquise opções de bolsas de estudo, algumas são restituíveis e outras não.	1	4		187200	25737
986725536704749568	santander	2018-04-18 21:57:55	Santander Brasil	Comece uma pequena poupança para os estudos dos seus filhos a partir da entrada deles no ensino fundamental. Desta forma, quando eles estiverem no ensino superior, terão uma reserva que os ajudarão a ter um ensino de qualidade. https://t.co/7GgvnbCWwQ	1	5		187200	25737
986725337563369472	santander	2018-04-18 21:57:07	Gabriel Leite	"@santander_br Qual opção pelo atendinento eletronico, pois nao estou conseguindo. 
Ademais, gostaria do dinheiro de volta da parcela ja descontada.
E mais, gostaria de saber quem autorizou por mim."	0	0		4	103
986725298606624768	santander	2018-04-18 21:56:58	Santander Brasil	@IrisMedeiros17 Oi Iris, já pensou em ter seu próprio cartão de crédito? Aproveite agora mesmo e preencha uma proposta para cartão de crédito em nosso site https://t.co/bScLiQnaKY . O prazo para análise da proposta demora até 10 dias corridos. ?	0	0		187200	25737
986724804752494593	santander	2018-04-18 21:55:00	Santander Brasil	"@CarolSi1999 Oi Carol :) Caso precise de uma conta você pode preencher a solicitação em nosso site (https://t.co/W536xDdivS) no link ""Abra sua Conta"" ;)"	0	0		187200	25737
986724167230816257	santander	2018-04-18 21:52:28	kel	A @yazmoraes quando saiu do Santander e viu um lagartão no corredor do vadiao https://t.co/6K3wjUvCKe	0	1		320	348
986723450172661762	santander	2018-04-18 21:49:37	Tókio	@santander_br Não, Visa	0	0		1459	895
986723412134461441	santander	2018-04-18 21:49:28	Santander Brasil	@felipecarrara Vou verificar, Felipe. Envie seu CPF, telefone com DDD e e-mail por DM.	0	0		187200	25737
986723185600139264	santander	2018-04-18 21:48:34	Santander Brasil	@paula_acucena Tókio, seu cartão é do Santander?	0	0		187200	25737
986723180835467266	santander	2018-04-18 21:48:33	Santander Brasil	@cananea40 Compreendo, Cristhian. Peço desculpas pelos transtornos. Realmente será necessário fazer a nova habilitação.	0	0		187200	25737
986722916686614528	santander	2018-04-18 21:47:30	Reynegton Nunes	@proconpr @santander_br Obrigado, acabei de fazer o cadastro	0	0		173	486
986722871719464960	santander	2018-04-18 21:47:19	wesley	@pevasconcelos Paga nois aqui @santander_br	0	1		163	222
986722785170001921	santander	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/WDJLFggR5W SUPERA rivais ITAÚ, BB, Bradesco, Caixa e Santander, como?	0	0		15	114
986722784914104321	santander	2018-04-18 21:46:59	Alberto Neto	Adicionei um vídeo a uma playlist @YouTube https://t.co/c7zk33i3N7 VITÓRIA NUBANK sobre Itaú, BB, Bradesco, Caixa e Santander	0	0		15	114
986722425235787776	santander	2018-04-18 21:45:33	Santander Brasil	@eujefersonlucas Jeferson, sinto muito que pense assim sobre nós. O que aconteceu? Posso te ajudar por aqui?	0	0		187200	25737
986722288975466496	santander	2018-04-18 21:45:00	Santander Brasil	"@Gabriel22161207 Boa noite, Gabriel! 
Você pode solicitar o cancelamento do seguro direto em nossa Central de Atendimento nos telefones 4004-3535 (Regiões Metropolitanas) / 0800 702 3535 (Demais Localidades). 
Qualquer dúvida, estou à disposição."	0	0		187200	25737
986720640395771904	santander	2018-04-18 21:38:27	Felipe Carrara	Olá @Uber @santander_br de quem é a culpa? https://t.co/N8Mt76MX8K	0	1		552	619
986718363094171648	santander	2018-04-18 21:29:24	Tati	RT @alcantaraa_mari: preciso de chocolate	1	0		374	307
986718280797782016	santander	2018-04-18 21:29:05	Adalberto Gobato	I'm at @Santander_br in São Caetano do Sul, SP https://t.co/nCyctmS2n8	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, id='a6cc8dd0faec0a58', url='https://api.twitter.com/1.1/geo/id/a6cc8dd0faec0a58.json', place_type='city', name='São Caetano do Sul', full_name='São Caetano do Sul, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, type='Polygon', coordinates=[[[-46.584984, -23.650508], [-46.544757, -23.650508], [-46.544757, -23.599084], [-46.584984, -23.599084]]]), attributes={})	109	87
986718236044644357	santander	2018-04-18 21:28:54	wesley	@pevasconcelos O adesivo do Santander não pede autenticação, então se roubarem o celular, vc tem q correr pra bloquear o adesivo. O Apple Pay resolve tudo isso. Povo ruim de experiência viu	0	1		163	222
986718218273378304	santander	2018-04-18 21:28:50	Tati	Mds acho q nunca fiquei tão feliz	0	0		374	307
986718168604381185	santander	2018-04-18 21:28:38	Cristhian	@santander_br eu sei. Mas já tinha feito tudo isso. Estava funcionando normalmente até a atualização	0	0		83	386
986717864030883841	santander	2018-04-18 21:27:25	Sergio S. Santander	RT @GremioFuture: Uma moralzinha também pra torcida do @CCP1912oficial que fez uma bela festa no estádio. Obrigado pela baita recepção ao G…	437	0		153	714
986717714667499521	santander	2018-04-18 21:26:50	Petersonsz	Terceira temporada foi roubando o Santander kkkkkkkkkkkkkkkkk https://t.co/0hbCsJAgZA	0	0		536	1111
986717699723223041	santander	2018-04-18 21:26:46	Gabriel Leite	"@santander_br um seguro de cartao foi concedido a mim SEM a minha solicitação e, advinha, a cobrança deste mês  já foi feita!
Gostaria de cancelar esse seguro e ter meu dinheiro de volta.
Achei um absurdo implantarem algo assim.sem minha autorização. Gostaria de uma resposta. Obg"	0	0		4	103
986717114407858177	santander	2018-04-18 21:24:27	Santander Brasil	@pqpdeiaa Dedeia, por favor realize a consulta ou transação por meio de outro canal. Tente novo acesso ao internet banking mais tarde.	0	0		187200	25737
986716977648500742	santander	2018-04-18 21:23:54	Javier Trufero	Tuber Melanosporum Vs Tuber Borchi, las 2 estan por aqui...??#trufasalonso #Madrid #foodporn #Foodie #tuberborchi #foodporn #Málaga #Cadiz #Cantabria #Santander #spanishfood #estrellamichelin #michelinstar #ibiza #restaurants #marbella #Mallorca #chefs #estrellasmichelin https://t.co/xoXYRhjkic	0	2		1467	4080
986715494416834561	santander	2018-04-18 21:18:00	Jeferson Lucas	estou indignado com o santander, banco ladrão do caralho	0	1		263	220
986715404658556928	santander	2018-04-18 21:17:39	to cansado dessa porra, de toda essa bobagem!	Alo alo #bancosafra que nem twitter. O seu aplicativo é pior que o do @santander_br e olha que é difícil eim!!! Vcs precisam urgente de equipe de qualidade e usabilidade	0	0		499	274
986715207132241921	santander	2018-04-18 21:16:52	Santander Brasil	@MarcceloCSE Olá, Marcelo. Em breve entrarei em contato sobre essa reclamação.	0	0		187200	25737
986714738364178432	santander	2018-04-18 21:15:00	Santander Brasil	"@cananea40 Cristhian, o ID Santander é o novo método de validação das suas transações. É necessário que você vá, uma única vez, até um de nossos caixas eletrônicos e clique na opção ""Habilitar Celular Para Transações""."	0	0		187200	25737
986714624279089152	santander	2018-04-18 21:14:33	Santander Brasil	@jota_Josimar Tá ?? Me envie seus dados por DM e já vou fazer o bloqueio.	0	0		187200	25737
986712596924502016	santander	2018-04-18 21:06:29	Marko Ourisso	Notícia importante: o Banco do Brasil, Bradesco, Itaú e Santander - bancos rivais da Caixa - reduziram suas taxas de juros para CRÉDITO IMOBILIÁRIO, facilitando o financiamento de imóveis. Fique atento corretor, pois o... https://t.co/OORSbTaAhj	0	0		115	1126
986711721556537345	santander	2018-04-18 21:03:01	Dedeia	"@santander_br Ambos navegadores que possuo dá o mesmo problema: ""mpe0374 não existe nenhum cartão associado a esse penumper"""	0	0		347	366
986711694566154241	santander	2018-04-18 21:02:54	Amanda	Minha conta do Santander tá mais movimentada que tudo kkkkkk todo dinheiro q os povo precisa receber tão depositando nela vou começar a cobrar taxa kkkkkk 10%	0	1		1051	477
986711496225943557	santander	2018-04-18 21:02:07	Cantabria Hoy	#tablondeanuncios Alquiler de bonito apartamento #cantabria https://t.co/hXvaFVHX3a https://t.co/l2OPVMiDRa	0	0		3226	84
986711207615913984	santander	2018-04-18 21:00:58	Josimar Mendes	@santander_br Own, a gente pode continuar como amigos, mas sem telefonemas, tá bom? ?	0	0		108	104
986709449430581248	santander	2018-04-18 20:53:59	naian meneghetti	eu sempre fui pobre mas esse mes ate o santander me deu parabens xd	0	0		518	2050
986708796650246144	santander	2018-04-18 20:51:23	Santander Brasil	@flavinhask8cbjr O que acontece quando tenta o acesso?	0	0		187200	25737
986708751012057088	santander	2018-04-18 20:51:13	Cristhian	@santander_br o app só funciona pra consulta	0	0		83	386
986708682435170305	santander	2018-04-18 20:50:56	Cristhian	@santander_br dps q atualizou fica pedindo pra habilitar ID. Quando tento fazer isso diz que a operação é impossível no momento	0	0		83	386
986707961019076608	santander	2018-04-18 20:48:04	Santander Brasil	@miauau_ A cada quatro meses há uma nova analise de crédito, podendo alterar o limite A nira.	0	0		187200	25737
986707568469921792	santander	2018-04-18 20:46:31	Soy el que Soy	@JuanLabordah @el_pais Acreedores: Banco Santander.	0	0		2341	2140
986707411342737408	santander	2018-04-18 20:45:53	Marcelo Luís de Melo	"@Santanderbrasil #santanderbrasil #santander_brasil #santander

Gostaria de ser atendido por alguém que no mínino acompanhou o caso e não de alguém que não sabe do que aconteceu.
O gerente... https://t.co/6q6bIJQiZD"	0	0		139	169
986707100029149186	santander	2018-04-18 20:44:39	paulo	@iesabr o museu do ic2 ou o outro perto do santander?	0	0		183	141
986706936610590721	santander	2018-04-18 20:44:00	Santander Brasil	"@worldfild Igor, onde não há respeito, não há diálogo. 
O que aconteceu? Posso te ajudar  por aqui?"	0	0		187200	25737
986706647346302976	santander	2018-04-18 20:42:51	Santander Brasil	@jorgeadamatti Peço desculpas, Jorge. Vou verificar com o gerente, poderia enviar seu CPF, telefone com DDD e e-mail por DM?	0	0		187200	25737
986706024110358529	santander	2018-04-18 20:40:22	Jorge Adamatti	@santander_br Eu realmente gostaria de saber qual a diferença do atendimento Van Gogh tosco que banco me deu, e me fez perder uma hora correndo em duas agências por algo banal e o atendimento de quem tem o pacote mais básico, porque se for pior não sei como ainda tem clientes.	0	0		124	104
986705930204123136	santander	2018-04-18 20:40:00	Santander Brasil	@alexandreodw Vou verificar, Alexandre. Envie seu CPF, telefone com DDD e e-mail por DM.	0	0		187200	25737
986705855927193601	santander	2018-04-18 20:39:42	A nira	@santander_br Porque meu limite do cartão de crédito muda toda hr?	0	0		295	376
986705817801035776	santander	2018-04-18 20:39:33	Santander Brasil	@_fabianoestrela Fabiano, nesse caso, é porque não foi firmado parceria do Santander e a instituição mencionada.	0	0		187200	25737
986705701874651137	santander	2018-04-18 20:39:06	Júlia  ? ?	@santander_br valeu, Santander	0	0		1703	910
986705678508150784	santander	2018-04-18 20:39:00	Santander Brasil	@Bill_Lima Bill, o que acontece quando tenta o acesso? É apresentada alguma mensagem de erro?	0	0		187200	25737
986705551206871040	santander	2018-04-18 20:38:30	Santander Brasil	@junevacchi_ Respondi a DM ;)	0	1		187200	25737
986705446860984326	santander	2018-04-18 20:38:05	Jorge Adamatti	@santander_br Nem sei quem é o gerente que nunca se apresentou. E se essa opção era possível porque no atendimento via telefone não avisou nada, e nem nas duas agências? Despreparo completo! Van Gogh para que? Se o gerente ñ existe, atendimento é básico e passa info errada?	0	0		124	104
986704855438888961	santander	2018-04-18 20:35:44	Santander Brasil	@flwixa Isa, sinto muito. O que aconteceu? Posso te ajudar por aqui?	1	2		187200	25737
986704680444137475	santander	2018-04-18 20:35:02	Alexandre Wermeier	"@santander_br @santander_br no site diz que não tem nenhum vinculado ao meu CPF, no aplicativo cheguei até a parte para ativar SMS Token, ao validar é informado ""Você excedeu o número de tentativas permitido"", porém isso ocorreu já na primeira tentativa."	0	0		11	44
986704672021975040	santander	2018-04-18 20:35:00	Santander Brasil	@SanttosDayara DS, sinto muito. O que aconteceu? Posso te ajudar por aqui?	0	0		187200	25737
986704080360869888	santander	2018-04-18 20:32:39	Juliana Santos	RT @spotifybea: olha a Samantha no comercial da Santander com a globo https://t.co/5ah9aVbBun	124	0		149	403
986704044470267904	santander	2018-04-18 20:32:30	Santander Brasil	@jorgeadamatti Entendi, Jorge. Há limite por segurança, com o gerente você pode verificar sobre o aumento, você conversou com ele?	0	0		187200	25737
986704044348538880	santander	2018-04-18 20:32:30	Santander Brasil	"@cananea40 Cristhian, no momento, não estamos com nenhuma indisponibilidade no App. 
Qual o erro apresentado pelo seu?"	0	0		187200	25737
986703783462952962	santander	2018-04-18 20:31:28	Santander Brasil	@CesarCosta14 Cesar, vou checar o que ocorreu. Por favor, me informe por DM, seu CPF, telefone com DDD, e-mail e comprovante do TED.	0	0		187200	25737
986703257136484352	santander	2018-04-18 20:29:23	flavia	@santander_br O app do Santander empresas	0	1		226	138
986703047643541504	santander	2018-04-18 20:28:33	Santander Brasil	@carvaalhoana Vou verificar, Ana. Envie seu CPF, telefone com DDD e e-mail por DM, além da agência onde esteve.	0	0		187200	25737
986702910263320578	santander	2018-04-18 20:28:00	Santander Brasil	@_horriblehuman Posso ajudar por aqui, Augusto? Qual sua solicitação na agência?	0	0		187200	25737
986702619841351681	santander	2018-04-18 20:26:51	Rap Box	Santander desgraçado	0	0		70	178
986702384675028992	santander	2018-04-18 20:25:55	crist rauli gomez b	RT @rpspaulo: Melhor opção para o Corinthians,  Centroavante Paraguaio Federico Santander, camisa 9 autêntico, muito bom fazendo pivô, inco…	2	0		216	1605
986701957153816577	santander	2018-04-18 20:24:13	Igor	Vocês não sabem o ódio que estou de vocês pela vergonha que me fizeram passar agora @santander_br	0	0		4447	3308
986701622406471680	santander	2018-04-18 20:22:53	Santander Brasil	@EduardoFBecker se não houver nenhuma pendencia, você pode efetuar o cancelamento pela Central de Atendimento em 4004-3535  (capitais e regiões metropolitanas) / 0800 702 3535 (demais localidades), caso contrario será necessário ir até uma de nossas agências.	0	0		187200	25737
986701622133907457	santander	2018-04-18 20:22:53	Santander Brasil	@flavinhask8cbjr Flavia, qual canal e serviço você está tentando utilizar?	0	0		187200	25737
986701490910908416	santander	2018-04-18 20:22:22	Jorge Adamatti	@santander_br Internet banking deu um código de erro incompreensível, que passei ao atendimento no telefone, que indicou que era um problema de limite de transferência (pq se tenho saldo?) pela internet e que eu poderia ir em qualquer agência (info errada) realizar a operação.	0	0		124	104
986701269225091072	santander	2018-04-18 20:21:29	Santander Brasil	"@bibiteix Bianca, o prazo de validação é de 2 a 3 dias úteis. Porém, tivemos uma indisponibilidade e esse prazo se estendeu para 15 dias úteis. Peço desculpas pelo transtorno, em breve, tudo será normalizado. 
Fico à disposição."	0	0		187200	25737
986701242414936064	santander	2018-04-18 20:21:22	Igor	@santander_br  banco filho da puta eu desejo a falência a vocês	0	0		4447	3308
986700784686522368	santander	2018-04-18 20:19:33	FABIANO ESTRELA™	@santander_br sim, só queria entender pq o Santander é o UNICO banco q o Grêmio nao tem convenio	0	0		8945	1389
986700729900568583	santander	2018-04-18 20:19:20	Diogo Nascimento	@santander_br Muito obrigado. Ficamos no aguardo	0	0		95	688
986700171076603904	santander	2018-04-18 20:17:07	André Grillo	$SANB11 - SANTANDER BR (SANB) - Ata Reuniao do Conselho de Administracao - 18/04/18 https://t.co/YnweMdgGLH	0	0		35	29
986700157092757504	santander	2018-04-18 20:17:04	bovespa	$SANB11 - SANTANDER BR (SANB) - Ata Reuniao do Conselho de Administracao - 18/04/18 https://t.co/69Xz9Wwg7L	0	0		642	438
986699891949948928	santander	2018-04-18 20:16:00	Santander Brasil	@jorgeadamatti O que aconteceu quando tentou pelo internet banking? Foi apresentada alguma mensagem de erro?	0	0		187200	25737
