	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984631503379365890	2018-04-13 03:16:58	Ernane Queiroz	??? melhor banco https://t.co/Lr94kQIGKR	0	0		414	80
984631016710131712	2018-04-13 03:15:02	Renan Johnny	@Bancointer Olá, meu crédito não foi aprovado.  Como posso fazer o cancelamento da conta digital?	0	0		181	208
984625826611245056	2018-04-13 02:54:25	Marcelo Martins	@Bancointer @GordoGeek Legal, bom saber	0	0		10666	338
984624195261911040	2018-04-13 02:47:56	Samuel Sucasas	@carlopaixao @blogcitario @nubank @Bancointer Claro, sem desmerecer nenhum. Porém é gosto.	0	0		156	190
984623570969153536	2018-04-13 02:45:27	P Sforcini Jr	"@Bancointer Maravilha, é bom saber...
Não sabia disto , 
Obrigado"	0	1		10	13
984622305111347206	2018-04-13 02:40:25	Monica Schwartz	@Bancointer Fiz pelo aplicativo e não achei nada, vou tentar pelo laptop. Obrigada.	0	0		33	100
984620620603428865	2018-04-13 02:33:43	Willian Oliveira	@mvbonfim @Bancointer Muito rápido né man	0	0		41	129
984612810771623936	2018-04-13 02:02:41	Carlos Paixão	@sucasas @blogcitario @nubank @Bancointer Sem demérito, os dois são bons, embora eu fique com o NuBank mesmo, obrigado, de nada. ?	0	0		87	99
984610332562939904	2018-04-13 01:52:51	@FelipeBHZ	"RT @brenissimo: Quando recebi o cartão mega laranja neon do @Bancointer, ja pensei: orange is the new *bank*!

\o/"	1	0		1623	1166
984608269548314624	2018-04-13 01:44:39	SPFC Banco Inter	@NandoTricolor7 @Bancointer Em processo!	0	0		22766	377
984607492234711040	2018-04-13 01:41:33	Odair Fio	@banconeon @Bancointer @Apple Obrigado estamos ansiosos	0	0		322	64
984607397065973760	2018-04-13 01:41:11	Odair Fio	@Bancointer Obrigado ?	0	0	Place(_api=<tweepy.api.API object at 0x000001AB328D1438>, id='8de821fe9caeef7b', url='https://api.twitter.com/1.1/geo/id/8de821fe9caeef7b.json', place_type='city', name='Tatuí', full_name='Tatuí, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001AB328D1438>, type='Polygon', coordinates=[[[-48.08305, -23.488618], [-47.7241982, -23.488618], [-47.7241982, -23.2215967], [-48.08305, -23.2215967]]]), attributes={})	322	64
984606557030805506	2018-04-13 01:37:50	Vitor Albuquerque	@Bancointer como faz pra aumentar o crédito no cartão?	0	0		354	178
984605462778863616	2018-04-13 01:33:30	sei la mano	alguem sabe pq nao consigo pagar o ifood com o cartão do @Bancointer ?	0	0		16	435
984604690221592576	2018-04-13 01:30:25	Matheus Esperon	@JohnnyCiocca @Bancointer ALOU MARCAS	0	1		7426	502
984604340794118144	2018-04-13 01:29:02	Nando Tricolor	@SPFCBancoInter Ja enviaram os ganhadores @Bancointer ?	0	0		18	123
984600096993144832	2018-04-13 01:12:10	sei la mano	@Bancointer pq nao consigo fazer compras no ifood?	0	0		16	435
984597512412647424	2018-04-13 01:01:54	Johnny C	Experimentando a dica do @mtesperon com o @bancointer https://t.co/sNg5YCwa8x	0	1		1941	807
984597397203505152	2018-04-13 01:01:27	Dan R. B.	@Bancointer Alguns meses depois... kkk Sim, tudo certo.	0	0		2	21
984595041653002240	2018-04-13 00:52:05	Banco Inter	"@spidsrman Ei, Arthur! Em até 10 dias você terá o retorno por e-mail, tá bem?
Caso possamos te ajudar de alguma for… https://t.co/5rQgXCuxkU"	0	0		114619	3139
984594770063446022	2018-04-13 00:51:00	Banco Inter	@_coique Nos apresentamos para você por DM :)	0	0		114619	3139
984594112061038593	2018-04-13 00:48:23	Banco Inter	@alansouzaaa @_coique Agradecemos pela indicação, parceria e preferência! #contacomagente ?	0	0		114619	3139
984593074574839808	2018-04-13 00:44:16	Banco Inter	@brenissimo HAHAHA! Adoramos ? https://t.co/5cJuq8Yu4Y	0	1		114619	3139
984591582392352769	2018-04-13 00:38:20	Banco Inter	@frchico Você terá o retorno por e-mail em até 7 dias após a solicitação :)	0	0		114619	3139
984591379430100992	2018-04-13 00:37:32	Banco Inter	@marcelomartins @GordoGeek Ei, Marcelo! Está em nosso planejamento um app para a Conta PRO. Continue nos acompanhan… https://t.co/9rkq9hUdOy	0	0		114619	3139
