	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985677211213684741	2018-04-16 00:32:14	Galo Corneta	"@camara_sette Tá faltando elenco!!!

Salários baixos com jogadores ruins é pior q pagar um medalhão.

Faz um emprés… https://t.co/jCJRawQxLr"	0	0		30	267
985677143685378049	2018-04-16 00:31:58	Michelle	@Bradesco jogaram a bola pra vcs!	0	0		35	48
985677142066450433	2018-04-16 00:31:58	Roberto Jr	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		227	532
985676684971175936	2018-04-16 00:30:09	Chapolim45	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		12	79
985676380254949383	2018-04-16 00:28:56	Sturt Silva ?	RT @sidneyrezende: O Bradesco obteve lucro líquido ajustado de R$ 4,862 bilhões no quarto trimestre de 2017(isto vai até o fim de fevereiro…	9	0		1640	847
985676187656650752	2018-04-16 00:28:10	Dino sozinho	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		548	448
985675745652592640	2018-04-16 00:26:25	ma777sk	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		28	211
985675726883041280	2018-04-16 00:26:20	iKay ?	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		97	456
985675582322171904	2018-04-16 00:25:46	Henrique	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		25377	477
985674717746089984	2018-04-16 00:22:20	~priscilete?	Três pessoas do Bradesco que tu não suporta olhar na cara — Acho q não tem kkkkkk (aquelas né) https://t.co/9hlFqtgAKH	0	0		164	331
985673992806764546	2018-04-16 00:19:27	Fernando Gama Peres	RT @fgamaperes: @folha Roubalheira institucionalizada e referendada por todos os governos. Presentinho para BB, Bradesco, Itaú, Santander...	0	0		320	345
985672930217652229	2018-04-16 00:15:14	Nilva Lula livre	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		20	138
985672289508261889	2018-04-16 00:12:41	Wander Ferreira	"RT @Daniphiloss: Resuma o governo Temer em uma frase:

""Tira dinheiro de pobre do Bolsa Família para perdoar dívida do Itaú, Bradesco, Sant…"	2	0		2960	2595
985671882933460994	2018-04-16 00:11:04	Gibimba Wabba	@DanielSFurlan E aquele do Bradesco que le a palma da sua mão e faz a previsão do futuro? E ele sempre acerta dizen… https://t.co/aW41ulZzaO	0	0		76	362
985671717791174657	2018-04-16 00:10:25	Not Your Business	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	137	0		3	82
985671231646126080	2018-04-16 00:08:29	Lula Magrão Roussef	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	137	0		1476	2476
985670596574044160	2018-04-16 00:05:57	Zoroina Gonçalves	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		791	786
985670082121564162	2018-04-16 00:03:55	Sara Remvez	"RT @palmeriodoria: ""Mas se nada for feito para estancar a sangria causada pelos bancos Itáu, Bradesco, Santander e Safra, outra solução não…"	137	0		31	98
985669960272891904	2018-04-16 00:03:26	LULA BONITÃO	"RT @pauloap: VAMOS AJUDAR A CAROLINE, que sofre com um câncer sério

CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPA…"	92	0		4083	5001
