	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985855553107890176	2018-04-16 12:20:54	EDIA	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	192	0		2129	1583
985855509143187460	2018-04-16 12:20:44	Jão Lula da Silva	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/K6n9F0rsAP https://t.co/hb1mpVhAg0	112	0		280	1607
985855468827488257	2018-04-16 12:20:34	Itaú	@ALLEXRIBEIRO Que bom que deu certo, Alex ;)	0	0		618001	14490
985855465820246017	2018-04-16 12:20:34	Jão Lula da Silva	RT @guidorezende: Itaú é cliente do escritório dele, que agora quem cuida é um sobrinho! https://t.co/Tvt6Mgt0E1	7	0		280	1607
985855255563980801	2018-04-16 12:19:43	O Pato #LulaLivreJá	RT @guidorezende: Itaú é cliente do escritório dele, que agora quem cuida é um sobrinho! https://t.co/Tvt6Mgt0E1	7	0		20723	8411
985854939888017408	2018-04-16 12:18:28	Maria Zampër	Tentei cadastrar meu cartão no app da uber e recebi SMS do Itaú falando que meu cartão foi bloqueado, tomar no cu.	0	0		3341	779
985854862578548736	2018-04-16 12:18:10	#LulaRousseff	RT @guidorezende: Itaú é cliente do escritório dele, que agora quem cuida é um sobrinho! https://t.co/Tvt6Mgt0E1	7	0		8744	3726
985854771964841984	2018-04-16 12:17:48	#LulaRousseff	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/K6n9F0rsAP https://t.co/hb1mpVhAg0	112	0		8744	3726
985854758350213122	2018-04-16 12:17:45	#LulaRousseff	MINISTRO BARROSO TEM UM ITAÚ DE VANTAGENS POR BAIXO DA TOGA … https://t.co/p4VD98ZQGH	1	1		8744	3726
985854712086966273	2018-04-16 12:17:34	Itaú	@thcosenza Enviamos uma DM pra vc.	0	0		618001	14490
985854668894031874	2018-04-16 12:17:24	Simonela Nichel	RT @valor_economico: Carf julga autuações de R$ 30 bi sobre fusão entre Itaú e Unibanco https://t.co/N28zXQ5Dw6	2	0		22	141
985854541374656514	2018-04-16 12:16:53	Mascarenhas	"Precisa desenhar?!... #LulaLivre 

https://t.co/R49bcz2fT7"	0	0		2072	1716
985854512899424259	2018-04-16 12:16:46	Capivara	RT @valor_economico: Carf julga autuações de R$ 30 bi sobre fusão entre Itaú e Unibanco https://t.co/N28zXQ5Dw6	2	0		389	239
985854483174449159	2018-04-16 12:16:39	Mano	Banco abre as 9, mas não tem funcionários... Super utilidade abrir esses horário @itau	0	0		54	67
985854365868097537	2018-04-16 12:16:11	vanderlan costa	BANCO INTER, 30 motivos para esquecer o BB, ITAÚ e Bradesco https://t.co/wjY1HBkX1N https://t.co/SgHPYPHYeL	0	0		54	165
985854213929488384	2018-04-16 12:15:35	Valor Econômico	Carf julga autuações de R$ 30 bi sobre fusão entre Itaú e Unibanco https://t.co/N28zXQ5Dw6	2	5		2031478	143
985854061768568834	2018-04-16 12:14:59	Itaú	@karlacseabra Oi, Karla. Bom dia! A sua guia está com ou sem código de barras?	0	0		618001	14490
985854057842692096	2018-04-16 12:14:58	Cecília	E o Itaú acertou com a música do Devo, hein	0	0		1142	654
985853437068922880	2018-04-16 12:12:30	Sou Lula	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	192	0		3660	2739
985853307309707264	2018-04-16 12:11:59	Itaú	"@FalatuBL Oi, Bruno, seríssimo!
Vc já tem seu Itaucard pra aproveitar?... ;)"	0	1		618001	14490
985853076799152128	2018-04-16 12:11:04	Marcelo7	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/K6n9F0rsAP https://t.co/hb1mpVhAg0	112	0		348	1100
985853008658554882	2018-04-16 12:10:48	?Otariu?	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/K6n9F0rsAP https://t.co/hb1mpVhAg0	112	0		12384	840
985852512677912576	2018-04-16 12:08:49	Nicko	@itau estou com um boleto pra pagar do seu banco q venceu ontem, eu posso pagar hj por cartão de débito ou sou obrigado a pagar no dinheiro?	0	0		1278	771
985852335170768896	2018-04-16 12:08:07	ewerton kleber	STJ reduz de R$ 160 milhões para R$ 160... https://t.co/fGt5Xh4SHN	0	0		120	283
985851936212684801	2018-04-16 12:06:32	Anderson Alencar	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	192	0		1200	2707
985851636231884800	2018-04-16 12:05:20	Itaú	@ShayseGomes Mas o que aconteceu, Shay?	0	0		618001	14490
985851305037062149	2018-04-16 12:04:02	Sidney Oliveira	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	192	0		24	434
985851125952860160	2018-04-16 12:03:19	EuSouLia	RT @guidorezende: Itaú é cliente do escritório dele, que agora quem cuida é um sobrinho! https://t.co/Tvt6Mgt0E1	7	0		4045	251
985851014208159744	2018-04-16 12:02:52	EU.SOU.LULA	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/K6n9F0rsAP https://t.co/hb1mpVhAg0	112	0		8	82
985850828660539392	2018-04-16 12:02:08	Saulo Fendder B.	RT @valor_economico: De olho em efeito na concorrência, BC discute se veta ou aprova XP-Itaú https://t.co/LvBPQZHMOr	3	0		352	125
985850742832599040	2018-04-16 12:01:47	chupa flor	"@rebelheeart bb é anos luz melhor que o do santander e caixa. kkkkkkk

eu uso conta digital, não to mais nessas de… https://t.co/ReiLxkMAKs"	0	0		804	419
985850699840925696	2018-04-16 12:01:37	Luciana Almeida	Tema musical da nova campanha do  Itaú  é da banda DEVO.? https://t.co/tXEsxetGLP	0	0		277	432
985850080560402434	2018-04-16 11:59:10	Rafael Ueda	"A propaganda ficou animal demais ?
Mais um ponto para a Africa https://t.co/p6cNcO4CfT"	0	0		340	954
985849436738871296	2018-04-16 11:56:36	Alex Piano	Obrigado @santander_br pelo internet bank estar fora do ar tanto PF quando PJ! @itau aceito proposta para portabilidade!	0	0		690	827
985849223118811137	2018-04-16 11:55:45	Nat Rocha	oi @itau me ajudem. Tentaram fazer uma compra indevida em meu nome usando um cartão de vocês, hipercard, eu não ten… https://t.co/z3CNZ87kIN	0	0		558	537
985848993241534464	2018-04-16 11:54:50	Itaú	@Junior_Marquez Oi, Júnior. Bom dia! Você já conseguiu resolver a questão do bloqueio do seu cartão? Se não, chama… https://t.co/3AGmXRpZ2o	0	0		618001	14490
985848744800382976	2018-04-16 11:53:51	Itaú	@gucsh Oi, Gustavo. Qual o modelo do Iphone? Se preferir, mande DM pra gente	0	0		618001	14490
985848666635325440	2018-04-16 11:53:32	Paulo GIQUIRI	RT @luisnassif: Xadrez de como, com jeitinho, Barroso beneficiou o Itau https://t.co/K6n9F0rsAP https://t.co/hb1mpVhAg0	112	0		675	866
985848573064556544	2018-04-16 11:53:10	tom leao	demorou: mas, simao e boechat acabaram de fazer piadinha com a banda que toca no comercial do itau: devo (nao nego)… https://t.co/GhUtxtadk7	0	2		10596	283
985848538188873728	2018-04-16 11:53:02	Adelino Martiniano	RT @sidneyrezende: O lucro do Itaú ficou perto de R$ 25 bilhões em 2017. Tem gente dentro do banco que aposta que 2018 será  ainda mais “es…	192	0		274	145
985848510359719936	2018-04-16 11:52:55	Cenpec	"#EducaçãoIntegral
Nesta terça (17), às 14h, ocorre o lançamento da 13ª edição do @premioitaunicef, com transmissão… https://t.co/uGbIv1QEAl"	0	0		29709	317
985848302838145029	2018-04-16 11:52:06	Itaú	@vittorz Tudo bem! Estamos à disposição.	0	0		618001	14490
985848195564613632	2018-04-16 11:51:40	Itaú	@Cleanthoficial Olá. Informe por DM sua agência, conta, telefone com DDD, versão do App instalado e a versão do sistema operacional.	0	0		618001	14490
985848189382250498	2018-04-16 11:51:39	Ana Cândida Costa	Nem @Itau Leia para uma criança, nem atualmente o #MEC @mec  @MEC_Comunicacao se salvam dessa absurdização dos edit… https://t.co/s6r8BAG3xy	0	0		1367	1222
985848035216449536	2018-04-16 11:51:02	Sergio Starepravo	RT @sidneyrezende: O Itaú é um dos patrocinadores da cobertura esportiva da Copa do Mundo. E conta com a presença de Luciano Huck como garo…	112	0		690	1302
985847920795836416	2018-04-16 11:50:35	Vittor	@itau No cartão de crédito, liguei ontem no atendimento e já resolveram	0	0		1433	154
985847592234909698	2018-04-16 11:49:16	Itaú	@brrumorais Olá, Bruna. Podemos te ajudar por aqui? Você conseguiu resolver essa questão? Em qual central vc ligou?	0	0		618001	14490
985847473355845632	2018-04-16 11:48:48	Itaú	@perrietration  Oi Débora. O que está acontecendo?  Podemos ajuda-la em algo por aqui.	0	0		618001	14490
985847255558230016	2018-04-16 11:47:56	Taty	"@luhnegreiros Eita que legal! :))
Mas também não tenho Itaú"	0	0		87	176
985847231155785728	2018-04-16 11:47:50	Ana Paula Barbui	RT @PatoCorporation: @HBjornalista Já vejo as manchetes “Taxação de grandes fortunas reduz o poder de compra d acionistas do Itaú, Bradesco…	4	0		117	164
985847184527634432	2018-04-16 11:47:39	Vagner Brito	Itaú obtém redução de valor de ação coletiva de R$ 160 milhões para R$ 160 mil no STJ: https://t.co/lqGsC9qkvo	0	0		1137	709
985846976888688640	2018-04-16 11:46:50	Itaú	@Ooo_pretuuo  Oi Matheus.  Podemos ajudar em algo ?	0	0		618001	14490
985846933917970434	2018-04-16 11:46:39	Vitor Torres	@mayconbatistaRj @cauebg @danieltimelog @joaoamoedonovo O capitalismo aos moldes dos USA EUROPA é bem vindo ! Entre… https://t.co/t1IN3hajGv	0	0		136	392
985846854209458176	2018-04-16 11:46:20	Vitor Torres	@cauebg @danieltimelog @joaoamoedonovo O capitalismo aos moldes dos USA EUROPA é bem vindo ! Entretanto o capitalis… https://t.co/ukFi9ZDXPC	0	0		136	392
985846690912579586	2018-04-16 11:45:41	Vitor Torres	@danieltimelog @joaoamoedonovo O capitalismo aos moldes dos USA EUROPA é bem vindo ! Entretanto o capitalismo como… https://t.co/NjzYf9Ct0g	0	0		136	392
985846597065101312	2018-04-16 11:45:19	Vitor Torres	@joaoamoedonovo O capitalismo aos moldes dos USA EUROPA é bem vindo ! Entretanto o capitalismo como base nos juros… https://t.co/o5W00ONSyn	0	0		136	392
985846375802908673	2018-04-16 11:44:26	Itaú	@jenifferzinhaa1 Olá. Podemos te ajudar por aqui? O que houve?	0	0		618001	14490
985846299835723776	2018-04-16 11:44:08	Itaú	@vittorz Oi, Vittor. É no cartão de crédito ou da conta corrente?	0	0		618001	14490
985846193816260609	2018-04-16 11:43:43	Itaú	@diasdiego64 Diego, além de você, somente um procurador pode fazer isso.	0	0		618001	14490
