	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985685419265323008	2018-04-16 01:04:51	????? ????????	RT @opotato_: nubank vc manda foto pelado e ganha dinheiro	1	0		80	92
985685049000562689	2018-04-16 01:03:23	Ruan Brandão	"RT @Gab__Fonseca: Olá, :D
 Já está disponível o link ( https://t.co/Gzjs2Y0Ack ) para ver os slides da minha talk sobre --&gt; CTF { Capture T…"	4	0		288	355
985684706640453632	2018-04-16 01:02:01	Nycolle Suabya	Eu amo o pessoal do Nubank	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, id='23d81de6fe7594cb', url='https://api.twitter.com/1.1/geo/id/23d81de6fe7594cb.json', place_type='city', name='Goiânia', full_name='Goiânia, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, type='Polygon', coordinates=[[[-49.4448532, -16.8318709], [-49.077745, -16.8318709], [-49.077745, -16.453694], [-49.4448532, -16.453694]]]), attributes={})	330	264
985684659672682498	2018-04-16 01:01:50	Rick Benetti	"RT @Gab__Fonseca: Olá, :D
 Já está disponível o link ( https://t.co/Gzjs2Y0Ack ) para ver os slides da minha talk sobre --&gt; CTF { Capture T…"	4	0		153	137
985684530504839168	2018-04-16 01:01:19	Berlim	Eu só queria um convite pro Nubank	0	0		948	429
985684391107153920	2018-04-16 01:00:46	Saint Pablo	nubank vc manda foto pelado e ganha dinheiro	1	0		1639	862
985684243606134784	2018-04-16 01:00:11	Villienne	Todo dia eu entrando no app do Nubank pra ver quando meu cartão vai chegar.	0	0		75	63
985683424978657280	2018-04-16 00:56:56	izabelle	Até a mulher do Nubank eu deixei no vácuo, MEU PERDOA LUANY, não foi por mal!!!!!!!	0	0		18	58
985681049165488128	2018-04-16 00:47:29	gonçalves	nubank pisa DEMAIS em qualquer cartão, sério	0	2		3179	1855
985680394489090049	2018-04-16 00:44:53	lutiano ferreira	@LettiFarias @nubank Melhor cartão	0	1		922	906
985680016800350213	2018-04-16 00:43:23	dj t'chaka = o panterão =	a vida adulta chegou e pedi pra uma amiga convite pro nubank	0	1		276	370
985678562320617475	2018-04-16 00:37:36	Estela	@BrenoFonseca @nubank @annesthefanie @NetflixBrasil Brebre, escolhi o maior mozão... Nubank.	0	0		64	115
985677743294730241	2018-04-16 00:34:21	Reginaldo Santos	@cruze1ru @nubank Ninguém perguntou	0	0		1846	1283
985676388714852358	2018-04-16 00:28:58	Dê	Depois de 2 anos tentando o nubank FINALMENTE EU CONSEGUI. Tem um link de convite que tá aprovando todo mundo ?	0	0		25711	278
985676341390569472	2018-04-16 00:28:47	Gyodai	Vou morrer sem conseguir meu cartão da nubank	0	0		3	22
985674782350946304	2018-04-16 00:22:35	Laah Lala Lauren	"RT @Gab__Fonseca: Olá, :D
 Já está disponível o link ( https://t.co/Gzjs2Y0Ack ) para ver os slides da minha talk sobre --&gt; CTF { Capture T…"	4	0		271	222
985674523751145472	2018-04-16 00:21:34	Gabriela Fonseca	"Olá, :D
 Já está disponível o link ( https://t.co/Gzjs2Y0Ack ) para ver os slides da minha talk sobre --&gt; CTF { Cap… https://t.co/oCoFQ1oupg"	4	6		94	193
985673991250743296	2018-04-16 00:19:27	Cansada	A triste história da jovem adulta que fez compras com o Nubank e agora foi olhar o extrato e não lembra com o que ou onde gastou	0	0		135	210
985673108911771650	2018-04-16 00:15:56	Rodigo	muito triste que a @UFJF_ não aceita nubank	0	0		74	146
985672645638311936	2018-04-16 00:14:06	IDM Samuel Rehbein	Solicitei um reembolso e o meu cartão fechou a fatura hoje (NuBank). Vou ser reembolsado de qualquer forma ou pode ter algum erro?	0	7		11627	550
985670155953999877	2018-04-16 00:04:12	Rodigo	gennte, nubank é só amor	0	1		74	146
985664394074972160	2018-04-15 23:41:18	james	RT @mozillabrasil: Hoje estamos falando sobre a saúde da Internet no @CodamosClub @nubank com atividades conduzidas pela @cyb3113! Como voc…	6	0		56	83
985663643466584071	2018-04-15 23:38:20	Alda Rocha	@RickBenetti81 @carolcode @CodamosClub @nubank @Feh_Bernardo Deixa eu me recuperar que vou buscar as palestras todas :)	0	3		11530	2223
985662100159782912	2018-04-15 23:32:12	Nubank	@francisco130204 O ideal é continuar construindo um relacionamento com a gente. ?	0	1		104216	7066
985661576433815555	2018-04-15 23:30:07	oliveira oliveira	@nubank Já sigo essas dicas mais nunca aumenta	0	0		34	369
985661184467722240	2018-04-15 23:28:33	rato tomando banho	fazer uma conta no nubank foi a melhor decisão q eu tomei esse ano	0	0		36	79
985661123788787713	2018-04-15 23:28:19	Nubank	@francisco130204 A gente não consegue influenciar na análise do limite, mas podemos te passar umas dicas que podem… https://t.co/aFl7nPGowG	0	0		104216	7066
985660217357688832	2018-04-15 23:24:43	Mamãe sou gay	Alguém aqui é cliente Nubank e poderia me enviar um convite?	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, id='b3bbad8980dc2d97', url='https://api.twitter.com/1.1/geo/id/b3bbad8980dc2d97.json', place_type='city', name='Caxambu', full_name='Caxambu, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, type='Polygon', coordinates=[[[-45.008801, -22.083062], [-44.89896, -22.083062], [-44.89896, -21.903591], [-45.008801, -21.903591]]]), attributes={})	934	246
985659918912053248	2018-04-15 23:23:32	cy63113	@geraldobarros_ @CodamosClub @mozillabrasil @nubank Na próxima vou por um monte de cabritinhos e gatinhos hahahahah	0	0		481	227
985654813164744704	2018-04-15 23:03:14	Bruno Cesar	Fiz um pedido do cartão Nubank, quero ver se é bom mesmo	0	0		1244	487
985651858336288768	2018-04-15 22:51:30	Adrian Gabriel Pinho	Gostei de um vídeo @YouTube https://t.co/sXwiO5jkWW sobre o melhor cartão de crédito do Brasil // Nubank	0	0		728	2643
985650093742280705	2018-04-15 22:44:29	oliveira oliveira	@nubank aumenta meu limite que JS tem 3 meses e nada de aumento	0	0		34	369
985647945096794114	2018-04-15 22:35:57	Sorriso	@titomarchesini @miler_jess Não uso nubank então nem sei o que é.	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, id='3111f85e99215ad1', url='https://api.twitter.com/1.1/geo/id/3111f85e99215ad1.json', place_type='city', name='Colatina', full_name='Colatina, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, type='Polygon', coordinates=[[[-40.8856087, -19.7160279], [-40.3686449, -19.7160279], [-40.3686449, -19.2302202], [-40.8856087, -19.2302202]]]), attributes={})	2209	1989
985647083435823105	2018-04-15 22:32:31	Tito com saudade da barba	@Soh_riso @miler_jess O problema do nubank é que o rewards não compensa	0	0		149	265
985645226369929218	2018-04-15 22:25:09	jess ??	nubank só pecou na fatura que não chega em casa e tem que ficar imprimindo em papelaria.	0	2	Place(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, id='3111f85e99215ad1', url='https://api.twitter.com/1.1/geo/id/3111f85e99215ad1.json', place_type='city', name='Colatina', full_name='Colatina, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, type='Polygon', coordinates=[[[-40.8856087, -19.7160279], [-40.3686449, -19.7160279], [-40.3686449, -19.2302202], [-40.8856087, -19.2302202]]]), attributes={})	1609	284
985640952684572673	2018-04-15 22:08:10	Victu	AAAA Consegui fazer um nubank eu to muito feliz mermão	0	0		1676	491
985640132484255746	2018-04-15 22:04:54	Helio Matukawa	Ué, algo de errado não está certo, @nubank #SouNu https://t.co/uZTBDgPO3f	0	0		155	264
985639869253865473	2018-04-15 22:03:51	Jonata Silva	Ansiedade a mil já... Só vem, Nu! @nubank ? https://t.co/Roc9PzbQuD	0	0		22	64
985635781426470913	2018-04-15 21:47:37	gabriel	@ericosimao @nubank Eles não forneceram, só me pediram pra confirmar os dados do rapaz, e no final pediram meu cont… https://t.co/q78e2phoyU	0	2		4280	2715
985634773052874752	2018-04-15 21:43:36	Nubank	@thadeuluz Se vc estiver com alguma dificuldade, manda uma mensagem pra gente no meajuda@nubank.com.br, Thadeu! ? ?	0	1		104216	7066
985633777614557184	2018-04-15 21:39:39	Rick Benetti	@carolcode @mjcoffeeholick @CodamosClub @nubank Eu já tenho a sua, a da @Feh_Bernardo que ela postou hoje mais, cedo.	0	2		153	137
985633193335410689	2018-04-15 21:37:20	Thadeu Luz	@nubank Encontrei um probleminha. Usuários com a extensão do AdBlock ativa no Google Chrome (… https://t.co/xOr9gvs9rb	0	0		298	467
985631781209673728	2018-04-15 21:31:43	Carol Divaloper ??????	@RickBenetti81 @mjcoffeeholick @CodamosClub @nubank a minha ta aqui https://t.co/JllFiFeSYt - vou te conseguir as outras já!	0	3		1146	264
985631508756074496	2018-04-15 21:30:38	enjoei	"@camilaofrnds chama a gente por dm, vamos te ajudar com o reembolso!
ainda não temos o nubank em nossa lista de bancos para saque :("	0	0		17350	2641
985631145663614977	2018-04-15 21:29:11	a menina que queria ser deus	meu sonho o nubank aumentar meu limite pra eu comprar umas brusinhas	0	0		91	90
985631019633184768	2018-04-15 21:28:41	Nubank	@thadeuluz Agradecemos o feedbach, Thadeu! Iremos levar ao nosso setor responsável e caso haja qualquer novidade nós avisaremos! ?	0	1		104216	7066
985628048769847296	2018-04-15 21:16:53	Christian Paes	Gostei de um vídeo @YouTube https://t.co/3q7BW8eiFP CLIENTE NUBANK, BB ou ITAÚ, fuja da CILADA!	0	0		14	28
985627707206721537	2018-04-15 21:15:32	Fabricio Alves	Até tu Brutus com @nubank , vou ter que pedir o meu! https://t.co/qcMHxOYNrq	0	1		172	280
985627407238483968	2018-04-15 21:14:20	Rick Benetti	@mjcoffeeholick @CodamosClub @nubank acorda antes, por favor :) @carolcode ajuda to caçando as apresentações rs	0	1		153	137
985626193427881984	2018-04-15 21:09:31	Roberta	Gostei de um vídeo @YouTube https://t.co/6wBlUZaNTC NUBANK NÃO TE APROVA? Então aumente seu SCORE! Aprenda como!	0	0		57	124
985625452952866817	2018-04-15 21:06:34	carolinda	Oi @nubank te amo, obrigada	0	0		79	198
985625392483618816	2018-04-15 21:06:20	Thadeu Luz	@nubank Eu iria ADORAR a possibilidade de geração de senhas/tokens somente leitura. Hoje, para criar serviços que u… https://t.co/FaiBkRtpuc	0	0		298	467
985624690017423360	2018-04-15 21:03:32	Erico Simao	@nubank @cruze1ru @nubank, por favor se alguém entrar em contato não forneça meus dados pessoais, ok?	0	0		68	183
985623784723046401	2018-04-15 20:59:56	babi	Gente finalmente consegui fazer o cartão nubank felicidade me resumee	0	0		487	270
985620148555059205	2018-04-15 20:45:30	Nubank	@fahofmeister Seria nosso sonho? Vamos passar essa sugestão a diante, Fer!  Quem sabe um dia? ?	0	1		104216	7066
985619052247822336	2018-04-15 20:41:08	Fernando Hofmeister	@nubank sabe o que ia ser lindo? Se na minha fatura viesse um resumo das compras separado pelas tags...	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1CC3DD30>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	337	187
985618407671386119	2018-04-15 20:38:34	Nubank	@lucascost_ Ainda não temos previsão, estamos focados em aprimorar nossos serviços como a NuConta e o Cartão Virtua… https://t.co/c0U1yVvmTa	0	0		104216	7066
985615706493505537	2018-04-15 20:27:50	Lucas Costa	@nubank Quando poderemos usar o cartão nubank para pagamentos via apple pay/ ?	0	0		163	249
985615139151011841	2018-04-15 20:25:35	deneru? Z	Nubank amor me aceita	0	1		1211	396
