	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985280149154344962	2018-04-14 22:14:27	Santander Brasil	@CM_Barradas Claudia, tivemos uma breve intermitência, e os canais já estão normalizados, peço que tente novamente o acesso.	0	0		187111	25738
985280148923699200	2018-04-14 22:14:27	Santander Brasil	@lipeecap Felipe, situação regularizada.	0	0		187111	25738
985280034431791110	2018-04-14 22:14:00	Santander Brasil	@eabeato Edson, tivemos uma indisponibilidade em nossos Canais que já foi regularizada. Sinto pela situação!	0	0		187111	25738
985279908237717504	2018-04-14 22:13:30	Santander Brasil	@Putzdrigo Rodrigo, peço desculpas pelo ocorrido. Tivemos uma intermitência, mas já está tudo normalizado. Por favo… https://t.co/dLQKRrpeKn	0	0		187111	25738
985279904789991425	2018-04-14 22:13:29	Santander Brasil	@Cavalinho_CAP Agora abre, testa lá de novo :) ! Sinto pelo ocorrido!	0	0		187111	25738
985279867896979456	2018-04-14 22:13:20	manoel ferreira	@santander_br Obrigado pelo retorno, mais fora o carão no Burger King que por ter o meu cartão de débito ser recusa… https://t.co/3Y9EYcdqVY	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='438f527a1d50ed05', url='https://api.twitter.com/1.1/geo/id/438f527a1d50ed05.json', place_type='city', name='Nova Lima', full_name='Nova Lima, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-44.002236, -20.225136], [-43.783586, -20.225136], [-43.783586, -19.926611], [-44.002236, -19.926611]]]), attributes={})	331	528
985279153317515264	2018-04-14 22:10:30	Santander Brasil	@bluezita Jane, tudo regularizado!	0	0		187111	25738
985279107234762753	2018-04-14 22:10:19	Vitória Claro	Acabei de sair de #APequenaSereia no teatro Santander e WOW!! Incrível! Que leveza da @FabiBang como Ariel ?? lindo espetaculo, apaixonada!	0	1		959	265
985278994370187265	2018-04-14 22:09:52	Santander Brasil	@slinpack Manoel, tivemos indisponibilidade já regularizada. Tudo está funcionando bem agora! Sinto muito pelo ocorrido.	0	1		187111	25738
985278776157310977	2018-04-14 22:09:00	Santander Brasil	@lovegatineos Agora está tudo bem! Com saldo ou limite: Transação aprovada!	0	0		187111	25738
985278638466584576	2018-04-14 22:08:27	Santander Brasil	@lorodadoca Loro, transações e canais regularizados! Sinto muito pelo ocorrido!	0	0		187111	25738
985278375483920385	2018-04-14 22:07:24	Santander Brasil	@machado_fi Filipe, mas o que houve, ainda tem uma chance de te ajudar?	0	0		187111	25738
985278342126559232	2018-04-14 22:07:17	Woody Citou ?	@santander_br Obrigado pelo retorno ;) me deixou a pé mas td bem	0	0		150206	119974
985278128095420416	2018-04-14 22:06:25	Santander Brasil	@Theschafas Alisson, a cada 4 meses fazemos reanálises automáticas para concessão de limites, você pode verificar a… https://t.co/uzdUuiYx97	0	0		187111	25738
985277887480762375	2018-04-14 22:05:28	Santander Brasil	@DiSanctis23 Poxa , Patrícia! Já resolvemos! Não gostei da brincadeirinha com meu nome ? ??	0	1		187111	25738
985277629950459906	2018-04-14 22:04:27	Santander Brasil	@Tancredoccezar Sinto muito pelo inconveniente, tivemos uma breve intermitência, porém já regularizada. Fico à sua disposição. ;)	0	0		187111	25738
