	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985182845281894409	2018-04-14 15:47:48	Alexandre Jaenicke	@santander_br @euprogramador Tô nessa tbem! Ainda clonaram meu cartão de crédito e não consigo falar com o @santander_br	0	0		25	31
985182473444384768	2018-04-14 15:46:20	Charles Sanders Peirce	ninguém que me segue tem santander?? só pobres nesse site	0	0		1300	442
985182363285147648	2018-04-14 15:45:53	Marcelo Xavier	Sexta eu saía do Santander cultural e vi uma aglomeração na frente da banca ao lado do monumento do Artigas. Chegue… https://t.co/4KaOPamiOB	0	0		4272	4093
985182283773640709	2018-04-14 15:45:34	potássio	Santander porque você faz isso	0	0		148	354
985182224394936321	2018-04-14 15:45:20	Nina Baudelaire	SANTANDER EU TE ABOMINO	0	0		189	103
985182216958377985	2018-04-14 15:45:18	potássio	Santander me ajuda	0	0		148	354
985182065737060352	2018-04-14 15:44:42	Charles Sanders Peirce	meninas tentem acessar o app do santander de vcs e me digam se dá certo rapidinho hein	0	0		1300	442
985181832378544129	2018-04-14 15:43:47	Jennifer Prioli	@santander_br pior é a gente criar esse fundo de emergência e vcs fazerem de tudo pra dificultar o saque, né? tô há… https://t.co/wd8sJDtDMY	0	0		4019	318
985181763814256640	2018-04-14 15:43:30	aquela musica la do fma	@useron cê sabe se o caixa eletrônico do Santander abre sábado? ?	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='6149b85ac3356372', url='https://api.twitter.com/1.1/geo/id/6149b85ac3356372.json', place_type='city', name='Viamão', full_name='Viamão, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-51.1203451, -30.4411324], [-50.616208, -30.4411324], [-50.616208, -29.966104], [-51.1203451, -29.966104]]]), attributes={})	730	360
985181761922650112	2018-04-14 15:43:30	Charles Sanders Peirce	o santander tá com problema geral ou é pessoal será¿	0	0		1300	442
985181691093372928	2018-04-14 15:43:13	Guei natureza	vai tomar no cu Santander	0	0		1186	512
985181665264898048	2018-04-14 15:43:07	thiago berlofa	@santander_br pq seu app está tão horrível?? Não abre nem a pau!!!	0	0		50	282
985181493952688128	2018-04-14 15:42:26	Calebe Alves Moreira	Aí vc vai sacar no FDS e o @santander_br primeiro fala que a senha esta incorreta e que vc não cadastrou a biometri… https://t.co/jza2VAVYs4	0	0		79	137
985181392710619136	2018-04-14 15:42:02	ameliagurski ?	SANTANDER, PIOR BANCOOOO	0	0		198	113
985181370346561536	2018-04-14 15:41:57	### Juan ###	Abra sua conta Santander https://t.co/5kHigABgnN	0	0		159	194
985181323819192320	2018-04-14 15:41:46	carolin	eu soh queria pagar meu boletinho @santander_br me ajuda com esse internet banking	0	0		121	116
985180999746277376	2018-04-14 15:40:28	Bruna Letiery	Égua @santander_br é um lixo! Atrasando toda minha vida! LIXO!!!	0	0		146	288
985180979294887936	2018-04-14 15:40:23	Robson Almeida  ? ?	@santander_br eu to preso na rua, porque não consigo sacar, nem passar cartão de débito, nem acessar o App pra faze… https://t.co/VzrvNSc8lv	0	0		293	281
985180974974631938	2018-04-14 15:40:22	Luan Lopes	a porra do aplicativo do Santander não quer funcionar ?	0	0		960	638
985180944515682309	2018-04-14 15:40:15	Pettersson Rodrigues	meu app do @santander_br não está funcionando, é um problema geral ou só cmg? ?	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='6d5542f8d837770d', url='https://api.twitter.com/1.1/geo/id/6d5542f8d837770d.json', place_type='city', name='Curitiba', full_name='Curitiba, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-49.3916434, -25.6447517], [-49.1852775, -25.6447517], [-49.1852775, -25.3457471], [-49.3916434, -25.3457471]]]), attributes={})	536	290
985180630408450048	2018-04-14 15:39:00	andre	@santander_br @euprogramador Aqui também não abre o aplicativo nem completa chamada no 4004...	0	0		73	95
985180053930692608	2018-04-14 15:36:43	Flow Joel Carli	Eu odeio o Santander ?	0	0		1079	1043
985179742826565637	2018-04-14 15:35:29	Santander Brasil	@euprogramador Carlos, reinicie sua conexão com a internet, limpe o cache de seu aparelho e tente o acesso novament… https://t.co/qNhtP1eOHB	0	0		187059	25736
985179695506485249	2018-04-14 15:35:17	Victor Freitas	@jessicaliar @santander_br To na mesma, tava aqui tentando e nada :(	0	0		433	122
985179648656138240	2018-04-14 15:35:06	Dantas ?	Santander só me fodeu hj KKKKK	0	0		437	360
985179584089001985	2018-04-14 15:34:51	benan	@santander_br alo santander, deu algum problema no sistema de vocês? Minha namorada não está conseguindo acessar a… https://t.co/RW55Qz5Zyk	0	0		325	171
985179570939801600	2018-04-14 15:34:48	Endorphine&Rabeluska	@santander_br esta fora do ar, nao consigo acessar internet banking, realizar compras no debito e no credito e nem… https://t.co/0LgjFp18t9	0	1		1	57
985179490207916032	2018-04-14 15:34:28	RodrigoNagami	@jessicaliar @santander_br aconteceu mesma coisa comigo recentemente...e tbm as vezes nao chega o token sms	0	0		690	451
985179429486911488	2018-04-14 15:34:14	Hellen Cutalo	RT @eusouapoli: @santander_br o que está acontecendo com o App? Desde de manhã com erro. #Santander #melhorem	0	0		508	239
985179326256730112	2018-04-14 15:33:49	Hellen Cutalo	RT @Srta_linnits: Alô, @bancosantander @santander_br quando vão fazer um app descente para os clientes acessarem suas contas sem passar rai…	1	0		508	239
985179306044350467	2018-04-14 15:33:44	jézga??	O @santander_br não abre o site e não funciona o aplicativo. Perdendo quase 2 horas tentando fazer os dois funciona… https://t.co/3RO6apNAEj	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	1695	288
